"id","name","code","account_type","tag_ids","reconcile","non_trade"
"current_assets","Current Assets","1010","asset_current","","False","False"
"stock_valuation","Stock Valuation","1101","asset_current","","False","False"
"cost_of_production","Cost of Production","1104","asset_current","","True","False"
"wip","Work in Progress","1105","asset_current","","True","False"
"receivable","Account Receivable","1210","asset_receivable","","True","False"
"to_receive_rec","Products to receive","1211","asset_current","","True","False"
"owner_current_account","Owner's Current Account","1220","asset_receivable","","True","True"
"prepaid_expenses","Prepaid Expenses","1280","asset_current","","False","False"
"tax_paid","Tax Paid","1310","asset_current","","False","False"
"tax_receivable","Tax Receivable","1320","asset_receivable","","True","True"
"prepayments","Prepayments","1410","asset_prepayments","","False","False"
"fixed_assets","Fixed Asset","1510","asset_fixed","","False","False"
"non_current_assets","Non-current assets","1910","asset_non_current","","False","False"
"current_liabilities","Current Liabilities","2010","liability_current","","False","False"
"payable","Account Payable","2110","liability_payable","","True","False"
"to_receive_pay","Bills to receive","2111","liability_current","","True","False"
"deferred_revenue","Deferred Revenue","2120","liability_current","","False","False"
"salary_payable","Salary Payable","2300","liability_current","","True","False"
"employee_payroll_taxes","Employee Payroll Taxes","2301","liability_current","","True","False"
"employer_payroll_taxes","Employer Payroll Taxes","2302","liability_current","","True","False"
"tax_received","Tax Received","2510","liability_current","","False","False"
"tax_payable","Tax Payable","2520","liability_payable","","True","True"
"non_current_liabilities","Non-current Liabilities","2910","liability_non_current","","False","False"
"capital","Capital","3010","equity","","False","False"
"dividends","Dividends","3020","equity","","False","False"
"income","Product Sales","4000","income","account.account_tag_operating","False","False"
"income_currency_exchange","Foreign Exchange Gain","4410","income","account.account_tag_financing","False","False"
"cash_diff_income","Cash Difference Gain","4420","income","account.account_tag_investing","False","False"
"cash_discount_loss","Cash Discount Loss","4430","expense","","False","False"
"other_income","Other Income","4500","income_other","","False","False"
"cost_of_goods_sold","Cost of Goods Sold","5000","expense_direct_cost","account.account_tag_operating","False","False"
"expense","Expenses","6000","expense","account.account_tag_operating","False","False"
"stock_variation","Stock Variation","6100","expense","","False","False"
"expense_invest","Purchase of Equipments","6110","expense","account.account_tag_investing","False","False"
"expense_rent","Rent","6120","expense","account.account_tag_investing","False","False"
"expense_finance","Bank Fees","6200","expense","account.account_tag_financing","False","False"
"expense_salary","Salary Expenses","6300","expense","account.account_tag_operating","False","False"
"expense_currency_exchange","Foreign Exchange Loss","6410","expense","account.account_tag_financing","False","False"
"cash_diff_expense","Cash Difference Loss","6420","expense","account.account_tag_investing","False","False"
"cash_discount_gain","Cash Discount Gain","6430","income","","False","False"
"expense_rd","RD Expenses","9610","expense","account.account_tag_investing","False","False"
"expense_sales","Sales Expenses","9620","expense","account.account_tag_investing","False","False"
"pos_receivable","Account Receivable (PoS)","1013","asset_receivable","","True","False"
"credit_card","Credit Card","201100","liability_credit_card","","False","False"
