id,name,model_id:id,group_id:id,perm_read,perm_write,perm_create,perm_unlink
access_auditlog_rule_user,auditlog_rule_user,model_auditlog_rule,auditlog.group_auditlog_user,1,0,0,0
access_auditlog_log_user,auditlog_log_user,model_auditlog_log,auditlog.group_auditlog_user,1,0,0,0
access_auditlog_log_line_user,auditlog_log_line_user,model_auditlog_log_line,auditlog.group_auditlog_user,1,0,0,0
access_auditlog_http_session_user,auditlog_http_session_user,model_auditlog_http_session,auditlog.group_auditlog_user,1,0,0,0
access_auditlog_http_request_user,auditlog_http_request_user,model_auditlog_http_request,auditlog.group_auditlog_user,1,0,0,0

access_auditlog_rule_manager,auditlog_rule_manager,model_auditlog_rule,auditlog.group_auditlog_manager,1,1,1,1
access_auditlog_log_manager,auditlog_log_manager,model_auditlog_log,auditlog.group_auditlog_manager,1,1,1,1
access_auditlog_log_line_manager,auditlog_log_line_manager,model_auditlog_log_line,auditlog.group_auditlog_manager,1,1,1,1
access_auditlog_http_session_manager,auditlog_http_session_manager,model_auditlog_http_session,auditlog.group_auditlog_manager,1,1,1,1
access_auditlog_http_request_manager,auditlog_http_request_manager,model_auditlog_http_request,auditlog.group_auditlog_manager,1,1,1,1
access_auditlog_autovacuum,access_auditlog_autovacuum,model_auditlog_autovacuum,auditlog.group_auditlog_user,1,1,1,1
access_auditlog_log_line_view_manager,auditlog_log_line_view,model_auditlog_log_line_view,base.group_erp_manager,1,0,0,0
