year,date,holiday
2025,2025-01-01,New Year's Day
2025,2025-03-30,Eid al-Fitr
2025,2025-03-31,Eid al-Fitr Holiday
2025,2025-04-01,Eid al-Fitr Holiday
2025,2025-04-02,Eid al-Fitr Holiday
2025,2025-06-05,Arafat (Hajj) Day
2025,2025-06-06,Eid al-Adha (Feast of Sacrifice)
2025,2025-06-07,Eid al-Adha Holiday
2025,2025-06-08,Eid al-Adha Holiday
2025,2025-06-27,Al-Hijra Holiday (Islamic New Year)
2025,2025-09-05,Mouloud
2025,2025-12-02,National Day
2025,2025-12-03,National Day Holiday
2026,2026-01-01,New Year's Day
2026,2026-03-20,Eid al-Fitr (Tentative Date)
2026,2026-03-21,Eid al-Fitr Holiday (Tentative Date)
2026,2026-03-22,Eid al-Fitr Holiday (Tentative Date)
2026,2026-05-26,Arafat (Hajj) Day (Tentative Date)
2026,2026-05-27,Eid al-Adha (Feast of Sacrifice) (Tentative Date)
2026,2026-05-27,Eid al-Adha Holiday (Tentative Date)
2026,2026-05-28,Eid al-Adha Holiday (Tentative Date)
2026,2026-06-17,Al-Hijra (Islamic New Year) (Tentative Date)
2026,2026-08-26,Mouloud (Tentative Date)
2026,2026-12-02,National Day
2026,2026-12-03,National Day Holiday
