year,date,holiday
2026,2026-01-01,New Year's Day
2026,2026-02-16,Carnival / Shrove Monday
2026,2026-02-17,Carnival / Shrove Tuesday / Pancake Day
2026,2026-03-23,Tourist Bridge Holiday
2026,2026-03-24,Memorial Day
2026,2026-04-02,Day of the Veterans
2026,2026-04-03,Good Friday
2026,2026-05-01,Labor Day
2026,2026-05-25,National Day/May 1810 Revolution
2026,2026-06-15,Commemoration of General Don Martín Miguel de Güemes
2026,2026-06-20,Flag Day
2026,2026-07-09,Independence Day
2026,2026-07-10,Tourist Bridge Holiday
2026,2026-08-17,San Martín Day
2026,2026-10-12,Day of Respect for Cultural Diversity
2026,2026-11-23,National Sovereignty Day
2026,2026-12-07,Tourist Bridge Holiday
2026,2026-12-08,Immaculate Conception
2026,2026-12-25,Christmas Day
2027,2027-01-01,New Year's Day
2027,2027-02-08,Carnival / Shrove Monday
2027,2027-02-09,Carnival / Shrove Tuesday / Pancake Day
2027,2027-03-24,Memorial Day
2027,2027-03-26,Good Friday
2027,2027-04-02,Day of the Veterans
2027,2027-05-01,Labor Day
2027,2027-05-25,National Day/May 1810 Revolution
2027,2027-06-17,Commemoration of General Don Martín Miguel de Güemes
2027,2027-06-20,Flag Day
2027,2027-07-09,Independence Day
2027,2027-08-16,San Martín Day
2027,2027-10-11,Day of Respect for Cultural Diversity
2027,2027-11-22,National Sovereignty Day
2027,2027-12-08,Immaculate Conception
2027,2027-12-25,Christmas Day
2028,2028-01-01,New Year's Day
2028,2028-02-28,Carnival / Shrove Monday
2028,2028-02-29,Carnival / Shrove Tuesday / Pancake Day
2028,2028-03-24,Memorial Day
2028,2028-04-02,Day of the Veterans
2028,2028-04-14,Good Friday
2028,2028-05-01,Labor Day
2028,2028-05-25,National Day/May 1810 Revolution
2028,2028-06-17,Commemoration of General Don Martín Miguel de Güemes
2028,2028-06-20,Flag Day
2028,2028-07-09,Independence Day
2028,2028-08-21,San Martín Day
2028,2028-10-09,Day of Respect for Cultural Diversity
2028,2028-11-20,National Sovereignty Day
2028,2028-12-08,Immaculate Conception
2028,2028-12-25,Christmas Day
2029,2029-01-01,New Year's Day
2029,2029-02-12,Carnival / Shrove Monday
2029,2029-02-13,Carnival / Shrove Tuesday / Pancake Day
2029,2029-03-24,Memorial Day
2029,2029-03-30,Good Friday
2029,2029-04-02,Day of the Veterans
2029,2029-05-01,Labor Day
2029,2029-05-25,National Day/May 1810 Revolution
2029,2029-06-17,Commemoration of General Don Martín Miguel de Güemes
2029,2029-06-20,Flag Day
2029,2029-07-09,Independence Day
2029,2029-08-20,San Martín Day
2029,2029-10-08,Day of Respect for Cultural Diversity
2029,2029-11-19,National Sovereignty Day
2029,2029-12-08,Immaculate Conception
2029,2029-12-25,Christmas Day
2030,2030-01-01,New Year's Day
2030,2030-03-04,Carnival / Shrove Monday
2030,2030-03-05,Carnival / Shrove Tuesday / Pancake Day
2030,2030-03-24,Memorial Day
2030,2030-04-02,Day of the Veterans
2030,2030-04-19,Good Friday
2030,2030-05-01,Labor Day
2030,2030-05-25,National Day/May 1810 Revolution
2030,2030-06-17,Commemoration of General Don Martín Miguel de Güemes
2030,2030-06-20,Flag Day
2030,2030-07-09,Independence Day
2030,2030-10-14,Day of Respect for Cultural Diversity
2030,2030-11-18,National Sovereignty Day
2030,2030-12-09,Immaculate Conception
2030,2030-12-25,Christmas Day
2031,2031-01-01,New Year's Day
2031,2031-02-24,Carnival / Shrove Monday
2031,2031-02-25,Carnival / Shrove Tuesday / Pancake Day
2031,2031-03-24,Memorial Day
2031,2031-04-02,Day of the Veterans
2031,2031-04-11,Good Friday
2031,2031-05-01,Labor Day
2031,2031-05-25,National Day/May 1810 Revolution
2031,2031-06-17,Commemoration of General Don Martín Miguel de Güemes
2031,2031-06-20,Flag Day
2031,2031-07-09,Independence Day
2031,2031-08-17,San Martín Day
2031,2031-10-13,Day of Respect for Cultural Diversity
2031,2031-11-24,National Sovereignty Day
2031,2031-12-08,Immaculate Conception
2031,2031-12-25,Christmas Day
2032,2032-01-01,New Year's Day
2032,2032-02-09,Carnival / Shrove Monday
2032,2032-02-10,Carnival / Shrove Tuesday / Pancake Day
2032,2032-03-24,Memorial Day
2032,2032-03-26,Good Friday
2032,2032-04-02,Day of the Veterans
2032,2032-05-01,Labor Day
2032,2032-05-25,National Day/May 1810 Revolution
2032,2032-06-17,Commemoration of General Don Martín Miguel de Güemes
2032,2032-06-20,Flag Day
2032,2032-07-09,Independence Day
2032,2032-08-16,San Martín Day
2032,2032-08-17,San Martín Day
2032,2032-10-11,Day of Respect for Cultural Diversity
2032,2032-11-22,National Sovereignty Day
2032,2032-12-08,Immaculate Conception
2032,2032-12-25,Christmas Day
2033,2033-01-01,New Year's Day
2033,2033-02-28,Carnival / Shrove Monday
2033,2033-03-01,Carnival / Shrove Tuesday / Pancake Day
2033,2033-03-24,Memorial Day
2033,2033-04-02,Day of the Veterans
