year,date,holiday
2026,2026-01-01,New Year's Day
2026,2026-01-12,Epiphany
2026,2026-03-23,Saint Joseph's Day
2026,2026-04-02,Maundy Thursday
2026,2026-04-03,Good Friday
2026,2026-05-01,Labor Day
2026,2026-05-18,Ascension Day
2026,2026-06-08,Corpus Christi Holiday
2026,2026-06-15,Sacred Heart
2026,2026-06-29,Feast of Saint Peter and Saint Paul Holiday
2026,2026-07-13,Day of the Virgin of the Rosary of Chiquinquirá Holiday
2026,2026-07-20,Independence Day
2026,2026-08-07,Battle of Boyacá Day
2026,2026-08-17,Assumption of Mary Holiday
2026,2026-10-12,Columbus Day Holiday
2026,2026-11-02,All Saints' Day Holiday
2026,2026-11-16,Independence of Cartagena
2026,2026-12-08,Feast of the Immaculate Conception
2026,2026-12-25,Christmas Day
2027,2027-01-01,New Year's Day
2027,2027-01-11,Epiphany
2027,2027-03-22,Saint Joseph's Day
2027,2027-03-25,Maundy Thursday
2027,2027-03-26,Good Friday
2027,2027-05-01,Labor Day
2027,2027-05-10,Ascension Day
2027,2027-05-31,Corpus Christi Holiday
2027,2027-06-07,Sacred Heart
2027,2027-07-05,Feast of Saint Peter and Saint Paul Holiday
2027,2027-07-12,Day of the Virgin of the Rosary of Chiquinquirá Holiday
2027,2027-07-20,Independence Day
2027,2027-08-07,Battle of Boyacá Day
2027,2027-08-16,Assumption of Mary Holiday
2027,2027-10-18,Columbus Day Holiday
2027,2027-11-01,All Saints' Day Holiday
2027,2027-11-15,Independence of Cartagena
2027,2027-12-08,Feast of the Immaculate Conception
2027,2027-12-25,Christmas Day
2028,2028-01-01,New Year's Day
2028,2028-01-10,Epiphany
2028,2028-03-20,Saint Joseph's Day
2028,2028-04-13,Maundy Thursday
2028,2028-04-14,Good Friday
2028,2028-05-01,Labor Day
2028,2028-05-29,Ascension Day
2028,2028-06-19,Corpus Christi Holiday
2028,2028-06-26,Sacred Heart
2028,2028-07-03,Feast of Saint Peter and Saint Paul Holiday
2028,2028-07-10,Day of the Virgin of the Rosary of Chiquinquirá Holiday
2028,2028-07-20,Independence Day
2028,2028-08-07,Battle of Boyacá Day
2028,2028-08-21,Assumption of Mary Holiday
2028,2028-10-16,Columbus Day Holiday
2028,2028-11-06,All Saints' Day Holiday
2028,2028-11-13,Independence of Cartagena
2028,2028-12-08,Feast of the Immaculate Conception
2028,2028-12-25,Christmas Day
2029,2029-01-01,New Year's Day
2029,2029-01-08,Epiphany
2029,2029-03-19,Saint Joseph's Day
2029,2029-03-29,Maundy Thursday
2029,2029-03-30,Good Friday
2029,2029-05-01,Labor Day
2029,2029-05-14,Ascension Day
2029,2029-06-04,Corpus Christi Holiday
2029,2029-06-11,Sacred Heart
2029,2029-07-02,Feast of Saint Peter and Saint Paul Holiday
2029,2029-07-09,Day of the Virgin of the Rosary of Chiquinquirá Holiday
2029,2029-07-20,Independence Day
2029,2029-08-07,Battle of Boyacá Day
2029,2029-08-20,Assumption of Mary Holiday
2029,2029-10-15,Columbus Day Holiday
2029,2029-11-05,All Saints' Day Holiday
2029,2029-11-12,Independence of Cartagena
