year,date,holiday
2026,2026-01-01,New Year's Day
2026,2026-01-11,Anniversary of the Independence Manifesto
2026,2026-01-14,Amazigh New Year
2026,2026-03-20,Eid al-Fitr (Tentative Date)
2026,2026-03-21,Eid al-Fitr Holiday (Tentative Date)
2026,2026-05-01,Labour Day/May Day
2026,2026-05-27,Eid al-Adha (Tentative Date)
2026,2026-05-28,Eid al-Adha Holiday (Tentative Date)
2026,2026-06-17,Hijra New Year (Tentative Date)
2026,2026-07-30,Feast of the Throne
2026,2026-08-14,Anniversary of the Recovery Oued Ed-Dahab
2026,2026-08-20,Anniversary of the Revolution of the King and the People
2026,2026-08-21,Youth Day
2026,2026-08-25,The Prophet Muhammad's Birthday (Tentative Date)
2026,2026-10-31,Unity Day
2026,2026-11-06,Anniversary of the Green March
2026,2026-11-18,Independence Day
2027,2027-01-01,New Year's Day
2027,2027-01-11,Anniversary of the Independence Manifesto
2027,2027-01-14,Amazigh New Year
2027,2027-03-10,Eid al-Fitr (Tentative Date)
2027,2027-03-11,Eid al-Fitr Holiday (Tentative Date)
2027,2027-05-01,Labour Day/May Day
2027,2027-05-17,Eid al-Adha (Tentative Date)
2027,2027-05-18,Eid al-Adha Holiday (Tentative Date)
2027,2027-06-06,Hijra New Year (Tentative Date)
2027,2027-07-30,Feast of the Throne
2027,2027-08-14,Anniversary of the Recovery Oued Ed-Dahab
2027,2027-08-15,The Prophet Muhammad's Birthday (Tentative Date)
2027,2027-08-16,The Prophet Muhammad's Birthday Holiday (Tentative Date)
2027,2027-08-20,Anniversary of the Revolution of the King and the People
2027,2027-08-21,Youth Day
2027,2027-10-31,Unity Day
2027,2027-11-06,Anniversary of the Green March
2027,2027-11-18,Independence Day
2028,2028-01-01,New Year's Day
2028,2028-01-11,Anniversary of the Independence Manifesto
2028,2028-01-14,Amazigh New Year
2028,2028-02-27,Eid al-Fitr (Tentative Date)
2028,2028-02-28,Eid al-Fitr Holiday (Tentative Date)
2028,2028-05-01,Labour Day/May Day
2028,2028-05-05,Eid al-Adha (Tentative Date)
2028,2028-05-06,Eid al-Adha Holiday (Tentative Date)
2028,2028-05-25,Hijra New Year (Tentative Date)
2028,2028-07-30,Feast of the Throne
2028,2028-08-03,The Prophet Muhammad's Birthday (Tentative Date)
2028,2028-08-04,The Prophet Muhammad's Birthday Holiday (Tentative Date)
2028,2028-08-14,Anniversary of the Recovery Oued Ed-Dahab
2028,2028-08-20,Anniversary of the Revolution of the King and the People
2028,2028-08-21,Youth Day
2028,2028-10-31,Unity Day
2028,2028-11-06,Anniversary of the Green March
2028,2028-11-18,Independence Day
2029,2029-01-01,New Year's Day
2029,2029-01-11,Anniversary of the Independence Manifesto
2029,2029-01-14,Amazigh New Year
2029,2029-02-15,Eid al-Fitr (Tentative Date)
2029,2029-02-16,Eid al-Fitr Holiday (Tentative Date)
2029,2029-04-24,Eid al-Adha (Tentative Date)
2029,2029-04-25,Eid al-Adha Holiday (Tentative Date)
2029,2029-05-01,Labour Day/May Day
2029,2029-05-15,Hijra New Year (Tentative Date)
2029,2029-07-24,The Prophet Muhammad's Birthday (Tentative Date)
2029,2029-07-25,The Prophet Muhammad's Birthday Holiday (Tentative Date)
2029,2029-07-30,Feast of the Throne
2029,2029-08-14,Anniversary of the Recovery Oued Ed-Dahab
2029,2029-08-20,Anniversary of the Revolution of the King and the People
2029,2029-08-21,Youth Day
2029,2029-10-31,Unity Day
2029,2029-11-06,Anniversary of the Green March
2029,2029-11-18,Independence Day
2030,2030-01-01,New Year's Day
2030,2030-01-11,Anniversary of the Independence Manifesto
2030,2030-01-14,Amazigh New Year
2030,2030-02-05,Eid al-Fitr (Tentative Date)
2030,2030-02-06,Eid al-Fitr Holiday (Tentative Date)
2030,2030-04-13,Eid al-Adha (Tentative Date)
2030,2030-04-14,Eid al-Adha Holiday (Tentative Date)
2030,2030-05-01,Labour Day/May Day
2030,2030-05-04,Hijra New Year (Tentative Date)
2030,2030-07-13,The Prophet Muhammad's Birthday (Tentative Date)
2030,2030-07-14,The Prophet Muhammad's Birthday Holiday (Tentative Date)
2030,2030-07-30,Feast of the Throne
2030,2030-08-14,Anniversary of the Recovery Oued Ed-Dahab
2030,2030-08-20,Anniversary of the Revolution of the King and the People
2030,2030-08-21,Youth Day
2030,2030-10-31,Unity Day
2030,2030-11-06,Anniversary of the Green March
2030,2030-11-18,Independence Day
2031,2031-01-01,New Year's Day
2031,2031-01-11,Anniversary of the Independence Manifesto
2031,2031-01-14,Amazigh New Year
2031,2031-01-25,Eid al-Fitr (Tentative Date)
2031,2031-01-26,Eid al-Fitr Holiday (Tentative Date)
2031,2031-04-03,Eid al-Adha (Tentative Date)
2031,2031-04-04,Eid al-Adha Holiday (Tentative Date)
2031,2031-04-23,Hijra New Year (Tentative Date)
2031,2031-05-01,Labour Day/May Day
2031,2031-07-02,The Prophet Muhammad's Birthday (Tentative Date)
2031,2031-07-03,The Prophet Muhammad's Birthday Holiday (Tentative Date)
2031,2031-07-30,Feast of the Throne
2031,2031-08-14,Anniversary of the Recovery Oued Ed-Dahab
2031,2031-08-20,Anniversary of the Revolution of the King and the People
2031,2031-08-21,Youth Day
2031,2031-10-31,Unity Day
2031,2031-11-06,Anniversary of the Green March
2031,2031-11-18,Independence Day
2032,2032-01-01,New Year's Day
2032,2032-01-11,Anniversary of the Independence Manifesto
2032,2032-01-14,Amazigh New Year
2032,2032-01-14,Eid al-Fitr (Tentative Date)
2032,2032-01-15,Eid al-Fitr Holiday (Tentative Date)
2032,2032-03-22,Eid al-Adha (Tentative Date)
2032,2032-03-23,Eid al-Adha Holiday (Tentative Date)
2032,2032-04-12,Hijra New Year (Tentative Date)
2032,2032-05-01,Labour Day/May Day
2032,2032-06-21,The Prophet Muhammad's Birthday (Tentative Date)
2032,2032-06-22,The Prophet Muhammad's Birthday Holiday (Tentative Date)
2032,2032-07-30,Feast of the Throne
2032,2032-08-14,Anniversary of the Recovery Oued Ed-Dahab
2032,2032-08-20,Anniversary of the Revolution of the King and the People
2032,2032-08-21,Youth Day
2032,2032-10-31,Unity Day
2032,2032-11-06,Anniversary of the Green March
2032,2032-11-18,Independence Day
2033,2033-01-01,New Year's Day
2033,2033-01-03,Eid al-Fitr (Tentative Date)
2033,2033-01-04,Eid al-Fitr Holiday (Tentative Date)
2033,2033-01-11,Anniversary of the Independence Manifesto
2033,2033-01-14,Amazigh New Year
2033,2033-03-12,Eid al-Adha (Tentative Date)
2033,2033-03-13,Eid al-Adha Holiday (Tentative Date)
2033,2033-04-01,Hijra New Year (Tentative Date)
2033,2033-05-01,Labour Day/May Day
2033,2033-06-10,The Prophet Muhammad's Birthday (Tentative Date)
2033,2033-06-11,The Prophet Muhammad's Birthday Holiday (Tentative Date)
2033,2033-07-30,Feast of the Throne
2033,2033-08-14,Anniversary of the Recovery Oued Ed-Dahab
2033,2033-08-20,Anniversary of the Revolution of the King and the People
2033,2033-08-21,Youth Day
2033,2033-10-31,Unity Day
2033,2033-11-06,Anniversary of the Green March
2033,2033-11-18,Independence Day
2033,2033-12-23,Eid al-Fitr (Tentative Date)
2033,2033-12-24,Eid al-Fitr Holiday (Tentative Date)
2034,2034-01-01,New Year's Day
2034,2034-01-11,Anniversary of the Independence Manifesto
2034,2034-01-14,Amazigh New Year
2034,2034-03-01,Eid al-Adha (Tentative Date)
2034,2034-03-02,Eid al-Adha Holiday (Tentative Date)
2034,2034-03-21,Hijra New Year (Tentative Date)
2034,2034-05-01,Labour Day/May Day
2034,2034-05-30,The Prophet Muhammad's Birthday (Tentative Date)
2034,2034-05-31,The Prophet Muhammad's Birthday Holiday (Tentative Date)
2034,2034-07-30,Feast of the Throne
2034,2034-08-14,Anniversary of the Recovery Oued Ed-Dahab
2034,2034-08-20,Anniversary of the Revolution of the King and the People
2034,2034-08-21,Youth Day
2034,2034-10-31,Unity Day
2034,2034-11-06,Anniversary of the Green March
2034,2034-11-18,Independence Day
2034,2034-12-12,Eid al-Fitr (Tentative Date)
2034,2034-12-13,Eid al-Fitr Holiday (Tentative Date)
2035,2035-01-01,New Year's Day
2035,2035-01-11,Anniversary of the Independence Manifesto
2035,2035-01-14,Amazigh New Year
2035,2035-02-19,Eid al-Adha (Tentative Date)
2035,2035-02-20,Eid al-Adha Holiday (Tentative Date)
2035,2035-03-11,Hijra New Year (Tentative Date)
2035,2035-05-01,Labour Day/May Day
2035,2035-05-20,The Prophet Muhammad's Birthday (Tentative Date)
2035,2035-05-21,The Prophet Muhammad's Birthday Holiday (Tentative Date)
2035,2035-07-30,Feast of the Throne
2035,2035-08-14,Anniversary of the Recovery Oued Ed-Dahab
2035,2035-08-20,Anniversary of the Revolution of the King and the People
2035,2035-08-21,Youth Day
2035,2035-10-31,Unity Day
2035,2035-11-06,Anniversary of the Green March
2035,2035-11-18,Independence Day
2035,2035-12-02,Eid al-Fitr (Tentative Date)
2035,2035-12-03,Eid al-Fitr Holiday (Tentative Date)
2036,2036-01-01,New Year's Day
2036,2036-01-11,Anniversary of the Independence Manifesto
2036,2036-01-14,Amazigh New Year
2036,2036-02-08,Eid al-Adha (Tentative Date)
2036,2036-02-09,Eid al-Adha Holiday (Tentative Date)
2036,2036-02-28,Hijra New Year (Tentative Date)
2036,2036-05-01,Labour Day/May Day
2036,2036-05-08,The Prophet Muhammad's Birthday (Tentative Date)
2036,2036-05-09,The Prophet Muhammad's Birthday Holiday (Tentative Date)
2036,2036-07-30,Feast of the Throne
2036,2036-08-14,Anniversary of the Recovery Oued Ed-Dahab
2036,2036-08-20,Anniversary of the Revolution of the King and the People
2036,2036-08-21,Youth Day
2036,2036-10-31,Unity Day
2036,2036-11-06,Anniversary of the Green March
2036,2036-11-18,Independence Day
2036,2036-11-20,Eid al-Fitr (Tentative Date)
2036,2036-11-21,Eid al-Fitr Holiday (Tentative Date)
2037,2037-01-01,New Year's Day
2037,2037-01-11,Anniversary of the Independence Manifesto
2037,2037-01-14,Amazigh New Year
2037,2037-01-27,Eid al-Adha (Tentative Date)
2037,2037-01-28,Eid al-Adha Holiday (Tentative Date)
2037,2037-02-17,Hijra New Year (Tentative Date)
2037,2037-04-28,The Prophet Muhammad's Birthday (Tentative Date)
2037,2037-04-29,The Prophet Muhammad's Birthday Holiday (Tentative Date)
2037,2037-05-01,Labour Day/May Day
2037,2037-07-30,Feast of the Throne
2037,2037-08-14,Anniversary of the Recovery Oued Ed-Dahab
2037,2037-08-20,Anniversary of the Revolution of the King and the People
2037,2037-08-21,Youth Day
2037,2037-10-31,Unity Day
2037,2037-11-06,Anniversary of the Green March
2037,2037-11-10,Eid al-Fitr (Tentative Date)
2037,2037-11-11,Eid al-Fitr Holiday (Tentative Date)
2037,2037-11-18,Independence Day
2038,2038-01-01,New Year's Day
2038,2038-01-11,Anniversary of the Independence Manifesto
2038,2038-01-14,Amazigh New Year
2038,2038-01-16,Eid al-Adha (Tentative Date)
2038,2038-01-17,Eid al-Adha Holiday (Tentative Date)
2038,2038-02-06,Hijra New Year (Tentative Date)
2038,2038-04-17,The Prophet Muhammad's Birthday (Tentative Date)
2038,2038-04-18,The Prophet Muhammad's Birthday Holiday (Tentative Date)
2038,2038-05-01,Labour Day/May Day
2038,2038-07-30,Feast of the Throne
2038,2038-08-14,Anniversary of the Recovery Oued Ed-Dahab
2038,2038-08-20,Anniversary of the Revolution of the King and the People
2038,2038-08-21,Youth Day
2038,2038-10-30,Eid al-Fitr (Tentative Date)
2038,2038-10-31,Eid al-Fitr Holiday (Tentative Date)
2038,2038-10-31,Unity Day
2038,2038-11-06,Anniversary of the Green March
2038,2038-11-18,Independence Day
2039,2039-01-01,New Year's Day
2039,2039-01-06,Eid al-Adha (Tentative Date)
2039,2039-01-07,Eid al-Adha Holiday (Tentative Date)
2039,2039-01-11,Anniversary of the Independence Manifesto
2039,2039-01-14,Amazigh New Year
2039,2039-01-26,Hijra New Year (Tentative Date)
2039,2039-04-06,The Prophet Muhammad's Birthday (Tentative Date)
2039,2039-04-07,The Prophet Muhammad's Birthday Holiday (Tentative Date)
2039,2039-05-01,Labour Day/May Day
2039,2039-07-30,Feast of the Throne
2039,2039-08-14,Anniversary of the Recovery Oued Ed-Dahab
2039,2039-08-20,Anniversary of the Revolution of the King and the People
2039,2039-08-21,Youth Day
2039,2039-10-19,Eid al-Fitr (Tentative Date)
2039,2039-10-20,Eid al-Fitr Holiday (Tentative Date)
2039,2039-10-31,Unity Day
