year,date,holiday
2026,2026-01-01,New Year's Day
2026,2026-02-02,Constitution Day
2026,2026-03-16,Benito Juárez's Birthday Memorial
2026,2026-04-02,Maundy Thursday
2026,2026-04-03,Good Friday
2026,2026-05-01,Labor Day
2026,2026-09-16,Independence Day
2026,2026-11-16,Revolution Day Memorial
2026,2026-12-12,Day of the Virgin of Guadalupe
2026,2026-12-25,Christmas Day
2027,2027-01-01,New Year's Day
2027,2027-02-01,Constitution Day
2027,2027-03-15,Benito Juárez's Birthday Memorial
2027,2027-03-25,Maundy Thursday
2027,2027-03-26,Good Friday
2027,2027-05-01,Labor Day
2027,2027-09-16,Independence Day
2027,2027-11-15,Revolution Day Memorial
2027,2027-12-12,Day of the Virgin of Guadalupe
2027,2027-12-25,Christmas Day
2028,2028-01-01,New Year's Day
2028,2028-02-07,Constitution Day
2028,2028-03-20,Benito Juárez's Birthday Memorial
2028,2028-04-13,Maundy Thursday
2028,2028-04-14,Good Friday
2028,2028-05-01,Labor Day
2028,2028-09-16,Independence Day
2028,2028-11-20,Revolution Day Memorial
2028,2028-12-12,Day of the Virgin of Guadalupe
2028,2028-12-25,Christmas Day
2029,2029-01-01,New Year's Day
2029,2029-02-05,Constitution Day
2029,2029-03-19,Benito Juárez's Birthday Memorial
2029,2029-03-29,Maundy Thursday
2029,2029-03-30,Good Friday
2029,2029-05-01,Labor Day
2029,2029-09-16,Independence Day
2029,2029-11-19,Revolution Day Memorial
2029,2029-12-12,Day of the Virgin of Guadalupe
2029,2029-12-25,Christmas Day
2030,2030-01-01,New Year's Day
2030,2030-02-04,Constitution Day
2030,2030-03-18,Benito Juárez's Birthday Memorial
2030,2030-04-18,Maundy Thursday
2030,2030-04-19,Good Friday
2030,2030-05-01,Labor Day
2030,2030-09-16,Independence Day
2030,2030-10-01,Inauguration day
2030,2030-11-18,Revolution Day Memorial
2030,2030-12-12,Day of the Virgin of Guadalupe
2030,2030-12-25,Christmas Day
2031,2031-01-01,New Year's Day
2031,2031-02-03,Constitution Day
2031,2031-03-17,Benito Juárez's Birthday Memorial
2031,2031-04-10,Maundy Thursday
2031,2031-04-11,Good Friday
2031,2031-05-01,Labor Day
2031,2031-09-16,Independence Day
2031,2031-11-17,Revolution Day Memorial
2031,2031-12-12,Day of the Virgin of Guadalupe
2031,2031-12-25,Christmas Day
2032,2032-01-01,New Year's Day
2032,2032-02-02,Constitution Day
2032,2032-03-15,Benito Juárez's Birthday Memorial
