year,date,holiday
2026,2026-01-01,New Year's Day
2026,2026-04-03,Good Friday
2026,2026-05-04,Early May Bank Holiday
2026,2026-05-25,Spring Bank Holiday
2026,2026-12-25,Christmas Day
2026,2026-12-26,Boxing Day
2026,2026-12-28,Substitute Bank Holiday for Boxing Day
2027,2027-01-01,New Year's Day
2027,2027-03-26,Good Friday
2027,2027-05-03,Early May Bank Holiday
2027,2027-05-31,Spring Bank Holiday
2027,2027-12-25,Christmas Day
2027,2027-12-26,Boxing Day
2027,2027-12-27,Substitute Bank Holiday for Christmas Day
2027,2027-12-28,Substitute Bank Holiday for Boxing Day
2028,2028-01-01,New Year's Day
2028,2028-01-03,New Year's Day observed
2028,2028-04-14,Good Friday
2028,2028-05-01,Early May Bank Holiday
2028,2028-05-29,Spring Bank Holiday
2028,2028-12-25,Christmas Day
2028,2028-12-26,Boxing Day
2029,2029-01-01,New Year's Day
2029,2029-03-30,Good Friday
2029,2029-05-07,Early May Bank Holiday
2029,2029-05-28,Spring Bank Holiday
2029,2029-12-25,Christmas Day
2029,2029-12-26,Boxing Day
2030,2030-01-01,New Year's Day
2030,2030-04-19,Good Friday
2030,2030-05-06,Early May Bank Holiday
2030,2030-05-27,Spring Bank Holiday
2030,2030-12-25,Christmas Day
2030,2030-12-26,Boxing Day
2031,2031-01-01,New Year's Day
2031,2031-04-11,Good Friday
2031,2031-05-05,Early May Bank Holiday
2031,2031-05-26,Spring Bank Holiday
2031,2031-12-25,Christmas Day
2031,2031-12-26,Boxing Day
2032,2032-01-01,New Year's Day
2032,2032-03-26,Good Friday
2032,2032-05-03,Early May Bank Holiday
2032,2032-05-31,Spring Bank Holiday
2032,2032-12-25,Christmas Day
2032,2032-12-26,Boxing Day
2032,2032-12-27,Substitute Bank Holiday for Christmas Day
2032,2032-12-28,Substitute Bank Holiday for Boxing Day
2033,2033-01-01,New Year's Day
2033,2033-01-03,New Year's Day observed
2033,2033-04-15,Good Friday
2033,2033-05-02,Early May Bank Holiday
2033,2033-05-30,Spring Bank Holiday
2033,2033-12-25,Christmas Day
2033,2033-12-26,Boxing Day
2033,2033-12-27,Substitute Bank Holiday for Christmas Day
2034,2034-01-01,New Year's Day
2034,2034-01-02,New Year's Day observed
2034,2034-04-07,Good Friday
2034,2034-05-01,Early May Bank Holiday
2034,2034-05-29,Spring Bank Holiday
2034,2034-12-25,Christmas Day
2034,2034-12-26,Boxing Day
2035,2035-01-01,New Year's Day
2035,2035-03-23,Good Friday
2035,2035-05-07,Early May Bank Holiday
2035,2035-05-28,Spring Bank Holiday
2035,2035-12-25,Christmas Day
2035,2035-12-26,Boxing Day
2036,2036-01-01,New Year's Day
2036,2036-04-11,Good Friday
2036,2036-05-05,Early May Bank Holiday
2036,2036-05-26,Spring Bank Holiday
2036,2036-12-25,Christmas Day
2036,2036-12-26,Boxing Day
2037,2037-01-01,New Year's Day
2037,2037-04-03,Good Friday
2037,2037-05-04,Early May Bank Holiday
2037,2037-05-25,Spring Bank Holiday
2037,2037-12-25,Christmas Day
2037,2037-12-26,Boxing Day
2037,2037-12-28,Substitute Bank Holiday for Boxing Day
2038,2038-01-01,New Year's Day
2038,2038-04-23,Good Friday
2038,2038-05-03,Early May Bank Holiday
2038,2038-05-31,Spring Bank Holiday
2038,2038-12-25,Christmas Day
2038,2038-12-26,Boxing Day
2038,2038-12-27,Substitute Bank Holiday for Christmas Day
2038,2038-12-28,Substitute Bank Holiday for Boxing Day
2039,2039-01-01,New Year's Day
2039,2039-01-03,New Year's Day observed
2039,2039-04-08,Good Friday
2039,2039-05-02,Early May Bank Holiday
2039,2039-05-30,Spring Bank Holiday
2039,2039-12-25,Christmas Day
2039,2039-12-26,Boxing Day
2039,2039-12-27,Substitute Bank Holiday for Christmas Day
2040,2040-01-01,New Year's Day
2040,2040-01-02,New Year's Day observed
2040,2040-03-30,Good Friday
2040,2040-05-07,Early May Bank Holiday
2040,2040-05-28,Spring Bank Holiday
2040,2040-12-25,Christmas Day
2040,2040-12-26,Boxing Day
