id,sequence,description,description@es,description@ca,invoice_label,invoice_label@es,invoice_label@ca,type_tax_use,name,amount,amount_type,tax_group_id,l10n_ad_type,tax_scope,repartition_line_ids/repartition_type,repartition_line_ids/tag_ids,repartition_line_ids/document_type,repartition_line_ids/account_id
account_tax_template_s_igi9-5,0,"IGI 9,5%","IGI 9,5%","IGI 9,5%",,,,sale,"9,5% S",9.5,percent,tax_group_igi_9-5,subjecte,service,base,,invoice,
,,,,,,,,,,,,,,,tax,,invoice,account_account_477
,,,,,,,,,,,,,,,base,,refund,
,,,,,,,,,,,,,,,tax,,refund,account_account_477
account_tax_template_p_igi9-5,0,"IGI 9,5%","IGI 9,5%","IGI 9,5%",,,,purchase,"9,5% P",9.5,percent,tax_group_igi_9-5,subjecte,service,base,,invoice,
,,,,,,,,,,,,,,,tax,,invoice,account_account_472
,,,,,,,,,,,,,,,base,,refund,
,,,,,,,,,,,,,,,tax,,refund,account_account_472
account_tax_template_p_igi0,,IGI 0%,IGI 0%,IGI 0%,,,,purchase,0% P,0.0,percent,tax_group_igi_0,subjecte,consu,base,,invoice,
,,,,,,,,,,,,,,,tax,,invoice,
,,,,,,,,,,,,,,,base,,refund,
,,,,,,,,,,,,,,,tax,,refund,
account_tax_template_p_igi1,,IGI 1%,IGI 1%,IGI 1%,,,,purchase,1% P,1.0,percent,tax_group_igi_1,subjecte,consu,base,,invoice,
,,,,,,,,,,,,,,,tax,,invoice,account_account_472
,,,,,,,,,,,,,,,base,,refund,
,,,,,,,,,,,,,,,tax,,refund,account_account_472
account_tax_template_p_igi2-5,,"IGI 2,5%","IGI 2,5%","IGI 2,5%",,,,purchase,"2,5% P",2.5,percent,tax_group_igi_2-5,subjecte,consu,base,,invoice,
,,,,,,,,,,,,,,,tax,,invoice,account_account_472
,,,,,,,,,,,,,,,base,,refund,
,,,,,,,,,,,,,,,tax,,refund,account_account_472
account_tax_template_p_igi4-5,,"IGI 4,5%","IGI 4,5%","IGI 4,5%",,,,purchase,"4,5% P",4.5,percent,tax_group_igi_4-5,subjecte,consu,base,,invoice,
,,,,,,,,,,,,,,,tax,,invoice,account_account_472
,,,,,,,,,,,,,,,base,,refund,
,,,,,,,,,,,,,,,tax,,refund,account_account_472
account_tax_template_s_igi0,,IGI 0%,IGI 0%,IGI 0%,,,,sale,0% S,0.0,percent,tax_group_igi_0,subjecte,consu,base,,invoice,
,,,,,,,,,,,,,,,tax,,invoice,
,,,,,,,,,,,,,,,base,,refund,
,,,,,,,,,,,,,,,tax,,refund,
account_tax_template_s_igi1,,IGI 1%,IGI 1%,IGI 1%,,,,sale,1% S,1.0,percent,tax_group_igi_1,subjecte,consu,base,,invoice,
,,,,,,,,,,,,,,,tax,,invoice,account_account_477
,,,,,,,,,,,,,,,base,,refund,
,,,,,,,,,,,,,,,tax,,refund,account_account_477
account_tax_template_s_igi2-5,,"IGI 2,5%","IGI 2,5%","IGI 2,5%",,,,sale,"2,5% S",2.5,percent,tax_group_igi_2-5,subjecte,consu,base,,invoice,
,,,,,,,,,,,,,,,tax,,invoice,account_account_477
,,,,,,,,,,,,,,,base,,refund,
,,,,,,,,,,,,,,,tax,,refund,account_account_477
account_tax_template_s_igi4-5,,"IGI 4,5%","IGI 4,5%","IGI 4,5%",,,,sale,"4,5% S",4.5,percent,tax_group_igi_4-5,subjecte,consu,base,,invoice,
,,,,,,,,,,,,,,,tax,,invoice,account_account_477
,,,,,,,,,,,,,,,base,,refund,
,,,,,,,,,,,,,,,tax,,refund,account_account_477
account_tax_template_s_irpf10,,Withholding IRPF 10%,Retenciones IRPF 10%,Retencions IRPF 10%,Withholding 10%,Retención 10%,Retenció 10%,sale,10% WHI,-10.0,percent,tax_group_retencions_10,retencio,,base,,invoice,
,,,,,,,,,,,,,,,tax,,invoice,account_account_473
,,,,,,,,,,,,,,,base,,refund,
,,,,,,,,,,,,,,,tax,,refund,account_account_473
account_tax_template_p_irpf10,,Withholding IRPF 10%,Retenciones IRPF 10%,Retencions IRPF 10%,,,,purchase,10% WHI,-10.0,percent,tax_group_retencions_10,retencio,,base,,invoice,
,,,,,,,,,,,,,,,tax,,invoice,account_account_475
,,,,,,,,,,,,,,,base,,refund,
,,,,,,,,,,,,,,,tax,,refund,account_account_475
account_tax_template_s_irpf5,,Withholding IRPF 5%,Retenciones IRPF 5%,Retencions IRPF 5%,Withholding 5%,Retención 5%,Retenció 5%,sale,5% WHI,-5.0,percent,tax_group_retencions_5,retencio,,base,,invoice,
,,,,,,,,,,,,,,,tax,,invoice,account_account_473
,,,,,,,,,,,,,,,base,,refund,
,,,,,,,,,,,,,,,tax,,refund,account_account_473
account_tax_template_p_irpf5,,Withholding IRPF 5%,Retenciones IRPF 5%,Retencions IRPF 5%,,,,purchase,5% WHI,-5.0,percent,tax_group_retencions_5,retencio,,base,,invoice,
,,,,,,,,,,,,,,,tax,,invoice,account_account_475
,,,,,,,,,,,,,,,base,,refund,
,,,,,,,,,,,,,,,tax,,refund,account_account_475
