id,l10n_ar_afip_code,l10n_ar_natural_vat,l10n_ar_legal_entity_vat,l10n_ar_other_vat
base.af,301,50000003015,55000003017,51600003015
base.al,401,50000004011,55000004013,51600004011
base.dz,102,50000001020,55000001022,51600001020
base.as,695,50000006952,55000006954,51600006952
base.de,438,50000004380,55000004382,51600004380
base.ad,404,50000004046,55000004048,51600004046
base.ao,149,50000001497,55000001499,51600001497
base.ai,652,50000006529,55000006520,51600006529
base.aq,265,,,
base.ag,237,50000002256,55000002258,51600002256
base.sa,302,50000003023,55000003025,51600003023
base.ar,200,,,
base.am,349,50000006022,55000006024,51600006022
base.aw,653,50000006537,55000006539,51600006537
base.au,501,50000004992,55000004994,51600004992
base.at,405,50000004054,55000004056,51600004054
base.az,350,50000003902,55000003904,51600003902
base.bs,239,50000002906,55000002908,51600002906
base.bh,303,50000003031,55000003033,51600003031
base.bd,345,50000003457,55000003459,51600003457
base.bb,201,50000002019,55000002010,51600002019
base.by,439,50000004399,55000004390,51600004399
base.be,406,50000004062,55000004064,51600004062
base.bz,236,50000002361,55000002363,51600002361
base.bj,112,50000001624,55000001626,51600001624
base.bm,663,50000006634,55000006636,51600006634
base.bt,305,50000002825,55000002827,51600002825
base.mm,304,50000002841,55000002843,51600002841
base.bo,202,50000000040,55000000042,51600000040
base.bq,241,50000006596,55000006598,51600006596
base.ba,446,50000004461,55000004463,51600004461
base.bw,103,50000001039,55000001030,51600001039
base.br,203,50000000059,55000000050,51600000059
base.bn,346,50000003910,55000003912,51600003910
base.bg,407,50000004070,55000004072,51600004070
base.bf,101,50000001012,55000001014,51600001012
base.bi,104,50000001047,55000001049,51600001047
base.kh,306,50000003066,55000003068,51600003066
base.cm,105,50000001055,55000001057,51600001055
base.ca,204,50000002043,55000002045,51600002043
base.cv,150,50000001500,55000001502,51600001500
base.ky,671,50000006715,55000006717,51600006715
base.cf,107,50000001071,55000001073,51600001071
base.td,111,50000001535,55000001537,51600001535
base.cl,208,50000000032,55000000034,51600000032
base.cn,310,50000003104,55000003106,51600003104
base.cy,311,50000003112,55000003114,51600003112
base.co,205,50000002051,55000002053,51600002051
base.km,155,50000001896,55000001898,51600001896
base.cg,108,,,
base.kp,308,50000003082,55000003084,51600003082
base.kr,309,50000003090,55000003092,51600003090
base.ci,110,50000001101,55000001103,51600001101
base.cr,206,50000001586,55000001588,51600001586
base.hr,447,50000006030,55000006032,51600006030
base.cu,207,50000002396,55000002398,51600002396
base.dk,409,50000004097,55000004099,51600004097
base.dm,233,50000002337,55000002339,51600002337
base.ec,210,50000002426,55000002428,51600002426
base.eg,113,50000001136,55000001138,51600001136
base.sv,211,50000002116,55000002118,51600002116
base.ae,331,50000003317,55000003319,51600003317
base.er,160,50000001853,55000001855,51600001853
base.sk,448,50000006065,55000006067,51600006065
base.si,449,50000004496,55000004498,51600004496
base.es,410,50000004100,55000004102,51600004100
base.ps,314,50000003570,55000003572,51600003570
base.us,212,50000002124,55000002126,51600002124
base.ee,440,50000004402,55000004404,51600004402
base.et,161,50000001144,55000001146,51600001144
base.ru,444,50000006014,55000006016,51600006014
base.fj,512,50000005123,55000005125,51600005123
base.ph,312,50000003120,55000003122,51600003120
base.fi,411,50000004119,55000004110,51600004119
base.fr,412,50000004127,55000004129,51600004127
base.ga,115,50000001152,55000001154,51600001152
base.gm,116,50000001160,55000001162,51600001160
base.ge,351,50000003880,55000003882,51600003880
base.gh,117,50000001179,55000001170,51600001179
base.gi,665,50000006650,55000006652,51600006650
base.gd,240,50000002882,55000002884,51600002884
base.gr,413,50000004135,55000004137,51600004135
base.gl,666,50000006669,55000006660,51600006669
base.gu,667,50000006677,55000006679,51600006677
base.gt,213,50000002132,55000002134,51600002132
base.gy,214,50000002140,55000002142,51600002140
base.gg,670,50000006707,55000006709,51600006707
