"id","parent_id","active","code","account_type","name","reconcile","name@es","description","description@es"
"account_group_deudas_iva","account_group_deudas_fiscales","False","2.1.3.03","liability_current","VAT debts","","Deudas IVA","",""
"account_group_deudas_imp_ganancias","account_group_deudas_fiscales","False","2.1.3.04","liability_non_current","Income Tax Debts","","Deudas Imp. Ganancias","",""
"account_group_imp_a_las_ganancias","account_group_egresos","False","5.5","expense","Income Tax","","Imp a las Ganancias","",""
"base_anticipo_ganancias","account_group_creditos_fiscales_ganancias","True","1.1.4.05.010","asset_current","Earnings advance","False","Anticipo ganancias","",""
"base_percepcion_ganancias_sufrida","account_group_creditos_fiscales_ganancias","True","1.1.4.05.020","asset_current","Perceptions of Earnings incurred","False","Percepciones de Ganancias Sufridas","",""
"base_retencion_ganancias_sufrida","account_group_creditos_fiscales_ganancias","True","1.1.4.05.030","asset_current","Withholdings of Profits incurred","False","Retenciones de Ganancias Sufridas","",""
"base_saldo_favor_ganancias","account_group_creditos_fiscales_ganancias","True","1.1.4.05.040","asset_current","Profit balance","False","Saldo a favor Ganancias","",""
"ri_retencion_sicore_a_pagar","account_group_deudas_iibb","True","2.1.3.02.020","liability_payable","SICORE to be paid","True","SICORE a pagar","",""
"ri_retencion_iibb_caba_aplicada","account_group_deudas_iibb","True","2.1.3.02.030","liability_current","IIBB CABA withholding applied","False","Retención IIBB CABA aplicada","",""
"ri_percepcion_iibb_caba_aplicada","account_group_deudas_iibb","True","2.1.3.02.040","liability_current","Perception of IIBB CABA applied","False","Percepción IIBB CABA aplicada","",""
"ri_retencion_iibb_ba_aplicada","account_group_deudas_iibb","True","2.1.3.02.050","liability_current","IIBB P. Buenos Aires withholding applied","False","Retención IIBB P. Buenos Aires aplicada","",""
"ri_percepcion_iibb_ba_aplicada","account_group_deudas_iibb","True","2.1.3.02.060","liability_current","Perception IIBB P. Buenos Aires applied","False","Percepción IIBB P. Buenos Aires aplicada","",""
"ri_retencion_iibb_ca_aplicada","account_group_deudas_iibb","True","2.1.3.02.070","liability_current","IIBB withholding Catamarca applied","False","Retención IIBB Catamarca aplicada","",""
"ri_percepcion_iibb_ca_aplicada","account_group_deudas_iibb","True","2.1.3.02.080","liability_current","Perception IIBB Catamarca applied","False","Percepción IIBB Catamarca aplicada","",""
"ri_retencion_iibb_co_aplicada","account_group_deudas_iibb","True","2.1.3.02.090","liability_current","IIBB Córdoba withholding applied","False","Retención IIBB Córdoba aplicada","",""
"ri_percepcion_iibb_co_aplicada","account_group_deudas_iibb","True","2.1.3.02.100","liability_current","Perception IIBB Córdoba applied","False","Percepción IIBB Córdoba aplicada","",""
"ri_retencion_iibb_rr_aplicada","account_group_deudas_iibb","True","2.1.3.02.110","liability_current","IIBB Corrientes withholding applied","False","Retención IIBB Corrientes aplicada","",""
"ri_percepcion_iibb_rr_aplicada","account_group_deudas_iibb","True","2.1.3.02.120","liability_current","Perception of IIBB Corrientes applied","False","Percepción IIBB Corrientes aplicada","",""
"ri_retencion_iibb_er_aplicada","account_group_deudas_iibb","True","2.1.3.02.130","liability_current","IIBB withholding Entre Río applied","False","Retención IIBB Entre Río aplicada","",""
"ri_percepcion_iibb_er_aplicada","account_group_deudas_iibb","True","2.1.3.02.140","liability_current","Perception of IIBB Entre Río applied","False","Percepción IIBB Entre Río aplicada","",""
"ri_retencion_iibb_ju_aplicada","account_group_deudas_iibb","True","2.1.3.02.150","liability_current","IIBB Jujuy withholding applied","False","Retención IIBB Jujuy aplicada","",""
"ri_percepcion_iibb_ju_aplicada","account_group_deudas_iibb","True","2.1.3.02.160","liability_current","Perception IIBB Jujuy applied","False","Percepción IIBB Jujuy aplicada","",""
"ri_retencion_iibb_za_aplicada","account_group_deudas_iibb","True","2.1.3.02.170","liability_current","IIBB Mendoza withholding applied","False","Retención IIBB Mendoza aplicada","",""
"ri_percepcion_iibb_za_aplicada","account_group_deudas_iibb","True","2.1.3.02.180","liability_current","Perception IIBB Mendoza applied","False","Percepción IIBB Mendoza aplicada","",""
"ri_retencion_iibb_lr_aplicada","account_group_deudas_iibb","True","2.1.3.02.190","liability_current","IIBB withholding La Rioja applied","False","Retención IIBB La Rioja aplicada","",""
"ri_percepcion_iibb_lr_aplicada","account_group_deudas_iibb","True","2.1.3.02.200","liability_current","Perception IIBB La Rioja applied","False","Percepción IIBB La Rioja aplicada","",""
"ri_retencion_iibb_sa_aplicada","account_group_deudas_iibb","True","2.1.3.02.210","liability_current","IIBB withholding IIBB Salta applied","False","Retención IIBB Salta aplicada","",""
"ri_percepcion_iibb_sa_aplicada","account_group_deudas_iibb","True","2.1.3.02.220","liability_current","Perception IIBB Salta applied","False","Percepción IIBB Salta aplicada","",""
"ri_retencion_iibb_nn_aplicada","account_group_deudas_iibb","True","2.1.3.02.230","liability_current","IIBB withholding San Juan applied","False","Retención IIBB San Juan aplicada","",""
"ri_percepcion_iibb_nn_aplicada","account_group_deudas_iibb","True","2.1.3.02.240","liability_current","Perception IIBB San Juan applied","False","Percepción IIBB San Juan aplicada","",""
"ri_retencion_iibb_sl_aplicada","account_group_deudas_iibb","True","2.1.3.02.250","liability_current","IIBB withholding San Luis applied","False","Retención IIBB San Luis aplicada","",""
"ri_percepcion_iibb_sl_aplicada","account_group_deudas_iibb","True","2.1.3.02.260","liability_current","Perception IIBB San Luis applied","False","Percepción IIBB San Luis aplicada","",""
"ri_retencion_iibb_sf_aplicada","account_group_deudas_iibb","True","2.1.3.02.270","liability_current","Withholding IIBB Santa Fe applied","False","Retención IIBB Santa Fe aplicada","",""
"ri_percepcion_iibb_sf_aplicada","account_group_deudas_iibb","True","2.1.3.02.280","liability_current","Perception IIBB Santa Fe applied","False","Percepción IIBB Santa Fe aplicada","",""
"ri_retencion_iibb_se_aplicada","account_group_deudas_iibb","True","2.1.3.02.290","liability_current","IIBB Santiago del Estero withholding applied","False","Retención IIBB Santiago del Estero aplicada","",""
"ri_percepcion_iibb_se_aplicada","account_group_deudas_iibb","True","2.1.3.02.300","liability_current","Perception IIBB Santiago del Estero applied","False","Percepción IIBB Santiago del Estero aplicada","",""
"ri_retencion_iibb_tn_aplicada","account_group_deudas_iibb","True","2.1.3.02.310","liability_current","IIBB withholding Tucumán applied","False","Retención IIBB Tucumán aplicada","",""
"ri_percepcion_iibb_tn_aplicada","account_group_deudas_iibb","True","2.1.3.02.320","liability_current","Perception IIBB Tucumán applied","False","Percepción IIBB Tucumán aplicada","",""
"ri_retencion_iibb_ha_aplicada","account_group_deudas_iibb","True","2.1.3.02.330","liability_current","IIBB Chaco withholding applied","False","Retención IIBB Chaco aplicada","",""
"ri_percepcion_iibb_ha_aplicada","account_group_deudas_iibb","True","2.1.3.02.340","liability_current","Perception IIBB Chaco applied","False","Percepción IIBB Chaco aplicada","",""
"ri_retencion_iibb_ct_aplicada","account_group_deudas_iibb","True","2.1.3.02.350","liability_current","IIBB Chubut withholding applied","False","Retención IIBB Chubut aplicada","",""
"ri_percepcion_iibb_ct_aplicada","account_group_deudas_iibb","True","2.1.3.02.360","liability_current","Perception IIBB Chubut applied","False","Percepción IIBB Chubut aplicada","",""
"ri_retencion_iibb_fo_aplicada","account_group_deudas_iibb","True","2.1.3.02.370","liability_current","IIBB Formosa withholding applied","False","Retención IIBB Formosa aplicada","",""
"ri_percepcion_iibb_fo_aplicada","account_group_deudas_iibb","True","2.1.3.02.380","liability_current","Perception IIBB Formosa applied","False","Percepción IIBB Formosa aplicada","",""
"ri_retencion_iibb_mi_aplicada","account_group_deudas_iibb","True","2.1.3.02.390","liability_current","IIBB Misiones withholding applied","False","Retención IIBB Misiones aplicada","",""
"ri_percepcion_iibb_mi_aplicada","account_group_deudas_iibb","True","2.1.3.02.400","liability_current","Perception IIBB Misiones applied","False","Percepción IIBB Misiones aplicada","",""
"ri_retencion_iibb_ne_aplicada","account_group_deudas_iibb","True","2.1.3.02.410","liability_current","IIBB withholding Neuquén applied","False","Retención IIBB Neuquén aplicada","",""
"ri_percepcion_iibb_ne_aplicada","account_group_deudas_iibb","True","2.1.3.02.420","liability_current","Perception IIBB Neuquén applied","False","Percepción IIBB Neuquén aplicada","",""
"ri_retencion_iibb_lp_aplicada","account_group_deudas_iibb","True","2.1.3.02.430","liability_current","IIBB withholding La Pampa applied","False","Retención IIBB La Pampa aplicada","",""
"ri_percepcion_iibb_lp_aplicada","account_group_deudas_iibb","True","2.1.3.02.440","liability_current","Perception of IIBB La Pampa applied","False","Percepción IIBB La Pampa aplicada","",""
"ri_retencion_iibb_rn_aplicada","account_group_deudas_iibb","True","2.1.3.02.450","liability_current","IIBB withholding Rio Negro applied","False","Retención IIBB Río Negro aplicada","",""
"ri_percepcion_iibb_rn_aplicada","account_group_deudas_iibb","True","2.1.3.02.460","liability_current","Perception IIBB Río Negro applied","False","Percepción IIBB Río Negro aplicada","",""
"ri_retencion_iibb_az_aplicada","account_group_deudas_iibb","True","2.1.3.02.470","liability_current","IIBB withholding Santa Cruz applied","False","Retención IIBB Santa Cruz aplicada","",""
"ri_percepcion_iibb_az_aplicada","account_group_deudas_iibb","True","2.1.3.02.480","liability_current","Perception IIBB Santa Cruz applied","False","Percepción IIBB Santa Cruz aplicada","",""
"ri_retencion_iibb_tf_aplicada","account_group_deudas_iibb","True","2.1.3.02.490","liability_current","IIBB withholding Tierra del Fuego applied","False","Retención IIBB Tierra del Fuego aplicada","",""
"ri_percepcion_iibb_tf_aplicada","account_group_deudas_iibb","True","2.1.3.02.500","liability_current","Perception IIBB Tierra del Fuego applied","False","Percepción IIBB Tierra del Fuego aplicada","",""
"ri_retencion_iibb_a_pagar","account_group_deudas_iibb","True","2.1.3.02.510","liability_payable","Withholding/Perception IIBB to be paid","True","Retención/Percepción IIBB a pagar","",""
"ri_retencion_iva_aplicada","account_group_deudas_iva","True","2.1.3.03.030","liability_current","VAT withholding applied","False","Retención IVA aplicada","",""
"ri_percepcion_iva_aplicada","account_group_deudas_iva","True","2.1.3.03.040","liability_current","Perception VAT applied","False","Percepción IVA aplicada","",""
"base_impuesto_ganancias_a_pagar","account_group_deudas_imp_ganancias","True","2.1.3.04.010","liability_payable","Income tax payable","True","Impuesto a las ganancias a pagar","",""
"ri_retencion_ganancias_aplicada","account_group_deudas_imp_ganancias","True","2.1.3.04.020","liability_current","Withholding applied to earnings","False","Retención ganancias aplicada","",""
"ri_percepcion_ganancias_aplicada","account_group_deudas_imp_ganancias","True","2.1.3.04.030","liability_current","Perception applied earnings","False","Percepción ganancias aplicada","",""
"base_provision_imp_a_las_ganancias","account_group_deudas_imp_ganancias","True","2.1.3.04.040","liability_current","Provision for income tax","True","Provisión Imp a las Ganancias","",""
"base_anticipos_imp_a_las_ganancias_a_pagar","account_group_deudas_imp_ganancias","True","2.1.3.04.050","liability_current","Income Tax Advances Payable","True","Anticipos Imp a las Ganancias a Pagar","",""
"base_planes_a_pagar_afip","account_group_deudas_imp_ganancias","True","2.1.3.04.060","liability_non_current","Plan Earnings to be paid","False","Plan Ganancias a pagar","",""
