"id","parent_id","active","code","account_type","name","reconcile","non_trade","name@es","tax_ids"
"account_group_creditos_fiscales_iva","account_group_creditos_fiscales","False","1.1.4.04","asset_current","VAT Tax Credits","","","Créditos Fiscales IVA",""
"base_alquileres_produccion","","True","","","","","","","ri_tax_vat_21_compras"
"base_servicio_de_luz_produccion","","True","","","","","","","ri_tax_vat_27_compras"
"base_servicio_de_agua_produccion","","True","","","","","","","ri_tax_vat_27_compras"
"base_servicio_de_gas_produccion","","True","","","","","","","ri_tax_vat_27_compras"
"base_mantenimiento_y_reparaciones_produccion","","True","","","","","","","ri_tax_vat_21_compras"
"base_higiene_y_seguridad","","True","","","","","","","ri_tax_vat_21_compras"
"base_honorarios_produccion","","True","","","","","","","ri_tax_vat_21_compras"
"base_mantenimiento_y_limpieza","","True","","","","","","","ri_tax_vat_21_compras"
"base_alquileres_comerciales","","True","","","","","","","ri_tax_vat_21_compras"
"base_publicidad","","True","","","","","","","ri_tax_vat_21_compras"
"base_servicios_de_luz_ecomercial","","True","","","","","","","ri_tax_vat_27_compras"
"base_servicio_de_agua_comercial","","True","","","","","","","ri_tax_vat_27_compras"
"base_servicio_de_gas_comercial","","True","","","","","","","ri_tax_vat_27_compras"
"base_honorarios_comercial","","True","","","","","","","ri_tax_vat_21_compras"
"base_servicio_de_luz_administrativos","","True","","","","","","","ri_tax_vat_27_compras"
"base_servicio_de_agua_administrativos","","True","","","","","","","ri_tax_vat_27_compras"
"base_servicio_de_gas_administrativos","","True","","","","","","","ri_tax_vat_27_compras"
"base_servicio_de_internet","","True","","","","","","","ri_tax_vat_27_compras"
"base_sistema_y_software","","True","","","","","","","ri_tax_vat_21_compras"
"base_honorarios_administracion","","True","","","","","","","ri_tax_vat_21_compras"
"base_articulos_de_libreria","","True","","","","","","","ri_tax_vat_21_compras"
"ri_iva_credito_fiscal","account_group_creditos_fiscales_iva","True","1.1.4.04.010","asset_current","VAT tax credit","False","","IVA crédito fiscal",""
"ri_percepcion_iva_sufrida","account_group_creditos_fiscales_iva","True","1.1.4.04.020","asset_current","Perception VAT incurred","False","","Percepción IVA Sufrida",""
"ri_retencion_iva_sufrida","account_group_creditos_fiscales_iva","True","1.1.4.04.030","asset_current","VAT withholding incurred","False","","Retención IVA Sufrida",""
"ri_iva_saldo_tecnico_favor","account_group_creditos_fiscales_iva","True","1.1.4.04.040","asset_receivable","VAT Technical balance","True","True","IVA Saldo técnico",""
"ri_iva_saldo_libre_disponibilidad","account_group_creditos_fiscales_iva","True","1.1.4.04.050","asset_current","VAT Unrestricted balance","False","","IVA Saldo Libre Disponibilidad",""
"ri_iva_debito_fiscal","account_group_deudas_iva","True","2.1.3.03.010","liability_current","VAT tax debit","False","","IVA débito fiscal",""
"ri_iva_saldo_a_pagar","account_group_deudas_iva","True","2.1.3.03.020","liability_payable","VAT balance payable","True","True","IVA saldo a pagar",""
"base_plan_iva_a_pagar","account_group_deudas_iva","True","2.1.3.03.050","liability_current","VAT plan to be paid","False","","Plan IVA a pagar",""
