"id","name","auto_apply","l10n_ar_afip_responsibility_type_ids","tax_ids/tax_src_id","tax_ids/tax_dest_id"
"fiscal_position_template_exempt_operations","Compras / Ventas al exterior","1","l10n_ar.res_EXT","ri_tax_vat_0_ventas","ri_tax_vat_exento_ventas"
"","","","","ri_tax_vat_10_ventas","ri_tax_vat_exento_ventas"
"","","","","ri_tax_vat_21_ventas","ri_tax_vat_exento_ventas"
"","","","","ri_tax_vat_27_ventas","ri_tax_vat_exento_ventas"
"","","","","ri_tax_vat_0_compras","ri_tax_vat_no_corresponde_compras"
"","","","","ri_tax_vat_10_compras","ri_tax_vat_no_corresponde_compras"
"","","","","ri_tax_vat_21_compras","ri_tax_vat_no_corresponde_compras"
"","","","","ri_tax_vat_27_compras","ri_tax_vat_no_corresponde_compras"
"","","","","ri_tax_vat_exento_compras","ri_tax_vat_no_corresponde_compras"
"","","","","ri_tax_vat_no_gravado_compras","ri_tax_vat_no_corresponde_compras"
"fiscal_position_template_free_zone","Compras / Ventas Zona Franca","1","l10n_ar.res_IVA_LIB","ri_tax_vat_0_ventas","ri_tax_vat_exento_ventas"
"","","","","ri_tax_vat_10_ventas","ri_tax_vat_exento_ventas"
"","","","","ri_tax_vat_21_ventas","ri_tax_vat_exento_ventas"
"","","","","ri_tax_vat_27_ventas","ri_tax_vat_exento_ventas"
"","","","","ri_tax_vat_0_compras","ri_tax_vat_exento_compras"
"","","","","ri_tax_vat_10_compras","ri_tax_vat_exento_compras"
"","","","","ri_tax_vat_21_compras","ri_tax_vat_exento_compras"
"","","","","ri_tax_vat_27_compras","ri_tax_vat_exento_compras"
"fiscal_position_template_iva_no_corresponde","Compras IVA no corresponde","1","l10n_ar.res_IVAE,l10n_ar.res_RM","ri_tax_vat_0_compras","ri_tax_vat_no_corresponde_compras"
"","","","","ri_tax_vat_10_compras","ri_tax_vat_no_corresponde_compras"
"","","","","ri_tax_vat_21_compras","ri_tax_vat_no_corresponde_compras"
"","","","","ri_tax_vat_27_compras","ri_tax_vat_no_corresponde_compras"
"","","","","ri_tax_vat_exento_compras","ri_tax_vat_no_corresponde_compras"
"","","","","ri_tax_vat_no_gravado_compras","ri_tax_vat_no_corresponde_compras"
