"id","code_prefix_start","code_prefix_end","name"
"account_group_activo","1","","Activo"
"account_group_activo_corriente","1.1","","Activo Corriente"
"account_group_cajas_y_bancos","1.1.1","","Cajas y Bancos"
"account_group_caja","1.1.1.01","","Caja"
"account_group_bancos","1.1.1.02","","Bancos"
"account_group_inversiones","1.1.2","","Inversiones"
"account_group_creditos_por_ventas","1.1.3","","Créditos por ventas"
"account_group_creditos_fiscales","1.1.4","","Créditos fiscales"
"account_group_creditos_fiscales_municipales","1.1.4.01","","Créditos Fiscales Municipales"
"account_group_creditos_fiscales_iibb","1.1.4.02","","Créditos Fiscales IIBB"
"account_group_creditos_fiscales_suss","1.1.4.03","","Créditos Fiscales SUSS"
"account_group_creditos_fiscales_iva","1.1.4.04","","Créditos Fiscales IVA"
"account_group_creditos_fiscales_ganancias","1.1.4.05","","Créditos Fiscales Ganancias"
"account_group_otros_creditos","1.1.5","","Otros créditos"
"account_group_bienes_de_cambio","1.1.6","","Bienes de Cambio"
"account_group_activo_no_corriente","1.2","","Activo no corriente"
"account_group_activos_fijos","1.2.1","","Activos Fijos"
"account_group_instalaciones","1.2.1.01","","Instalaciones"
"account_group_maquinarias_y_equipos","1.2.1.02","","Maquinarias y Equipos"
"account_group_muebles_y_útiles","1.2.1.03","","Muebles y Útiles"
"account_group_rodados","1.2.1.04","","Rodados"
"account_group_activos_intangibles","1.2.2","","Activos Intangibles"
"account_group_derechos_de_marcas","1.2.2.01","","Derechos de Marcas"
"account_group_pasivo","2","","Pasivo"
"account_group_pasivo_corriente","2.1","","Pasivo Corriente"
"account_group_deudas_comerciales","2.1.1","","Deudas Comerciales"
"account_group_deudas_financieras","2.1.2","","Deudas Financieras"
"account_group_deudas_fiscales","2.1.3","","Deudas Fiscales"
"account_group_deudas_tasas_municipales","2.1.3.01","","Deudas Tasas Municipales"
"account_group_deudas_iibb","2.1.3.02","","Deudas IIBB"
"account_group_deudas_iva","2.1.3.03","","Deudas IVA"
"account_group_deudas_imp_ganancias","2.1.3.04","","Deudas Imp. Ganancias"
"account_group_remueraciones_y_cargas_sociales","2.1.4","","Remuneraciones y Cargas Sociales"
"account_group_cuentas_particulares","2.1.5","","Cuentas Particulares"
"account_group_pasivo_no_corriente","2.2","","Pasivo no Corriente"
"account_group_deudas_comerciales_a_largo_plazo","2.2.1","","Deudas Comerciales a Largo Plazo"
"account_group_previsiones","2.2.2","","Previsiones"
"account_group_patrimonio_neto","3","","Patrimonio Neto"
"account_group_capital_social","3.1","","Capital Social"
"account_group_reservas","3.2","","Reservas"
"account_group_resultados","3.3","","Resultados"
"account_group_ingresos","4","","Ingresos"
"account_group_ingresos_por_ventas","4.1","","Ingresos por ventas"
"account_group_ingresos_por_resultados_financieros","4.2","","Ingresos por resultados financieros"
"account_group_ingresos_extraordinarios","4.3","","Ingresos Extraordinarios"
"account_group_egresos","5","","Egresos"
"account_group_gastos_operativos","5.1","","Gastos Operativos"
"account_group_costo_de_mercadería_vendida","5.1.1","","Costo de Mercadería Vendida"
"account_group_gastos_de_producción","5.1.2","","Gastos de Producción"
"account_group_gastos_comerciales","5.2","","Gastos Comerciales"
"account_group_gastos_administrativos","5.3","","Gastos Administrativos"
"account_group_impuestos","5.4","","Impuestos"
"account_group_tasas_municipales","5.4.1","","Tasas Municipales"
"account_group_iibb","5.4.2","","IIBB"
"account_group_otros_impuestos","5.4.3","","Otros Impuestos"
"account_group_imp_a_las_ganancias","5.5","","Imp a las Ganancias"
"account_group_gastos_financieros","5.6","","Gastos Financieros"
"account_group_cuentas_puentes","6","","CUENTAS PUENTES"
