"id","name","description","invoice_label","sequence","amount_type","amount","type_tax_use","tax_group_id","active","l10n_ar_withholding_payment_type","l10n_ar_tax_type","l10n_ar_state_id","repartition_line_ids/repartition_type","repartition_line_ids/document_type","repartition_line_ids/account_id","name@es","description@es","invoice_label@es","fiscal_position_ids","original_tax_ids"
"base_tax_retencion_suss_sufrida","WTH SUSS","SUSS Withholding","","10","percent","0","none","tax_group_withholding_suss","True","customer","","","","","","","","","",""
"","","","","","","","","","","","","","base","invoice","","Ret SUSS","Retención SUSS","","",""
"","","","","","","","","","","","","","tax","invoice","base_retencion_suss_sufrida","","","","",""
"","","","","","","","","","","","","","base","refund","","","","","",""
"","","","","","","","","","","","","","tax","refund","base_retencion_suss_sufrida","","","","",""
"base_tax_withholding_iibb_caba_incurred","IIBB WTH CABA","IIBB withholding Ciudad Autónoma de Buenos Aires","","4","percent","1","none","tax_group_withholding_iibb_caba","True","customer","iibb_untaxed","base.state_ar_c","","","","Ret IIBB CABA","Retención IIBB CABA","","",""
"","","","","","","","","","","","","","base","invoice","","","","","",""
"","","","","","","","","","","","","","tax","invoice","base_retencion_iibb_caba_sufrida","","","","",""
"","","","","","","","","","","","","","base","refund","","","","","",""
"","","","","","","","","","","","","","tax","refund","base_retencion_iibb_caba_sufrida","","","","",""
"base_tax_withholding_iibb_ba_incurred","IIBB WTH PBA","IIBB withholding P. Buenos Aires","","4","percent","1","none","tax_group_withholding_iibb_ba","True","customer","iibb_untaxed","base.state_ar_b","","","","Ret IIBB PBA","Retención IIBB P. Buenos Aires","","",""
"","","","","","","","","","","","","","base","invoice","","","","","",""
"","","","","","","","","","","","","","tax","invoice","base_retencion_iibb_ba_sufrida","","","","",""
"","","","","","","","","","","","","","base","refund","","","","","",""
"","","","","","","","","","","","","","tax","refund","base_retencion_iibb_ba_sufrida","","","","",""
"base_tax_withholding_iibb_c_incurred","IIBB WTH C","IIBB withholding Catamarca","","4","percent","1","none","tax_group_withholding_iibb_c","True","customer","iibb_untaxed","base.state_ar_k","","","","Ret IIBB C","Retención IIBB Catamarca","","",""
"","","","","","","","","","","","","","base","invoice","","","","","",""
"","","","","","","","","","","","","","tax","invoice","base_retencion_iibb_ca_sufrida","","","","",""
"","","","","","","","","","","","","","base","refund","","","","","",""
"","","","","","","","","","","","","","tax","refund","base_retencion_iibb_ca_sufrida","","","","",""
"base_tax_withholding_iibb_cba_incurred","IIBB WTH CBA","IIBB withholding Córdoba","","4","percent","1","none","tax_group_withholding_iibb_cba","True","customer","iibb_untaxed","base.state_ar_x","","","","Ret IIBB CBA","Retención IIBB Córdoba","","",""
"","","","","","","","","","","","","","base","invoice","","","","","",""
"","","","","","","","","","","","","","tax","invoice","base_retencion_iibb_co_sufrida","","","","",""
"","","","","","","","","","","","","","base","refund","","","","","",""
"","","","","","","","","","","","","","tax","refund","base_retencion_iibb_co_sufrida","","","","",""
"base_tax_withholding_iibb_cts_incurred","IIBB WTH CTS","IIBB withholding Corrientes","","4","percent","1","none","tax_group_withholding_iibb_cts","True","customer","iibb_untaxed","base.state_ar_w","","","","Ret IIBB CTS","Retención IIBB Corrientes","","",""
"","","","","","","","","","","","","","base","invoice","","","","","",""
"","","","","","","","","","","","","","tax","invoice","base_retencion_iibb_rr_sufrida","","","","",""
"","","","","","","","","","","","","","base","refund","","","","","",""
"","","","","","","","","","","","","","tax","refund","base_retencion_iibb_rr_sufrida","","","","",""
"base_tax_withholding_iibb_er_incurred","IIBB WTH ER","IIBB withholding Entre Ríos","","4","percent","1","none","tax_group_withholding_iibb_er","True","customer","iibb_untaxed","base.state_ar_e","","","","Ret IIBB ER","Retención IIBB Entre Ríos","","",""
"","","","","","","","","","","","","","base","invoice","","","","","",""
