"id","name","country_id","sequence","tax_payable_account_id","tax_receivable_account_id","name@es"
"tax_group_withholding_suss","SUSS Withholdings","base.ar","","","","Retención de SUSS"
"tax_group_withholding_iibb_caba","WTH IIBB CABA","base.ar","","","","Ret IIBB CABA"
"tax_group_withholding_iibb_ba","WTH IIBB ARBA","base.ar","","","","Ret IIBB ARBA"
"tax_group_withholding_iibb_c","WTH IIBB Catamarca","base.ar","","","","Ret IIBB Catamarca"
"tax_group_withholding_iibb_cba","WTH IIBB Córdoba","base.ar","","","","Ret IIBB Córdoba"
"tax_group_withholding_iibb_cts","WTH IIBB Corrientes","base.ar","","","","Ret IIBB Corrientes"
"tax_group_withholding_iibb_er","WTH IIBB Entre Ríos","base.ar","","","","Ret IIBB Entre Ríos"
"tax_group_withholding_iibb_j","WTH IIBB Jujuy","base.ar","","","","Ret IIBB Jujuy"
"tax_group_withholding_iibb_mza","WTH IIBB Mendoza","base.ar","","","","Ret IIBB Mendoza"
"tax_group_withholding_iibb_lr","WTH IIBB La Rioja","base.ar","","","","Ret IIBB La Rioja"
"tax_group_withholding_iibb_s","WTH IIBB Salta","base.ar","","","","Ret IIBB Salta"
"tax_group_withholding_iibb_sj","WTH IIBB San Juan","base.ar","","","","Ret IIBB San Juan"
"tax_group_withholding_iibb_sl","WTH IIBB San Luis","base.ar","","","","Ret IIBB San Luis"
"tax_group_withholding_iibb_sf","WTH IIBB Santa Fe","base.ar","","","","Ret IIBB Santa Fe"
"tax_group_withholding_iibb_se","WTH IIBB Santiago del Estero","base.ar","","","","Ret IIBB Santiago del Estero"
"tax_group_withholding_iibb_t","WTH IIBB Tucumán","base.ar","","","","Ret IIBB Tucumán"
"tax_group_withholding_iibb_cho","WTH IIBB Chaco","base.ar","","","","Ret IIBB Chaco"
"tax_group_withholding_iibb_cht","WTH IIBB Chubut","base.ar","","","","Ret IIBB Chubut"
"tax_group_withholding_iibb_f","WTH IIBB Formosa","base.ar","","","","Ret IIBB Formosa"
"tax_group_withholding_iibb_ms","WTH IIBB Misiones","base.ar","","","","Ret IIBB Misiones"
"tax_group_withholding_iibb_n","WTH IIBB Neuquén","base.ar","","","","Ret IIBB Neuquén"
"tax_group_withholding_iibb_lp","WTH IIBB La Pampa","base.ar","","","","Ret IIBB La Pampa"
"tax_group_withholding_iibb_rn","WTH IIBB Río Negro","base.ar","","","","Ret IIBB Río Negro"
"tax_group_withholding_iibb_sc","WTH IIBB Santa Cruz","base.ar","","","","Ret IIBB Santa Cruz"
"tax_group_withholding_iibb_tais","WTH IIBB Tierra del Fuego","base.ar","","","","Ret IIBB Tierra del Fuego"
