id,name,country_id,l10n_ar_tribute_afip_code,name@es
tax_group_withholding_vat,Withholding VAT,base.ar,"01",Retención IVA
tax_group_withholding_earnings,Withholding earnings,base.ar,"01",Retención Ganancias
tax_group_withholding_iibb_caba,IIBB Withholding CABA,base.ar,"02",Retención IIBB CABA
tax_group_withholding_iibb_ba,IIBB Withholding ARBA,base.ar,"02",Retención IIBB ARBA
tax_group_withholding_iibb_ca,IIBB Withholding Catamarca,base.ar,"02",Retención IIBB Catamarca
tax_group_withholding_iibb_co,IIBB Withholding Córdoba,base.ar,"02",Retención IIBB Córdoba
tax_group_withholding_iibb_rr,IIBB Withholding Corrientes,base.ar,"02",Retención IIBB Corrientes
tax_group_withholding_iibb_er,IIBB Withholding Entre Ríos,base.ar,"02",Retención IIBB Entre Ríos
tax_group_withholding_iibb_ju,IIBB Withholding Jujuy,base.ar,"02",Retención IIBB Jujuy
tax_group_withholding_iibb_za,IIBB Withholding Mendoza,base.ar,"02",Retención IIBB Mendoza
tax_group_withholding_iibb_lr,IIBB Withholding La Rioja,base.ar,"02",Retención IIBB La Rioja
tax_group_withholding_iibb_sa,IIBB Withholding Salta,base.ar,"02",Retención IIBB Salta
tax_group_withholding_iibb_nn,IIBB Withholding San Juan,base.ar,"02",Retención IIBB San Juan
tax_group_withholding_iibb_sl,IIBB Withholding San Luis,base.ar,"02",Retención IIBB San Luis
tax_group_withholding_iibb_sf,IIBB Withholding Santa Fe,base.ar,"02",Retención IIBB Santa Fe
tax_group_withholding_iibb_se,IIBB Withholding Santiago del Estero,base.ar,"02",Retención IIBB Santiago del Estero
tax_group_withholding_iibb_tn,IIBB Withholding Tucumán,base.ar,"02",Retención IIBB Tucumán
tax_group_withholding_iibb_ha,IIBB Withholding Chaco,base.ar,"02",Retención IIBB Chaco
tax_group_withholding_iibb_ct,IIBB Withholding Chubut,base.ar,"02",Retención IIBB Chubut
tax_group_withholding_iibb_fo,IIBB Withholding Formosa,base.ar,"02",Retención IIBB Formosa
tax_group_withholding_iibb_mi,IIBB Withholding Misiones,base.ar,"02",Retención IIBB Misiones
tax_group_withholding_iibb_ne,IIBB Withholding Neuquén,base.ar,"02",Retención IIBB Neuquén
tax_group_withholding_iibb_lp,IIBB Withholding La Pampa,base.ar,"02",Retención IIBB La Pampa
tax_group_withholding_iibb_rn,IIBB Withholding Río Negro,base.ar,"02",Retención IIBB Río Negro
tax_group_withholding_iibb_az,IIBB Withholding Santa Cruz,base.ar,"02",Retención IIBB Santa Cruz
tax_group_withholding_iibb_tf,IIBB Withholding Tierra del Fuego,base.ar,"02",Retención IIBB Tierra del Fuego
tax_group_withholding_drei,DREI Withholding,base.ar,"03",Retención DREI
tax_group_other_withholding,Other Withholding,base.ar,"03",Otras Retenciones
