id,implementation,name,prefix,code,padding,number_increment
ri_seq_withholding_earnings_applied,standard,withholding Earnings applied,,,8,1
ri_seq_withholding_iibb_caba_applied,standard,IIBB withholding CABA applied,,,8,1
ri_seq_withholding_iibb_ba_applied,standard,IIBB withholding ARBA applied,,,8,1
ri_seq_withholding_iibb_ca_applied,standard,IIBB withholding Catamarca applied,,,8,1
ri_seq_withholding_iibb_co_applied,standard,IIBB withholding Córdoba applied,,,8,1
ri_seq_withholding_iibb_rr_applied,standard,IIBB withholding Corrientes applied,,,8,1
ri_seq_withholding_iibb_er_applied,standard,IIBB withholding Entre Ríos applied,,,8,1
ri_seq_withholding_iibb_ju_applied,standard,IIBB withholding Jujuy applied,,,8,1
ri_seq_withholding_iibb_za_applied,standard,IIBB withholding Mendoza applied,,,8,1
ri_seq_withholding_iibb_lr_applied,standard,IIBB withholding La Rioja applied,,,8,1
ri_seq_withholding_iibb_sa_applied,standard,IIBB withholding Salta applied,,,8,1
ri_seq_withholding_iibb_nn_applied,standard,IIBB withholding San Juan applied,,,8,1
ri_seq_withholding_iibb_sl_applied,standard,IIBB withholding San Luis applied,,,8,1
ri_seq_withholding_iibb_sf_applied,standard,IIBB withholding Santa Fe applied,,,8,1
ri_seq_withholding_iibb_se_applied,standard,IIBB withholding Santiago del Estero applied,,,8,1
ri_seq_withholding_iibb_tn_applied,standard,IIBB withholding Tucumán applied,,,8,1
ri_seq_withholding_iibb_ha_applied,standard,IIBB withholding Chaco applied,,,8,1
ri_seq_withholding_iibb_ct_applied,standard,IIBB withholding Chubut applied,,,8,1
ri_seq_withholding_iibb_fo_applied,standard,IIBB withholding Formosa applied,,,8,1
ri_seq_withholding_iibb_mi_applied,standard,IIBB withholding Misiones applied,,,8,1
ri_seq_withholding_iibb_ne_applied,standard,IIBB withholding Neuquén applied,,,8,1
ri_seq_withholding_iibb_lp_applied,standard,IIBB withholding La Pampa applied,,,8,1
ri_seq_withholding_iibb_rn_applied,standard,IIBB withholding Río Negro applied,,,8,1
ri_seq_withholding_iibb_az_applied,standard,IIBB withholding Santa Cruz applied,,,8,1
ri_seq_withholding_iibb_tf_applied,standard,IIBB withholding Tierra del Fuego applied,,,8,1
ri_seq_withholding_vat_applied,standard,Vat withholding applied,,,8,1
