"id","name","auto_apply","country_id","vat_required","country_group_id","sequence","account_ids/account_src_id","account_ids/account_dest_id"
"fiscal_position_template_national_w_uid","National","1","base.at","","","10","",""
"fiscal_position_template_national","National + EU (ohne UID)","1","","","account.europe_vat","30","",""
"fiscal_position_template_eu","Europäische Union","1","","1","account.europe_vat","20","",""
"","","","","","","","chart_at_template_4000","chart_at_template_4100"
"","","","","","","","chart_at_template_4001","chart_at_template_4110"
"","","","","","","","chart_at_template_2000","chart_at_template_2100"
"","","","","","","","chart_at_template_5010","chart_at_template_5050"
"","","","","","","","chart_at_template_5011","chart_at_template_5051"
"fiscal_position_template_non_eu","Drittstaaten","1","","","","40","",""
"","","","","","","","chart_at_template_4000","chart_at_template_4200"
"","","","","","","","chart_at_template_2000","chart_at_template_2150"
"","","","","","","","chart_at_template_5010","chart_at_template_5090"
"","","","","","","","chart_at_template_5011","chart_at_template_5090"
