id,country_id:id,name,code
state_co_01,base.co,Antioquia,ANT
state_co_02,base.co,Atlántico,ATL
state_co_03,base.co,D.C.,DC
state_co_04,base.co,Bolívar,BOL
state_co_05,base.co,Boyacá,BOY
state_co_06,base.co,Caldas,CAL
state_co_07,base.co,Caquetá,CAQ
state_co_08,base.co,Cauca,CAU
state_co_09,base.co,Cesar,CES
state_co_10,base.co,Córdoba,COR
state_co_11,base.co,Cundinamarca,CUN
state_co_12,base.co,Chocó,CHO
state_co_13,base.co,Huila,HUI
state_co_14,base.co,La Guajira,LAG
state_co_15,base.co,Magdalena,MAG
state_co_16,base.co,Meta,MET
state_co_17,base.co,Nariño,NAR
state_co_18,base.co,Norte de Santander,NSA
state_co_19,base.co,Quindio,QUI
state_co_20,base.co,Risaralda,RIS
state_co_21,base.co,Santander,SAN
state_co_22,base.co,Sucre,SUC
state_co_23,base.co,Tolima,TOL
state_co_24,base.co,Valle del Cauca,VAC
state_co_25,base.co,Arauca,ARA
state_co_26,base.co,Casanare,CAS
state_co_27,base.co,Putumayo,PUT
state_co_28,base.co,Archipiélago de San Andrés, Providencia y Santa Catalina,SAP
state_co_29,base.co,Amazonas,AMA
state_co_30,base.co,Guainía,GUA
state_co_31,base.co,Guaviare,GUV
state_co_32,base.co,Vaupés,VAU
state_co_33,base.co,Vichada,VID
