id,country_id:id,name,code
state_id_ac,base.id,Aceh,AC
state_id_ba,base.id,Bali,BA
state_id_bb,base.id,Bangka Belitung,BB
state_id_bt,base.id,Banten,BT
state_id_be,base.id,Bengkulu,BE
state_id_go,base.id,Gorontalo,GO
state_id_jk,base.id,Jakarta,JK
state_id_ja,base.id,Jambi,JA
state_id_jb,base.id,Jawa Barat,JB
state_id_jt,base.id,Jawa Tengah,JT
state_id_ji,base.id,Jawa Timur,JI
state_id_kb,base.id,Kalimantan Barat,KB
state_id_ks,base.id,Kalimantan Selatan,KS
state_id_kt,base.id,Kalimantan Tengah,KT
state_id_ki,base.id,Kalimantan Timur,KI
state_id_ku,base.id,Kalimantan Utara,KU
state_id_kr,base.id,Kepulauan Riau,KR
state_id_la,base.id,Lampung,LA
state_id_ma,base.id,Maluku,MA
state_id_mu,base.id,Maluku Utara,MU
state_id_nb,base.id,Nusa Tenggara Barat,NB
state_id_nt,base.id,Nusa Tenggara Timur,NT
state_id_pa,base.id,Papua,PA
state_id_pb,base.id,Papua Barat,PB
state_id_ri,base.id,Riau,RI
state_id_sr,base.id,Sulawesi Barat,SR
state_id_sn,base.id,Sulawesi Selatan,SN
state_id_st,base.id,Sulawesi Tengah,ST
state_id_sg,base.id,Sulawesi Tenggara,SG
state_id_sa,base.id,Sulawesi Utara,SA
state_id_sb,base.id,Sumatra Barat,SB
state_id_ss,base.id,Sumatra Selatan,SS
state_id_su,base.id,Sumatra Utara,SU
state_id_yo,base.id,Yogyakarta,YO
