id,country_id:id,name,code
state_jp_jp-23,base.jp,Aichi,23
state_jp_jp-05,base.jp,Akita,05
state_jp_jp-02,base.jp,Aomori,02
state_jp_jp-12,base.jp,Chiba,12
state_jp_jp-38,base.jp,Ehime,38
state_jp_jp-18,base.jp,Fukui,18
state_jp_jp-40,base.jp,Fukuoka,40
state_jp_jp-07,base.jp,Fukushima,07
state_jp_jp-21,base.jp,Gifu,21
state_jp_jp-10,base.jp,Gunma,10
state_jp_jp-34,base.jp,Hiroshima,34
state_jp_jp-01,base.jp,Hokkaidō,01
state_jp_jp-28,base.jp,Hyōgo,28
state_jp_jp-08,base.jp,Ibaraki,08
state_jp_jp-17,base.jp,Ishikawa,17
state_jp_jp-03,base.jp,Iwate,03
state_jp_jp-37,base.jp,Kagawa,37
state_jp_jp-46,base.jp,Kagoshima,46
state_jp_jp-14,base.jp,Kanagawa,14
state_jp_jp-39,base.jp,Kōchi,39
state_jp_jp-43,base.jp,Kumamoto,43
state_jp_jp-26,base.jp,Kyōto,26
state_jp_jp-24,base.jp,Mie,24
state_jp_jp-04,base.jp,Miyagi,04
state_jp_jp-45,base.jp,Miyazaki,45
state_jp_jp-20,base.jp,Nagano,20
state_jp_jp-42,base.jp,Nagasaki,42
state_jp_jp-29,base.jp,Nara,29
state_jp_jp-15,base.jp,Niigata,15
state_jp_jp-44,base.jp,Ōita,44
state_jp_jp-33,base.jp,Okayama,33
state_jp_jp-47,base.jp,Okinawa,47
state_jp_jp-27,base.jp,Ōsaka,27
state_jp_jp-41,base.jp,Saga,41
state_jp_jp-11,base.jp,Saitama,11
state_jp_jp-25,base.jp,Shiga,25
state_jp_jp-32,base.jp,Shimane,32
state_jp_jp-22,base.jp,Shizuoka,22
state_jp_jp-09,base.jp,Tochigi,09
state_jp_jp-36,base.jp,Tokushima,36
state_jp_jp-31,base.jp,Tottori,31
state_jp_jp-16,base.jp,Toyama,16
state_jp_jp-13,base.jp,Tōkyō,13
state_jp_jp-30,base.jp,Wakayama,30
state_jp_jp-06,base.jp,Yamagata,06
state_jp_jp-35,base.jp,Yamaguchi,35
state_jp_jp-19,base.jp,Yamanashi,19
