"id","country_id/id","name","code"
state_bd_Barguna,Barguna,BD-BA
state_bd_Barishal,Barishal,BD-BL
state_bd_Bhola,Bhola,BD-BH
state_bd_Jhalokati,Jhalokati,BD-JH
state_bd_Patuakhali,Patuakhali,BD-PT
state_bd_Pirojpur,Pirojpur,BD-PR
state_bd_Bandarban,Bandarban,BD-BN
state_bd_Brahmanbaria,Brahmanbaria,BD-BB
state_bd_Chandpur,Chandpur,BD-CD
state_bd_Chattogram,Chattogram,BD-CG
state_bd_Cumilla,Cumilla,BD-CU
state_bd_Cox’s Bazar,Cox’s Bazar,BD-CB
state_bd_Feni,Feni,BD-FE
state_bd_Khagrachhari,Khagrachhari,BD-KH
state_bd_Lakshmipur,Lakshmipur,BD-LA
state_bd_Noakhali,Noakhali,BD-NO
state_bd_Rangamati,Rangamati,BD-RA
state_bd_Dhaka,Dhaka,BD-DA
state_bd_Faridpur,Faridpur,BD-FA
state_bd_Gazipur,Gazipur,BD-GZ
state_bd_Gopalganj,Gopalganj,BD-GP
state_bd_Kishoreganj,Kishoreganj,BD-KI
state_bd_Madaripur,Madaripur,BD-MD
state_bd_Manikganj,Manikganj,BD-MN
state_bd_Munshiganj,Munshiganj,BD-MS
state_bd_Narayanganj,Narayanganj,BD-NA
state_bd_Narsingdi,Narsingdi,BD-NS
state_bd_Rajbari,Rajbari,BD-RJ
state_bd_Shariatpur,Shariatpur,BD-SH
state_bd_Tangail,Tangail,BD-TA
state_bd_Bagerhat,Bagerhat,BD-BG
state_bd_Chuadanga,Chuadanga,BD-CH
state_bd_Jashore,Jashore,BD-JS
state_bd_Jhenaidah,Jhenaidah,BD-JD
state_bd_Khulna,Khulna,BD-KL
state_bd_Kushtia,Kushtia,BD-KU
state_bd_Magura,Magura,BD-MG
state_bd_Meherpur,Meherpur,BD-MP
state_bd_Narail,Narail,BD-NL
state_bd_Satkhira,Satkhira,BD-ST
state_bd_Jamalpur,Jamalpur,BD-JM
state_bd_Mymensingh,Mymensingh,BD-MY
state_bd_Netrokona,Netrokona,BD-NT
state_bd_Sherpur,Sherpur,BD-SP
state_bd_Bogura,Bogura,BD-BO
state_bd_Joypurhat,Joypurhat,BD-JP
state_bd_Naogaon,Naogaon,BD-NG
state_bd_Natore,Natore,BD-NR
state_bd_Chapai Nawabganj,Chapai Nawabganj,BD-CN
state_bd_Pabna,Pabna,BD-PB
state_bd_Rajshahi,Rajshahi,BD-RS
state_bd_Sirajganj,Sirajganj,BD-SG
state_bd_Dinajpur,Dinajpur,BD-DN
state_bd_Gaibandha,Gaibandha,BD-GA
state_bd_Kurigram,Kurigram,BD-KR
state_bd_Lalmonirhat,Lalmonirhat,BD-LM
state_bd_Nilphamari,Nilphamari,BD-NI
state_bd_Panchagarh,Panchagarh,BD-PA
state_bd_Rangpur,Rangpur,BD-RP
state_bd_Thakurgaon,Thakurgaon,BD-TG
state_bd_Habiganj,Habiganj,BD-HB
state_bd_Moulvibazar,Moulvibazar,BD-MB
state_bd_Sunamganj,Sunamganj,BD-SU
state_bd_Sylhet,Sylhet,BD-SY

