"id","name","type_tax_use","amount","amount_type","description","invoice_label","tax_group_id","repartition_line_ids/repartition_type","repartition_line_ids/document_type","repartition_line_ids/account_id","is_withholding_tax"
"bd_sale_tax_vat_15","VAT 15%","sale","15.0","percent","Standard Rated","15%","tax_group_bd_vat","base","invoice","","False"
"","","","","","","","","tax","invoice","l10n_bd_211040",""
"","","","","","","","","base","refund","",""
"","","","","","","","","tax","refund","l10n_bd_211040",""
"bd_sale_tax_0","0 Export","sale","0.0","percent","Zero-rated: Export","0%","tax_group_bd_vat","base","invoice","","False"
"","","","","","","","","tax","invoice","l10n_bd_211040",""
"","","","","","","","","base","refund","",""
"","","","","","","","","tax","refund","l10n_bd_211040",""
"bd_sale_tax_0_ext","0% EXT","sale","0.0","percent","Exempt","0%","tax_group_bd_vat","base","invoice","","False"
"","","","","","","","","tax","invoice","l10n_bd_211040",""
"","","","","","","","","base","refund","",""
"","","","","","","","","tax","refund","l10n_bd_211040",""
"bd_purchase_tax_vat_15","VAT 15% L","purchase","15.0","percent","Standard Rated: Local Purchase","15%","tax_group_bd_vat","base","invoice","","False"
"","","","","","","","","tax","invoice","l10n_bd_112400",""
"","","","","","","","","base","refund","",""
"","","","","","","","","tax","refund","l10n_bd_112400",""
"bd_purchase_tax_0","0 L","purchase","0.0","percent","Zero-rated: Local Purchase","0%","tax_group_bd_vat","base","invoice","","False"
"","","","","","","","","tax","invoice","l10n_bd_112400",""
"","","","","","","","","base","refund","",""
"","","","","","","","","tax","refund","l10n_bd_112400",""
"bd_purchase_tax_0_ext","0% EXT L","purchase","0.0","percent","Exempt: Local Purchase","0%","tax_group_bd_vat","base","invoice","","False"
"","","","","","","","","tax","invoice","l10n_bd_112400",""
"","","","","","","","","base","refund","",""
"","","","","","","","","tax","refund","l10n_bd_112400",""
"bd_sale_tax_vds_15","VDS 15%","sale","-15.0","percent","VAT Deducted at Source","VDS 15%","tax_group_bd_vds","base","invoice","","True"
"","","","","","","","","tax","invoice","l10n_bd_112430",""
"","","","","","","","","base","refund","",""
"","","","","","","","","tax","refund","l10n_bd_112430",""
"bd_sale_tax_tds_5","TDS 5%","sale","-5.0","percent","Tax Deducted at Source","TDS 5%","tax_group_bd_tds","base","invoice","","True"
"","","","","","","","","tax","invoice","l10n_bd_112420",""
"","","","","","","","","base","refund","",""
"","","","","","","","","tax","refund","l10n_bd_112420",""
