"id","name","code","account_type","tag_ids","reconcile","name@fr","name@nl","name@de","description","description@fr","description@nl","description@de","parent_id","active"
"a10","Capital","10","equity","","False","Capital","Kapitaal","Kapital","","","","","False"
"a100","Issued Capital","100","equity","","False","Capital souscrit","Geplaatst kapitaal","Gezeichnetes Kapital","","","","","a10","True"
"a101","Uncalled Capital (-)","101","equity","","False","Capital non appelé (-)","Niet opgevraagd kapitaal (-)","Nicht eingefordertes Kapital (-)","","","","","a10","True"
"a11","Contribution Excluding Capital","11","equity","","False","Apport hors capital","Inbreng buiten kapitaal","Einlage ohne Kapital","","","","","","False"
"a110","Contribution Available Excluding Capital","110","equity","","False","Apport disponible hors capital","Beschikbare inbreng buiten kapitaal","Verfügbare Einlage ohne Kapital","","","","","a11","False"
"a1100","Contribution Available Excluding Capital - Share Premium","1100","equity","","False","Apport disponible hors capital - Prime d'émission","Beschikbare inbreng buiten kapitaal - Uitgiftepremie","Verfügbare Einlage außerhalb des Kapitals - Agio","","","","","a110","True"
"a1109","Contribution Available Excluding Capital - Other","1109","equity","","False","Apport disponible hors capital - Autres","Beschikbare inbreng buiten kapitaal - Andere","Verfügbare Einlage außerhalb des Kapitals - Sonstige","","","","","a110","True"
"a111","Contribution Not Available Excluding Capital","111","equity","","False","Apport indisponible hors capital","Onbeschikbare inbreng buiten kapitaal","Nicht verfügbare Einlage ohne Kapital","","","","","a11","False"
"a1110","Contribution Not Available Excluding Capital - Share Premium","1110","equity","","False","Apport indisponible hors capital - Prime d'émission","Onbeschikbare inbreng buiten kapitaal - Uitgiftepremie","Nicht verfügbare Einlage außerhalb des Kapitals - Agio","","","","","a111","True"
"a1119","Contribution Not Available Excluding Capital - Other","1119","equity","","False","Apport indisponible hors capital - Autres","Onbeschikbare inbreng buiten kapitaal - Andere","Nicht verfügbare Einlage außerhalb des Kapitals - Sonstige","","","","","a111","True"
"a123","Revaluation Surpluses on Stocks","123","equity","","False","Plus-values de réévaluation sur stocks","Herwaarderingsmeerwaarden op voorraden","Neubewertungsrücklagen auf Vorräte","","","","","","True"
"a13","Reserves","13","equity","","False","Réserves","Reserves","Rücklagen","","","","","","False"
"a130","Legal Reserve","130","equity","","False","Réserves légales","Wettelijke reserves","Gesetzliche Rücklage","","","","","a13","True"
"a131","Other Reserves Not Available","131","equity","","False","Autres réserves indisponibles","Andere onbeschikbare reserves","Sonstige nicht verfügbare Rücklagen","","","","","a13","False"
"a1311","Reserves Not Available Statutorily","1311","equity","","False","Réserves statutairement indisponibles","Statutair onbeschikbare reserves","Satzungsgemäße nicht verfügbare Rücklagen","","","","","a131","True"
"a1312","Reserves Not Available in Respect of Own Shares Held","1312","equity","","False","Réserve pour actions propres","Reserve voor eigen aandelen","Rücklagen für eigene Aktien oder Anteile","","","","","a131","True"
"a1313","Financial Support","1313","equity","","False","Soutien financier","Financiële steunverlening","Finanzielle Unterstützung","","","","","a131","True"
"a1319","Other Reserves Not Available","1319","equity","","False","Autres réserves indisponibles","Andere onbeschikbare reserves","Sonstige nicht verfügbare Rücklagen","","","","","a131","True"
"a133","Available Reserves","133","equity","","False","Réserves disponibles","Beschikbare reserves","Verfügbare Rücklagen","","","","","a13","True"
"a15","Investment Grants","15","equity","","False","Subsides en capital","Kapitaalsubsidies","Kapitalsubventionen","","","","","","True"
"a1680","Deferred Taxes on Capital Subsidies","1680","liability_non_current","","False","Impôts différés afférents à des subsides en capital","Uitgestelde belastingen op kapitaalsubsidies","Aufgeschobene Steuern auf Kapitalsubventionen","","","","","","True"
"a1681","Deferred Taxes on Gain on Disposal of Intangible Fixed Assets","1681","liability_non_current","","False","Impôts différés afférents à des plus-values réalisées sur immobilisations incorporelles","Uitgestelde belastingen op gerealiseerde meerwaarden op immateriële vaste activa","Aufgeschobene Steuern auf realisierte Mehrwerte auf immaterielle Anlagewerte","","","","","","True"
"a1682","Deferred Taxes on Gain on Disposal of Tangible Fixed Assets","1682","liability_non_current","","False","Impôts différés afférents à des plus-values réalisées sur immobilisations corporelles","Uitgestelde belastingen op gerealiseerde meerwaarden op materiële vaste activa","Aufgeschobene Steuern auf realisierte Mehrwerte auf Sachanlagen","","","","","","True"
"a1687","Deferred Taxes on Gain on Disposal of Securities Issued by Belgian Public Authorities","1687","liability_non_current","","False","Impôts différés afférents à des plus-values réalisées sur titres émis par le secteur public belge","Uitgestelde belastingen op gerealiseerde meerwaarden op effecten die zijn uitgegeven door de Belgische openbare sector","Aufgeschobene Steuern auf realisierte Mehrwerte auf Wertpapiere, die vom belgischen öffentlichen Sektor ausgegeben wurden","","","","","","True"
"a1688","Foreign Deferred Taxes","1688","liability_non_current","","False","Impôts différés étrangers","Buitenlandse uitgestelde belastingen","Ausländische aufgeschobene Steuern","","","","","","True"
"a1700","Subordinated Loans - Convertible Bonds (> 1 Year)","1700","liability_non_current","","False","Emprunts subordonnés - Convertibles (> 1 an)","Achtergestelde leningen - Converteerbaar (> 1 jaar)","Nachrangige Anleihen - Wandelanleihen (> 1 Jahr)","","","","","","True"
"a1701","Subordinated Loans - Non-Convertible Bonds (> 1 Year)","1701","liability_non_current","","False","Emprunts subordonnés - Non convertibles (> 1 an)","Achtergestelde leningen - Niet converteerbaar (> 1 jaar)","Nachrangige Anleihen - Nicht wandelbare Anleihen (> 1 Jahr)","","","","","","True"
"a1710","Unsubordinated Debentures - Convertible (> 1 Year)","1710","liability_non_current","","False","Emprunts obligataires non subordonnés - Convertibles (> 1 an)","Niet-achtergestelde obligatieleningen - Converteerbaar (> 1 jaar)","Nicht nachrangige Anleihen - Wandelanleihen (> 1 Jahr)","","","","","","True"
"a1711","Unsubordinated Debentures - Non-Convertible (> 1 Year)","1711","liability_non_current","","False","Emprunts obligataires non subordonnés - Non convertibles (> 1 an)","Niet-achtergestelde obligatieleningen - Niet converteerbaar (> 1 jaar)","Nicht nachrangige Anleihen - Nicht wandelbare Anleihen (> 1 Jahr)","","","","","","True"
"a179","Other Amounts Payable (> 1 Year)","179","liability_non_current","","False","Dettes diverses (> 1 an)","Overige schulden (> 1 jaar)","Sonstige Verbindlichkeiten (> 1 Jahr)","","","","","","True"
"a19","Advance to Shareholders on the Distribution of Net Assets (-)","19","liability_non_current","","False","Acompte aux associés sur le partage de l'actif net (-)","Voorschot aan de vennoten op de verdeling van het netto-actief (-)","Vorschuss an die Gesellschafter auf der Verteilung des Nettoaktiva (-)","","","","","","True"
