"code","id","type","name"
"x","a_root","view","PLAN COMPTABLE MINIMUM NORMALISE"
1,,"asset","CLASSE 1"
10,,"asset","CAPITAL"
100,,"asset","Capital souscrit ou capital personnel"
1000,,"asset","Capital non amorti"
1001,,"asset","Capital amorti"
101,,"asset","Capital non appelé"
109,,"asset","Compte de l'exploitant"
1090,,"asset","Opérations courantes"
1091,,"asset","Impôts personnels"
1092,,"asset","Rémunérations et autres avantages"
11,,"asset","PRIMES D'EMISSION"
12,,"asset","PLUS-VALUES DE REEVALUATION"
120,,"asset","Plus-values de réévaluation sur immobilisations incorporelles"
1200,,"asset","Plus-values de réévaluation"
1201,,"asset","Reprises de réductions de valeur"
121,,"asset","Plus-values de réévaluation sur immobilisations corporelles"
1210,,"asset","Plus-values de réévaluation"
1211,,"asset","Reprises de réductions de valeur"
122,,"asset","Plus-values de réévaluation sur immobilisations financières"
1220,,"asset","Plus-values de réévaluation"
1221,,"asset","Reprises de réductions de valeur"
123,,"asset","Plus-values de réévaluation sur stocks"
124,,"asset","Reprises de réductions de valeur sur placements de trésorerie"
13,,"asset","RESERVES"
130,,"asset","Réserve légale"
131,,"asset","Réserves indisponibles"
1310,,"asset","Réserve pour actions propres"
1311,,"asset","Autres réserves indisponibles"
132,,"asset","Réserves immunisées"
133,,"asset","Réserves disponibles"
1330,,"asset","Réserve pour régularisation de dividendes"
1331,,"asset","Réserve pour renouvellement des immobilisations"
1332,,"asset","Réserve pour installations en faveur du personnel  1333 Réserves libres"
14,,"asset","BENEFICE REPORTE"
15,,"asset","SUBSIDES EN CAPITAL"
150,,"asset","Montants obtenus"
151,,"asset","Montants transférés aux résultats"
16,,"asset","PROVISIONS POUR RISQUES ET CHARGES"
160,,"asset","Provisions pour pensions et obligations similaires"
161,,"asset","Provisions pour charges fiscales"
162,,"asset","Provisions pour grosses réparations et gros entretiens"
163,,"asset","à 169 Provisions pour autres risques et charges"
164,,"asset","Provisions pour sûretés personnelles ou réelles constituées à l'appui de dettes et d'engagements de tiers"
165,,"asset","Provisions pour engagements relatifs à l'acquisition ou à la cession d'immobilisations"
166,,"asset","Provisions pour exécution de commandes passées ou reçues"
167,,"asset","Provisions pour positions et marchés à terme en devises ou positions et marchés à terme en marchandises"
168,,"asset","Provisions pour garanties techniques attachées aux ventes et prestations déjà effectuées par l'entreprise"
