"id","name","description","invoice_label","amount","amount_type","type_tax_use","tax_group_id","repartition_line_ids/repartition_type","repartition_line_ids/document_type","repartition_line_ids/account_id","repartition_line_ids/tag_ids","repartition_line_ids/factor_percent","name@fr","description@fr","fiscal_position_ids","original_tax_ids"
"tva_sale_18","18% G","18% goods","","18.0","percent","sale","tax_group_18","base","invoice","","BJ_4","","","18% biens","fiscal_position_template_1",""
"","","","","","","","","tax","invoice","pcg_4431","BJ_13","","","","",""
"","","","","","","","","base","refund","","BJ_4","","","","",""
"","","","","","","","","tax","refund","pcg_4431","BJ_13","","","","",""
"tva_sale_service_18","18% S","18% services","","18.0","percent","sale","tax_group_18","base","invoice","","BJ_4","","","","fiscal_position_template_1",""
"","","","","","","","","tax","invoice","pcg_4431","BJ_13","","","","",""
"","","","","","","","","base","refund","","BJ_4","","","","",""
"","","","","","","","","tax","refund","pcg_4431","BJ_13","","","","",""
"tva_sale_self_18","18% SD","18% Self-delivery","","18.0","percent","none","tax_group_18","base","invoice","","BJ_5","","18% LASM","18% Livraison à soi-même","fiscal_position_template_1",""
"","","","","","","","","tax","invoice","pcg_4431","BJ_13","","","","",""
"","","","","","","","","tax","invoice","pcg_4452","BJ_8","-100","","","",""
"","","","","","","","","base","refund","","BJ_5","","","","",""
"","","","","","","","","tax","refund","pcg_4431","BJ_13","","","","",""
"","","","","","","","","tax","refund","pcg_4452","BJ_8","-100","","","",""
"tva_purchase_18","18%","","","18.0","percent","purchase","tax_group_18","base","invoice","","","","","","fiscal_position_template_1",""
"","","","","","","","","tax","invoice","pcg_4452","BJ_8","","","","",""
"","","","","","","","","base","refund","","","","","","",""
"","","","","","","","","tax","refund","pcg_4452","BJ_8","","","","",""
"tva_purchase_asset_18","18% Asset","18% (asset)","","18.0","percent","purchase","tax_group_18","base","invoice","","","","18% Immo","18% (immobilisation)","fiscal_position_template_1",""
"","","","","","","","","tax","invoice","pcg_4451","BJ_9","","","","",""
"","","","","","","","","base","refund","","","","","","",""
"","","","","","","","","tax","refund","pcg_4451","BJ_9","","","","",""
"tva_export_0","0% EX","0% (export)","","0.0","","sale","tax_group_0","base","invoice","","BJ_2","","","0% (exportation)","fiscal_position_template_2","tva_sale_service_18,tva_sale_18"
"","","","","","","","","tax","invoice","","","","","","",""
"","","","","","","","","base","refund","","BJ_2","","","","",""
"","","","","","","","","tax","refund","","","","","","",""
"tva_export_exempt_0","0% EX NI","0% (export of non-taxable products)","False","0.0","","sale","tax_group_0","base","invoice","","BJ_3","","","0% (exportation de produits non taxables)","fiscal_position_template_2","tva_exempt_0"
"","","","","","","","","tax","invoice","","","","","","",""
"","","","","","","","","base","refund","","BJ_3","","","","",""
"","","","","","","","","tax","refund","","","","","","",""
"tva_import_0","0% EX","0% (import)","","0.0","","purchase","tax_group_0","base","invoice","","","","","0% (importation)","fiscal_position_template_2","tva_purchase_18,tva_purchase_asset_18"
"","","","","","","","","tax","invoice","","","","","","",""
"","","","","","","","","base","refund","","","","","","",""
"","","","","","","","","tax","refund","","","","","","",""
"tva_exempt_0","0%","0% (exempt)","","0.0","","sale","tax_group_0","base","invoice","","BJ_1","","","0% (exonéré)","fiscal_position_template_1",""
"","","","","","","","","tax","invoice","","","","","","",""
"","","","","","","","","base","refund","","BJ_1","","","","",""
"","","","","","","","","tax","refund","","","","","","",""
"tva_purchase_exempt_0","0%","0% (exempt)","","0.0","","purchase","tax_group_0","base","invoice","","","","","0% (exonéré)","fiscal_position_template_1",""
"","","","","","","","","tax","invoice","","","","","","",""
"","","","","","","","","base","refund","","","","","","",""
"","","","","","","","","tax","refund","","","","","","",""
