id,name,applicability,tax_negate,country_id/id
l10n_bo_plus_iva13,+iva13,taxes,FALSE,base.BO
l10n_bo_plus_iva14,+iva14,taxes,FALSE,base.BO
l10n_bo_plus_iva15,+iva15,taxes,FALSE,base.BO
l10n_bo_plus_iva505,+iva505,taxes,FALSE,base.BO
l10n_bo_plus_iva16,+iva16,taxes,FALSE,base.BO
l10n_bo_plus_iva17,+iva17,taxes,FALSE,base.BO
l10n_bo_plus_iva18,+iva18,taxes,FALSE,base.BO
l10n_bo_plus_iva39l,+iva39l,taxes,FALSE,base.BO
l10n_bo_plus_iva39p,+iva39p,taxes,FALSE,base.BO
l10n_bo_plus_iva39r,+iva39r,taxes,FALSE,base.BO
l10n_bo_plus_iva39d,+iva39d,taxes,FALSE,base.BO
l10n_bo_plus_iva55,+iva55,taxes,FALSE,base.BO
l10n_bo_plus_iva19,+iva19,taxes,FALSE,base.BO
l10n_bo_plus_iva26l,+iva26l,taxes,FALSE,base.BO
l10n_bo_plus_iva31e,+iva31e,taxes,FALSE,base.BO
l10n_bo_plus_iva31l,+iva31l,taxes,FALSE,base.BO
l10n_bo_plus_iva31n,+iva31n,taxes,FALSE,base.BO
l10n_bo_plus_iva31z,+iva31z,taxes,FALSE,base.BO
l10n_bo_plus_iva31i,+iva31i,taxes,FALSE,base.BO
l10n_bo_plus_iva27,+iva27,taxes,FALSE,base.BO
l10n_bo_plus_iva28,+iva28,taxes,FALSE,base.BO
l10n_bo_plus_iva114l,+iva114l,taxes,FALSE,base.BO
l10n_bo_plus_iva114i,+iva114i,taxes,FALSE,base.BO
l10n_bo_plus_iva114r,+iva114r,taxes,FALSE,base.BO
l10n_bo_plus_iva114d,+iva114d,taxes,FALSE,base.BO
l10n_bo_plus_iva30,+iva30,taxes,FALSE,base.BO
l10n_bo_plus_iva621,+iva621,taxes,FALSE,base.BO
l10n_bo_plus_it13,+it13,taxes,FALSE,base.BO
l10n_bo_plus_it32,+it32,taxes,FALSE,base.BO
l10n_bo_plus_it909,+it909,taxes,FALSE,base.BO
l10n_bo_plus_itRet13g,+itRet13g,taxes,FALSE,base.BO
l10n_bo_plus_itRet13gg,+itRet13gg,taxes,FALSE,base.BO
l10n_bo_plus_itRet13gm,+itRet13gm,taxes,FALSE,base.BO
l10n_bo_plus_itRet13gs,+itRet13gs,taxes,FALSE,base.BO
l10n_bo_plus_itRet13m,+itRet13m,taxes,FALSE,base.BO
l10n_bo_plus_itRet13s,+itRet13s,taxes,FALSE,base.BO
l10n_bo_plus_iueBe13,+iueBe13,taxes,FALSE,base.BO
l10n_bo_plus_iueBe909,+iueBe909,taxes,FALSE,base.BO
l10n_bo_plus_iueBep13,+iueBep13,taxes,FALSE,base.BO
l10n_bo_plus_iueBep909,+iueBep909,taxes,FALSE,base.BO
l10n_bo_plus_iueBeps101,+iueBeps101,taxes,FALSE,base.BO
l10n_bo_plus_iueBeps909,+iueBeps909,taxes,FALSE,base.BO
l10n_bo_plus_iueRet13gs,+iueRet13gs,taxes,FALSE,base.BO
l10n_bo_plus_iueRet13s,+iueRet13s,taxes,FALSE,base.BO
l10n_bo_plus_iueRet26g,+iueRet26g,taxes,FALSE,base.BO
l10n_bo_plus_iueRet26gg,+iueRet26gg,taxes,FALSE,base.BO
l10n_bo_plus_iueRet622,+iueRet622,taxes,FALSE,base.BO
l10n_bo_plus_iueRet640,+iueRet640,taxes,FALSE,base.BO
l10n_bo_plus_iueRet677,+iueRet677,taxes,FALSE,base.BO
l10n_bo_plus_iueRet909g,+iueRet909g,taxes,FALSE,base.BO
