"id","sequence","name","amount","amount_type","type_tax_use","include_base_amount","price_include","tax_group_id","is_base_affected","children_tax_ids","repartition_line_ids/repartition_type","repartition_line_ids/document_type","repartition_line_ids/tag_ids","repartition_line_ids/account_id","name@es"
"l10n_bo_iva_13_sale","100","IVA 13%","13.0","division","sale","True","True","tax_group_iva_13","","","base","invoice","+IVA 13","",""
"","","","","","","","","","","","tax","invoice","+IVA 13||+IVA 19","l10n_bo_2135",""
"","","","","","","","","","","","base","refund","+IVA 27","",""
"","","","","","","","","","","","tax","refund","+IVA 27||+IVA 30","l10n_bo_2135",""
"l10n_bo_iva_13_discount_sale","105","IVA 13% - for Discounts","13.0","division","sale","True","True","tax_group_iva_13","","","base","invoice","-IVA 28","","IVA 13% - por Descuentos"
"","","","","","","","","","","","tax","invoice","-IVA 28||-IVA 30","l10n_bo_2135",""
"","","","","","","","","","","","base","refund","-IVA 27","",""
"","","","","","","","","","","","tax","refund","-IVA 27||-IVA 19","l10n_bo_2135",""
"l10n_bo_iva_0_sale","110","IVA 0% - Zero Rate","0.0","percent","sale","","","tax_group_iva_0","","","base","invoice","+IVA 15","","IVA 0% - Tasa Cero"
"","","","","","","","","","","","tax","invoice","","",""
"","","","","","","","","","","","base","refund","+IVA 27","",""
"","","","","","","","","","","","tax","refund","","",""
"l10n_bo_iva_0_exempt_sale","120","0% IVA Exempt","0.0","percent","sale","","","tax_group_iva_0_exempt","","","base","invoice","+IVA 14","","0% Exento de IVA"
"","","","","","","","","","","","tax","invoice","","",""
"","","","","","","","","","","","base","refund","+IVA 27","",""
"","","","","","","","","","","","tax","refund","","",""
"l10n_bo_iva_0_untaxed_sale","130","0% Not Subject to IVA","0.0","percent","sale","","","tax_group_iva_0_untaxed","","","base","invoice","+IVA 505","","0% No Sujeto al IVA"
"","","","","","","","","","","","tax","invoice","","",""
"","","","","","","","","","","","base","refund","+IVA 27","",""
"","","","","","","","","","","","tax","refund","","",""
"l10n_bo_it_3_sale_tax","140","IT 3% (tax line)","3.0","percent","none","","","tax_group_it_3","True","","base","invoice","+IT 24","","IT 3% (tasa)"
"","","","","","","","","","","","tax","invoice","","l10n_bo_2136",""
"","","","","","","","","","","","base","refund","-IT 24","",""
"","","","","","","","","","","","tax","refund","","l10n_bo_2136",""
"l10n_bo_it_3_sale_expense","150","IT 3% (expense line)","-3.0","percent","none","","","tax_group_it_3","True","","base","invoice","","","IT 3% (gasto)"
"","","","","","","","","","","","tax","invoice","","l10n_bo_52091",""
"","","","","","","","","","","","base","refund","","",""
"","","","","","","","","","","","tax","refund","","l10n_bo_52091",""
"l10n_bo_it_3_sale","160","IT 3%","","group","sale","","","tax_group_it_3","","l10n_bo_it_3_sale_tax,l10n_bo_it_3_sale_expense","","","","",""
"l10n_bo_it_0_sale","170","0% Not Subject to IT","0.0","percent","sale","","","tax_group_it_0","","","base","invoice","+IT 32","","0% No Sujeto al IT"
"","","","","","","","","","","","tax","invoice","","",""
"","","","","","","","","","","","base","refund","-IT 32","",""
"","","","","","","","","","","","tax","refund","","",""
"l10n_bo_iva_13_purchase","300","IVA 13%","13.0","division","purchase","True","True","tax_group_iva_13","","","base","invoice","+IVA 11||+IVA 26","",""
"","","","","","","","","","","","tax","invoice","+IVA 11||+IVA 26||+IVA 30","l10n_bo_2135",""
"","","","","","","","","","","","base","refund","+IVA 17","",""
"","","","","","","","","","","","tax","refund","+IVA 17||+IVA 19","l10n_bo_2135",""
"l10n_bo_iva_13_discount_purchase","305","IVA 13% - for Discounts","13.0","division","purchase","True","True","tax_group_iva_13","","","base","invoice","-IVA 28","","IVA 13% - por Descuentos"
"","","","","","","","","","","","tax","invoice","-IVA 28||-IVA 19","l10n_bo_2135",""
"","","","","","","","","","","","base","refund","-IVA 17","",""
"","","","","","","","","","","","tax","refund","-IVA 17||-IVA 30","l10n_bo_2135",""
"l10n_bo_iva_13_purchase_personal","310","IVA 13% - for Private Consumption","13.0","division","purchase","True","True","tax_group_iva_13","","","base","invoice","+IVA 11||+IVA 26||+IVA 16","","IVA 13% - por Consumos Particulares"
"","","","","","","","","","","","tax","invoice","+IVA 11||+IVA 26||+IVA 16||+IVA 30||+IVA 19","l10n_bo_2135",""
"","","","","","","","","","","","base","refund","+IVA 17","",""
"","","","","","","","","","","","tax","refund","+IVA 17","",""
"l10n_bo_iva_13_purchase_donations","320","IVA 13% - for Donations","13.0","division","purchase","True","True","tax_group_iva_13","","","base","invoice","+IVA 11||+IVA 26","","IVA 13% - por Donaciones"
"","","","","","","","","","","","tax","invoice","+IVA 11||+IVA 26||+IVA 30||+IVA 19||+IVA 55","l10n_bo_2135",""
"","","","","","","","","","","","base","refund","+IVA 17","",""
"","","","","","","","","","","","tax","refund","+IVA 17","",""
"l10n_bo_iva_0_purchase","330","IVA 0% - Zero Rate","0.0","percent","purchase","","","tax_group_iva_0","","","base","invoice","+IVA 11","","IVA 0% - Tasa Cero"
"","","","","","","","","","","","tax","invoice","","",""
"","","","","","","","","","","","base","refund","+IVA 17","",""
"","","","","","","","","","","","tax","refund","","",""
"l10n_bo_iva_mixed_purchase","340","IVA - Mixed Taxed and Untaxed","13.0","division","purchase","True","True","tax_group_iva_mixed","","","base","invoice","+IVA 11||+IVA 31","","IVA - Mixto Gravado y no Gravado"
"","","","","","","","","","","","tax","invoice","+IVA 11||+IVA 31||+IVA 30","l10n_bo_2135",""
"","","","","","","","","","","","base","refund","+IVA 17","",""
"","","","","","","","","","","","tax","refund","+IVA 17||+IVA 19","l10n_bo_2135",""
"l10n_bo_iva_0_exempt_purchase","350","0% IVA Exempt","0.0","percent","purchase","","","tax_group_iva_0_exempt","","","base","invoice","+IVA 11","","0% Exento de IVA"
"","","","","","","","","","","","tax","invoice","","",""
"","","","","","","","","","","","base","refund","+IVA 17","",""
"","","","","","","","","","","","tax","refund","","",""
"l10n_bo_iva_0_untaxed_purchase","360","0% Not Subject to IVA","0.0","percent","purchase","","","tax_group_iva_0_untaxed","","","base","invoice","+IVA 11","","0% No Sujeto al IVA"
"","","","","","","","","","","","tax","invoice","","",""
"","","","","","","","","","","","base","refund","+IVA 17","",""
"","","","","","","","","","","","tax","refund","","",""
"l10n_bo_whh_services_it_tax","370","3% Whh. IT services gross-up (tax)","3.5503","percent","none","","","tax_group_whh_services","","","base","invoice","","","3% Ret. IT servicios gross-up (tasa)"
"","","","","","","","","","","","tax","invoice","+Ret IT 13","l10n_bo_2137",""
"","","","","","","","","","","","base","refund","","",""
"","","","","","","","","","","","tax","refund","-Ret IT 13","l10n_bo_2137",""
