id,sequence,code,country_id/id,name,internal_type,doc_code_prefix,active
dt_55,10,55,base.br,Electronic Invoice (NF-e),all,NFe,True
dt_57,20,57,base.br,Electronic Bill of Lading (CT-e),invoice,CTe,False
dt_58,30,58,base.br,Electronic Manifesto of Tax Documents (MDF-e),invoice,MDFe,False
dt_59,40,59,base.br,Electronic Tax Coupon (CF-e-SAT),invoice,CFeS,False
dt_60,50,60,base.br,Electronic Tax Coupon (CF-e-ECF),invoice,CFeE,False
dt_65,60,65,base.br,Electronic Invoice to the Final Consumer (NFC-e),all,NFCe,True
dt_SE,70,SE,base.br,Electronic Service Invoice - NFS-e,all,NFSe,True
dt_01,80,01,base.br,Invoice 1 / 1A,all,NF,False
dt_1B,90,1B,base.br,Single invoice,all,NFA,False
dt_02,100,02,base.br,In-Consumer Sales Invoice,all,NFC,False
dt_2D,110,2D,base.br,Tax Coupon,invoice,CF,False
dt_2E,120,2E,base.br,Tax Coupon-Ticket,invoice,TIQP,False
dt_04,130,04,base.br,Invoice from Producer,invoice,NFP,False
dt_06,140,06,base.br,Nota Fiscal / Electricity Bill,invoice,NFCE,False
dt_07,150,07,base.br,Invoice for Transport Service,invoice,NFST,False
dt_08,160,08,base.br,Ground Bill of Lading,invoice,CTRC,False
dt_8B,170,8B,base.br,Loose Ground Bill of Lading,invoice,CTCA,False
dt_09,180,09,base.br,Maritime Bill of Lading,invoice,CTAC,False
dt_10,190,10,base.br,Aircraft Knowledge,invoice,CA,False
dt_11,200,11,base.br,Railway Bill of Lading,invoice,CTFC,False
dt_13,210,13,base.br,Road Ticket,invoice,BPR,False
dt_14,220,14,base.br,Waterway Ticket,invoice,BPA,False
dt_15,230,15,base.br,e-Baggage Ticket,invoice,BPNB,False
dt_16,240,16,base.br,Railway Ticket,invoice,BPF,False
dt_18,250,18,base.br,Daily Movement Summary,invoice,RMD,False
dt_21,260,21,base.br,Invoice for de-Communication Service,invoice,NFSC,False
dt_22,270,22,base.br,Invoice for Telecommunication Service,invoice,NFST,False
dt_26,280,26,base.br,Bill of Lading Multimodal Transport,invoice,CTMC,False
dt_27,290,27,base.br,Invoice for Rail Transport De-Cargo,invoice,NFTFC,False
dt_28,300,28,base.br,Invoice / Gas Supply Channel Account,invoice,NFCFGC,False
dt_29,310,29,base.br,Invoice / Water Supply Account,invoice,NFCFAC,False
