"id","sequence","name","auto_apply","vat_required","country_id","l10n_br_fp_type","tax_ids/tax_src_id","tax_ids/tax_dest_id","account_ids/account_src_id","account_ids/account_dest_id","name@pt"
"fiscal_position_template_1","1","Internal (within one state)","1","1","base.br","internal","tax_template_out_icms_externo17","tax_template_out_icms_interno17","","","Internal (within one state)"
"","","","","","","","tax_template_in_icms_externo17","tax_template_in_icms_interno17","","",""
"fiscal_position_template_2","2","Foreign","1","","","","tax_template_out_icms_interno17","tax_template_out_icms_externo","","","Foreign"
"","","","","","","","tax_template_out_icms_externo17","tax_template_out_icms_externo","","",""
"","","","","","","","tax_template_out_ipi10","tax_template_out_ipi","","",""
"","","","","","","","tax_template_in_icms_interno17","tax_template_in_icms_interno","","",""
"","","","","","","","tax_template_in_icms_externo17","tax_template_in_icms_externo","","",""
"","","","","","","","tax_template_in_ipi10","tax_template_in_ipi","","",""
"","","","","","","","","","account_template_30101010105","account_template_30101010101",""
"","","","","","","","","","account_template_30101010106","account_template_30101010103",""
"fiscal_position_template_ss_nnm","3","South and Southeast to North, Northeast, and Midwest","1","1","base.br","ss_nnm","tax_template_out_icms_externo17","tax_template_out_icms_externo7","","","South and Southeast to North, Northeast, and Midwest"
"","","","","","","","tax_template_out_icms_interno17","tax_template_out_icms_externo7","","",""
"","","","","","","","tax_template_in_icms_externo17","tax_template_in_icms_externo7","","",""
"","","","","","","","tax_template_in_icms_interno17","tax_template_in_icms_externo7","","",""
"fiscal_position_template_interstate","4","Interstate","1","1","base.br","interstate","tax_template_out_icms_externo17","tax_template_out_icms_externo12","","","Interstate"
"","","","","","","","tax_template_out_icms_interno17","tax_template_out_icms_externo12","","",""
"","","","","","","","tax_template_in_icms_externo17","tax_template_in_icms_externo12","","",""
"","","","","","","","tax_template_in_icms_interno17","tax_template_in_icms_externo12","","",""
