"id","name","auto_apply","country_id","state_ids","sequence","tax_ids/tax_src_id","tax_ids/tax_dest_id","account_ids/account_src_id","account_ids/account_dest_id","name@fr"
"fiscal_position_template_ab_en","Alberta (AB)","1","base.ca","base.state_ca_ab","","gstpst_bc_sale_en","gst_sale_en","","","Alberta (AB)"
"","","","","","","gstpst_bc_purc_en","gst_purc_en","","",""
"","","","","","","gstpst_mb_sale_en","gst_sale_en","","",""
"","","","","","","gstpst_mb_purc_en","gst_purc_en","","",""
"","","","","","","hst13_sale_en","gst_sale_en","","",""
"","","","","","","hst15_sale_en","gst_sale_en","","",""
"","","","","","","gstqst_sale_en","gst_sale_en","","",""
"","","","","","","gstqst_purc_en","gst_purc_en","","",""
"","","","","","","gstpst_sk_sale_en","gst_sale_en","","",""
"","","","","","","gstpst_sk_purc_en","gst_purc_en","","",""
"","","","","","","","","chart411_en","chart413_en",""
"","","","","","","","","chart5111_en","chart5113_en",""
"fiscal_position_template_bc_en","British Columbia (BC)","1","base.ca","base.state_ca_bc","","gstpst_mb_sale_en","gst_sale_en","","","Colombie-Britannique (BC)"
"","","","","","","gstpst_mb_purc_en","gst_purc_en","","",""
"","","","","","","hst13_sale_en","gst_sale_en","","",""
"","","","","","","hst15_sale_en","gst_sale_en","","",""
"","","","","","","gstqst_sale_en","gst_sale_en","","",""
"","","","","","","gstqst_purc_en","gst_purc_en","","",""
"","","","","","","gstpst_sk_sale_en","gst_sale_en","","",""
"","","","","","","gstpst_sk_purc_en","gst_purc_en","","",""
"","","","","","","","","chart411_en","chart413_en",""
"","","","","","","","","chart5111_en","chart5113_en",""
"fiscal_position_template_mb_en","Manitoba (MB)","1","base.ca","base.state_ca_mb","","gstpst_bc_sale_en","gst_sale_en","","","Manitoba (MB)"
"","","","","","","gstpst_bc_purc_en","gst_purc_en","","",""
"","","","","","","hst13_sale_en","gst_sale_en","","",""
"","","","","","","hst15_sale_en","gst_sale_en","","",""
"","","","","","","gstqst_sale_en","gst_sale_en","","",""
"","","","","","","gstqst_purc_en","gst_purc_en","","",""
"","","","","","","gstpst_sk_sale_en","gst_sale_en","","",""
"","","","","","","gstpst_sk_purc_en","gst_purc_en","","",""
"","","","","","","","","chart411_en","chart413_en",""
"","","","","","","","","chart5111_en","chart5113_en",""
"fiscal_position_template_nb_en","New Brunswick (NB)","1","base.ca","base.state_ca_nb","","gst_sale_en","hst13_sale_en","","","Nouveau Brunswick (NB)"
"","","","","","","gstpst_bc_sale_en","hst13_sale_en","","",""
"","","","","","","gstpst_bc_purc_en","gst_purc_en","","",""
"","","","","","","gstpst_mb_sale_en","hst13_sale_en","","",""
"","","","","","","gstpst_mb_purc_en","gst_purc_en","","",""
"","","","","","","hst15_sale_en","hst13_sale_en","","",""
"","","","","","","gstqst_sale_en","hst13_sale_en","","",""
"","","","","","","gstqst_purc_en","gst_purc_en","","",""
"","","","","","","gstpst_sk_sale_en","hst13_sale_en","","",""
"","","","","","","gstpst_sk_purc_en","gst_purc_en","","",""
"","","","","","","","","chart411_en","chart412_en",""
"","","","","","","","","chart5111_en","chart5112_en",""
"fiscal_position_template_nl_en","Newfoundland and Labrador (NL)","1","base.ca","base.state_ca_nl","","gst_sale_en","hst13_sale_en","","","Terre-Neuve et Labrador"
"","","","","","","gstpst_bc_sale_en","hst13_sale_en","","",""
"","","","","","","gstpst_bc_purc_en","gst_purc_en","","",""
"","","","","","","gstpst_mb_sale_en","hst13_sale_en","","",""
"","","","","","","gstpst_mb_purc_en","gst_purc_en","","",""
"","","","","","","hst13_sale_en","gst_sale_en","","",""
"","","","","","","hst15_sale_en","hst13_sale_en","","",""
"","","","","","","gstqst_sale_en","hst13_sale_en","","",""
"","","","","","","gstqst_purc_en","gst_purc_en","","",""
"","","","","","","gstpst_sk_sale_en","hst13_sale_en","","",""
"","","","","","","gstpst_sk_purc_en","gst_purc_en","","",""
"","","","","","","","","chart411_en","chart412_en",""
"","","","","","","","","chart5111_en","chart5112_en",""
"fiscal_position_template_ns_en","Nova Scotia (NS)","1","base.ca","base.state_ca_ns","","gst_sale_en","hst15_sale_en","","","Nouvelle-Écosse (NS)"
"","","","","","","gstpst_bc_sale_en","hst15_sale_en","","",""
"","","","","","","gstpst_bc_purc_en","gst_purc_en","","",""
"","","","","","","gstpst_mb_sale_en","hst15_sale_en","","",""
"","","","","","","gstpst_mb_purc_en","gst_purc_en","","",""
"","","","","","","hst13_sale_en","hst15_sale_en","","",""
"","","","","","","gstqst_sale_en","hst15_sale_en","","",""
"","","","","","","gstqst_purc_en","gst_purc_en","","",""
"","","","","","","gstpst_sk_sale_en","hst15_sale_en","","",""
"","","","","","","gstpst_sk_purc_en","gst_purc_en","","",""
"","","","","","","","","chart411_en","chart412_en",""
"","","","","","","","","chart5111_en","chart5112_en",""
"fiscal_position_template_nt_en","Northwest Territories (NT)","1","base.ca","base.state_ca_nt","","gstpst_bc_sale_en","gst_sale_en","","","Territoires du Nord-Ouest"
"","","","","","","gstpst_bc_purc_en","gst_purc_en","","",""
"","","","","","","gstpst_mb_sale_en","gst_sale_en","","",""
"","","","","","","gstpst_mb_purc_en","gst_purc_en","","",""
"","","","","","","hst13_sale_en","gst_sale_en","","",""
"","","","","","","hst15_sale_en","gst_sale_en","","",""
"","","","","","","gstqst_sale_en","gst_sale_en","","",""
"","","","","","","gstqst_purc_en","gst_purc_en","","",""
"","","","","","","gstpst_sk_sale_en","gst_sale_en","","",""
"","","","","","","gstpst_sk_purc_en","gst_purc_en","","",""
"","","","","","","","","chart411_en","chart413_en",""
"","","","","","","","","chart5111_en","chart5113_en",""
"fiscal_position_template_nu_en","Nunavut (NU)","1","base.ca","base.state_ca_nu","","gstpst_bc_sale_en","gst_sale_en","","","Nunavut (NU)"
"","","","","","","gstpst_bc_purc_en","gst_purc_en","","",""
"","","","","","","gstpst_mb_sale_en","gst_sale_en","","",""
"","","","","","","gstpst_mb_purc_en","gst_purc_en","","",""
"","","","","","","hst13_sale_en","gst_sale_en","","",""
"","","","","","","hst15_sale_en","gst_sale_en","","",""
"","","","","","","gstqst_sale_en","gst_sale_en","","",""
"","","","","","","gstqst_purc_en","gst_purc_en","","",""
"","","","","","","gstpst_sk_sale_en","gst_sale_en","","",""
"","","","","","","gstpst_sk_purc_en","gst_purc_en","","",""
"","","","","","","","","chart411_en","chart413_en",""
"","","","","","","","","chart5111_en","chart5113_en",""
"fiscal_position_template_on_en","Ontario (ON)","1","base.ca","base.state_ca_on","","gst_sale_en","hst13_sale_en","","","Ontario (ON)"
"","","","","","","gstpst_bc_sale_en","hst13_sale_en","","",""
"","","","","","","gstpst_bc_purc_en","gst_purc_en","","",""
