"id","code","name","account_type","reconcile","tag_ids","name@es"
"account_11700","117000","Transfer Account","asset_current","True","","Cuenta de Transferencia"
"account_110210","110210","Foreign Currency Deposits","asset_current","False","","Depósitos en Divisas"
"account_110220","110220","Shares","asset_current","False","","Acciones"
"account_110310","110310","Customers","asset_receivable","True","","Clientes"
"account_110315","110315","Factoring Receivable Account","asset_receivable","True","","Facturas cedidas por cobrar (Factoring)"
"account_11320","110320","Advances Suppliers","asset_current","True","","Anticipo Proveedores"
"account_11410","110410","Checks Receivable","asset_current","True","","Cheques a Fecha Por Cobrar"
"account_110420","110420","Sundry Accounts Receivable","asset_receivable","True","","Deudores Varios"
"account_110421","110421","Accounts receivable (Pos)","asset_receivable","True","","Deudores por Ventas (Pos)"
"account_110430","110430","Guaranty Ballots","asset_current","True","","Boletas en Garantía"
"account_110440","110440","Portfolio","asset_current","True","","Letras en Cartera"
"account_110450","110450","Protested Documents","asset_current","True","","Documentos Protestados"
"account_110510","110510","Salary Advance","asset_current","True","","Anticipo de Sueldo"
"account_110520","110520","Loans granted","asset_current","True","","Préstamos otorgados"
"account_110530","110530","Per Expense Advances","asset_prepayments","True","","Anticipos de Viáticos"
"account_110540","110540","Funds x Yield","asset_current","True","","Fondos x Rendir"
"account_110550","110550","Advance of Fees","asset_prepayments","True","","Anticipo de Honorarios"
"account_110560","110560","Advance of Christmas Bonus","asset_prepayments","True","","Anticipo de Aguinaldo"
"account_110570","110570","Family Allowance","asset_current","True","","Asignación Familiar"
"account_110580","110580","Advance Taxes","asset_current","False","","Anticipo de Impuestos"
"account_110585","110585","Prepaid Rents","asset_current","False","","Alquileres Pagados por Adelantado"
"account_110590","110590","Interest Paid in Advance","asset_current","False","","Intereses Pagados por Adelantado"
"account_110610","110610","Merchandise","asset_current","False","","Mercaderías"
"account_110612","110612","Raw Materials","asset_current","False","","Materia Prima"
"account_110615","110615","Materials","asset_current","False","","Materiales"
"account_110620","110620","Inputs","asset_current","False","","Insumos"
"account_110625","110625","Equipment","asset_current","False","","Equipos"
"account_110630","110630","Spare parts","asset_current","False","","Repuestos"
"account_110640","110640","Stocks in Transit","asset_current","True","","Existencias en Tránsito"
"account_110650","110650","Manufactured Products","asset_current","False","","Productos Fabricados"
"account_110660","110660","Products In Process","asset_current","False","","Productos En Proceso"
"account_110670","110670","Packaging","asset_current","False","","Envases"
"account_110710","110710","VAT Tax Credit","asset_current","False","","IVA Crédito Fiscal"
"account_110720","110720","Remaining Tax Credit","asset_current","False","","Remanente Crédito Fiscal"
"account_110730","110730","Property, plant and equipment","asset_current","False","","Crédito por Activo Fijo"
"account_110740","110740","P.P.M. / Art 33 BIS","asset_receivable","True","","P.P.M. / Art 33 BIS"
"account_110750","110750","Sence Credit","asset_current","False","","Crédito Sence"
"account_110760","110760","Specific Fuel Tax","asset_current","False","l10n_cl.tag_cl_specific_fuel_tax","Impuesto Específico a los Combustibles"
"account_110810","110810","Foreign Trade Advances","asset_current","False","","Anticipos Comercio Exterior"
"account_110820","110820","Prepaid Expenses","asset_current","False","","Gastos Anticipados"
"account_110830","110830","Organization and Start-up","asset_current","False","","Organización y Puesta en Marcha"
"account_110910","110910","Member Retreats","asset_current","False","","Retiros Socios"
"account_110920","110920","Withdrawals Reinvestment","asset_current","False","","Retiros Reinversión"
"account_111010","111010","Reorganization Expenses","asset_current","False","","Gastos Reorganización"
"account_111110","111110","Obligated Accounts Members","asset_current","False","","Cuentas Obligadas Socios"
"account_111210","111210","Tax Expenses","asset_current","False","","Gastos Tributarios"
"account_111310","111310","Imports Account","asset_current","False","","Cuenta Importaciones"
"account_111410","111410","Rejected Expenses","asset_current","False","","Gastos Rechazados"
"account_120110","120110","Delinquent Debtors","asset_receivable","True","","Deudores Morosos"
"account_120120","120120","Debtors in Judicial Management","asset_receivable","True","","Deudores en Gestión Judicial"
"account_121110","121110","Office Equipment and Furniture","asset_fixed","False","","Equipos y Mobiliario de Oficina"
"account_121120","121120","Computer Equipment","asset_fixed","False","","Equipos Computacionales"
"account_121130","121130","Vehicles","asset_fixed","False","","Vehículos"
"account_121140","121140","Machinery","asset_fixed","False","","Maquinaria"
"account_121210","121210","Real Estate","asset_fixed","False","","Bienes Raíces"
"account_121310","121310","Depreciation Accum Office Equipment and Furniture","asset_fixed","False","","Depreciación Acum Equipos y Mob de Oficina"
"account_121320","121320","Depreciation Acum Computer Equipment","asset_fixed","False","","Depreciación Acum Equipos Computacionales"
"account_121330","121330","Depreciation Accum Other Assets","asset_fixed","False","","Depreciación Acum Otros Activos"
"account_130110","130110","Intangible Assets - Right of Keys","asset_non_current","False","","Activo Intangible - Derecho de Llaves"
"account_130112","130112","Intangible Assets - Concessions and Franchises","asset_non_current","False","","Activo Intangible - Concesiones y Franquicias"
"account_130114","130114","Intangible Assets - Trademarks and Patents","asset_non_current","False","","Activo Intangible - Marcas y Patentes de Invención"
"account_130116","130116","Intangible Assets - (-) Accumulated Amortization","asset_non_current","False","","Activo Intangible - (-) Amortización Acumulada"
"account_130120","130120","Rights Other Companies","asset_non_current","False","","Derechos Otras Empresas"
"account_130130","130130","Accounts Receivable from Individuals and Related Companies Long term","asset_non_current","False","","Cuentas por Cobrar a Personas y Empresas Relacionadas Largo Plazo"
"account_130140","130140","Long-Term Notes and Accounts Receivable","asset_non_current","False","","Documentos y Cuentas por Cobrar a Largo Plazo"
"account_130150","130150","Guarantees of Long-Term Obligations and Third-Party Obligations","asset_non_current","False","","Garantías de Obligaciones a Largo Plazo y de Obligaciones de Terceros"
"account_130160","130160","Equity Securities Commodity Exchanges","asset_non_current","False","","Títulos Patrimoniales Bolsas de Productos"
"account_190110","190110","Guaranty Slips","asset_non_current","False","","Boletas de Garantía"
