id,code_prefix_start,code_prefix_end,name,chart_template_id/id
l10n_cn_account_group_1000,1001,1999,资产类,l10n_cn.l10n_chart_china_small_business
l10n_cn_account_group_2000,2001,2999,负债类,l10n_cn.l10n_chart_china_small_business
l10n_cn_account_group_3000,3001,3299,共同类,l10n_cn.l10n_chart_china_small_business
l10n_cn_account_group_4000,4001,4299,所有者权益类,l10n_cn.l10n_chart_china_small_business
l10n_cn_account_group_5000,5001,5499,成本类,l10n_cn.l10n_chart_china_small_business
l10n_cn_account_group_6000,6001,6999,损益类,l10n_cn.l10n_chart_china_small_business
l10n_cn_account_group_1001,1001,1499,流动资产,l10n_cn.l10n_chart_china_small_business
l10n_cn_account_group_1501,1401,1899,长期资产,l10n_cn.l10n_chart_china_small_business
l10n_cn_account_group_1901,1901,1901,流动资产,l10n_cn.l10n_chart_china_small_business
l10n_cn_account_group_2001,2001,2399,流动负债,l10n_cn.l10n_chart_china_small_business
l10n_cn_account_group_2501,2501,2799,长期负债,l10n_cn.l10n_chart_china_small_business
l10n_cn_account_group_2801,2801,2801,流动负债,l10n_cn.l10n_chart_china_small_business
l10n_cn_account_group_2801,2901,2901,长期负债,l10n_cn.l10n_chart_china_small_business
l10n_cn_account_group_5001,5001,5399,成本,l10n_cn.l10n_chart_china_small_business
l10n_cn_account_group_6001,6001,6001,营业收入,l10n_cn.l10n_chart_china_small_business
l10n_cn_account_group_6051,6051,6300,其他收益,l10n_cn.l10n_chart_china_small_business
l10n_cn_account_group_6401,6401,6401,营业成本及税金,l10n_cn.l10n_chart_china_small_business
l10n_cn_account_group_6402,6402,6402,其他损失,l10n_cn.l10n_chart_china_small_business
l10n_cn_account_group_6403,6403,6403,营业成本及税金,l10n_cn.l10n_chart_china_small_business
l10n_cn_account_group_6601,6601,6609,期间费用,l10n_cn.l10n_chart_china_small_business
l10n_cn_account_group_6701,6701,6799,其他损失,l10n_cn.l10n_chart_china_small_business
l10n_cn_account_group_6801,6801,6801,所得税,l10n_cn.l10n_chart_china_small_business
l10n_cn_account_group_6901,6901,6901,以前年度损益调整,l10n_cn.l10n_chart_china_small_business
