"id","code","name","account_type","reconcile","name@zh_CN"
"l10n_cn_large_bis_account_100201","100201","Bank Suspense Account","asset_current","False","银行待清算账户"
"l10n_cn_large_bis_account_1003","1003","Deposit Central Bank Funds","asset_cash","True","存放中央银行款项"
"l10n_cn_large_bis_account_1004","1004","Liquidity Transfer","asset_current","True","流动性转账"
"l10n_cn_large_bis_account_1005","1005","Credit Card","liability_credit_card","True","信用卡"
"l10n_cn_large_bis_account_1011","1011","Deposit Peers","asset_current","False","存放同业"
"l10n_cn_large_bis_account_1021","1021","Settlement Reserve Fund","asset_current","False","结算备付金"
"l10n_cn_large_bis_account_1031","1031","Deposit Margin","asset_current","False","存出保证金"
"l10n_cn_large_bis_account_1101","1101","Tradable Financial Assets","asset_current","False","交易性金融资产"
"l10n_cn_large_bis_account_1102","1102","Derivative Financial Assets","asset_current","False","衍生金融资产"
"l10n_cn_large_bis_account_1111","1111","Financial Assets Under Resale Agreements","asset_current","False","买入返售金融资产"
"l10n_cn_large_bis_account_1124","1124","Receivables Financing","asset_current","False","应收款项融资"
"l10n_cn_large_bis_account_1201","1201","Subrogation Recovery Receivables","asset_current","False","应收代位追偿款"
"l10n_cn_large_bis_account_1211","1211","Reinsurance Accounts Receivable","asset_current","False","应收分保账款"
"l10n_cn_large_bis_account_1212","1212","Receivable Reinsurance Contract Reserves","asset_current","False","应收分保合同准备金"
"l10n_cn_large_bis_account_1222","1222","Tax Paid","asset_current","False","已付税金"
"l10n_cn_large_bis_account_1223","1223","Tax Receivable","asset_current","False","应收税金"
"l10n_cn_large_bis_account_1231","1231","Provision For Bad Debts","asset_current","False","坏账准备"
"l10n_cn_large_bis_account_1301","1301","Discount Assets","asset_current","False","贴现资产"
"l10n_cn_large_bis_account_1302","1302","Loan Funds","asset_current","False","拆出资金"
"l10n_cn_large_bis_account_1303","1303","Loan","asset_current","False","贷款"
"l10n_cn_large_bis_account_1304","1304","Loan Loss Provisions","asset_current","False","贷款损失准备"
"l10n_cn_large_bis_account_1311","1311","Agent To Redeem Securities","asset_current","False","代理兑付证券"
"l10n_cn_large_bis_account_1321","1321","Agency Business Assets","asset_current","False","代理业务资产"
"l10n_cn_large_bis_account_140501","140501","Work In Progress","asset_current","False","在产品"
"l10n_cn_large_bis_account_140502","140502","Work In Progress Overhead","asset_current","False","在产品费用"
