"id","code","name","reconcile","user_type_id/id","chart_template_id/id"
"l10n_cn_1001","1001","库存现金","False","account.data_account_type_liquidity","l10n_cn_small_business.l10n_chart_china_small_business"
"l10n_cn_1002","1002","银行存款","False","account.data_account_type_liquidity","l10n_cn_small_business.l10n_chart_china_small_business"
"l10n_cn_1012","1012","其他货币资金","False","account.data_account_type_current_assets","l10n_cn_small_business.l10n_chart_china_small_business"
"l10n_cn_1012001","1012001","外埠存款","False","account.data_account_type_current_assets","l10n_cn_small_business.l10n_chart_china_small_business"
"l10n_cn_1012002","1012002","银行本票","False","account.data_account_type_current_assets","l10n_cn_small_business.l10n_chart_china_small_business"
"l10n_cn_1012003","1012003","银行汇票","False","account.data_account_type_current_assets","l10n_cn_small_business.l10n_chart_china_small_business"
"l10n_cn_1012004","1012004","信用卡","False","account.data_account_type_current_assets","l10n_cn_small_business.l10n_chart_china_small_business"
"l10n_cn_1012005","1012005","信用保证金","False","account.data_account_type_current_assets","l10n_cn_small_business.l10n_chart_china_small_business"
"l10n_cn_1012006","1012006","存出投资款","False","account.data_account_type_current_assets","l10n_cn_small_business.l10n_chart_china_small_business"
"l10n_cn_1101","1101","短期投资","False","account.data_account_type_current_assets","l10n_cn_small_business.l10n_chart_china_small_business"
"l10n_cn_1101001","1101001","股票","False","account.data_account_type_current_assets","l10n_cn_small_business.l10n_chart_china_small_business"
"l10n_cn_1101002","1101002","债券","False","account.data_account_type_current_assets","l10n_cn_small_business.l10n_chart_china_small_business"
"l10n_cn_1101003","1101003","基金","False","account.data_account_type_current_assets","l10n_cn_small_business.l10n_chart_china_small_business"
"l10n_cn_1101004","1101004","其他","False","account.data_account_type_current_assets","l10n_cn_small_business.l10n_chart_china_small_business"
"l10n_cn_1121","1121","应收票据","True","account.data_account_type_receivable","l10n_cn_small_business.l10n_chart_china_small_business"
"l10n_cn_1122","1122","应收账款","True","account.data_account_type_receivable","l10n_cn_small_business.l10n_chart_china_small_business"
"l10n_cn_1123","1123","预付账款","True","account.data_account_type_prepayments","l10n_cn_small_business.l10n_chart_china_small_business"
"l10n_cn_1131","1131","应收股利","True","account.data_account_type_receivable","l10n_cn_small_business.l10n_chart_china_small_business"
"l10n_cn_1132","1132","应收利息","True","account.data_account_type_receivable","l10n_cn_small_business.l10n_chart_china_small_business"
"l10n_cn_1221","1221","其他应收款","True","account.data_account_type_receivable","l10n_cn_small_business.l10n_chart_china_small_business"
"l10n_cn_1401","1401","材料采购","False","account.data_account_type_current_assets","l10n_cn_small_business.l10n_chart_china_small_business"
"l10n_cn_1402","1402","在途物资","False","account.data_account_type_current_assets","l10n_cn_small_business.l10n_chart_china_small_business"
"l10n_cn_1403","1403","原材料","False","account.data_account_type_current_assets","l10n_cn_small_business.l10n_chart_china_small_business"
