"id","sequence","name","amount","amount_type","type_tax_use","tax_group_id","active","children_tax_ids","repartition_line_ids/repartition_type","repartition_line_ids/document_type","repartition_line_ids/account_id","description","invoice_label","name@es","description@es","price_include_override","fiscal_position_ids","original_tax_ids","repartition_line_ids/tag_ids"
"l10n_co_tax_1","0","19% VAT","19.0","percent","purchase","tax_group_iva_19","","","base","invoice","","VAT Purchase 19%","19%","19% IVA","IVA Compra 19%","","","","IVA_19_PURCH_BASE"
"","","","","","","","","","tax","invoice","co_puc_240810","","","","","","","","IVA_19_PURCH"
"","","","","","","","","","base","refund","","","","","","","","","IVA_19_PURCH_BASE"
"","","","","","","","","","tax","refund","co_puc_240810","","","","","","","","IVA_19_PURCH"
"l10n_co_tax_0","1","5% VAT","5.0","percent","purchase","tax_group_iva_5","","","base","invoice","","VAT Purchase 5%","5%","5% IVA","IVA Compra 5%","","","","IVA_5_PURCH_BASE"
"","","","","","","","","","tax","invoice","co_puc_240810","","","","","","","","IVA_5_PURCH"
"","","","","","","","","","base","refund","","","","","","","","","IVA_5_PURCH_BASE"
"","","","","","","","","","tax","refund","co_puc_240810","","","","","","","","IVA_5_PURCH"
"l10n_co_tax_2","1","16% D","16.0","percent","purchase","tax_group_iva_16","","","base","invoice","","Deductible VAT Purchase 16% (2016 and January 2017)","16%","16% Desc IVA","IVA Descontable Compra 16% (2016 y Enero 2017)","","","","IVA_19_PURCH_BASE"
"","","","","","","","","","tax","invoice","co_puc_240810","","","","","","","","IVA_19_PURCH"
"","","","","","","","","","base","refund","","","","","","","","","IVA_19_PURCH_BASE"
"","","","","","","","","","tax","refund","co_puc_240810","","","","","","","","IVA_19_PURCH"
"l10n_co_tax_5","1","0% IMP VAT","0.0","percent","purchase","tax_group_iva_0","","","base","invoice","","VAT Purchase Imports","0%","0% IVA Impo","IVA Compra Importaciones","","","","IVA_IMP_PURCH"
"","","","","","","","","","tax","invoice","","","","","","","","",""
"","","","","","","","","","base","refund","","","","","","","","","IVA_IMP_PURCH"
"","","","","","","","","","tax","refund","","","","","","","","",""
