"id","code","name","description","is_dee"
"doc_type_01","01","Factura de Venta","Sales Invoice","0"
"doc_type_02","02","Factura de Exportacion","Export Invoice","0"
"doc_type_03","03","Factura de Contingencia","Contingency Invoice","0"
"doc_type_04","04","Factura de Importacion","Import Invoice","0"
"doc_type_05","05","Documento Equivalente POS","POS Equivalent Document (Tiquete POS)","1"
"doc_type_07","07","Compraventa de Inmuebles","Real Estate Purchase/Sale","1"
"doc_type_08","08","Operaciones de Factoring","Factoring Operations","1"
"doc_type_10","10","Extracto","Financial Statement / Extract","1"
"doc_type_11","11","Tiquete de Transporte","Passenger Transport Ticket","1"
"doc_type_12","12","Servicios Publicos","Public Utility Bill (Servicios Publicos Domiciliarios)","1"
"doc_type_13","13","Peaje","Toll Receipt (Tiquete de Peaje)","1"
"doc_type_14","14","Espectaculos Publicos","Public Entertainment Ticket","1"
"doc_type_15","15","Juegos de Azar","Gambling Document","1"
"doc_type_16","16","Operaciones Cambiarias","Foreign Exchange Operations","1"
"doc_type_17","17","Consignacion","Consignment Document","1"
"doc_type_18","18","Giros Postales","Postal Money Orders","1"
"doc_type_20","20","Nota Soporte en Adquisiciones","Support Note for Acquisitions from Non-Tax-Responsible","1"
"doc_type_91","91","Nota Credito","Credit Note","0"
"doc_type_92","92","Nota Debito","Debit Note","0"
"doc_type_96","96","Evento","Event on Electronic Invoice","0"
