"id","name","code","account_type","reconcile","non_trade","name@cs","description","description@cs","tax_ids","depreciation_model_id"
"chart_cz_012000","Intangible results of research and development","012000","asset_non_current","False","","Nehmotné výsledky výzkumu a vývoje","Costs incurred from successful internal R&D projects that have a long-term value to the business.","Náklady vynaložené na úspěšné interní projekty výzkumu a vývoje, které mají pro podnik dlouhodobou hodnotu.","",""
"chart_cz_013000","Software","013000","asset_non_current","False","","Software","Costs of acquired software licenses, enterprise systems (ERP, CRM), and custom development.","Náklady na pořízené softwarové licence, podnikové systémy (ERP, CRM) a vývoj na zakázku.","",""
"chart_cz_014000","Other valuable rights","014000","asset_non_current","False","","Ostatní ocenitelná práva","Acquisition costs for patents, trademarks, copyrights, and other valuable intellectual property.","Pořizovací náklady na patenty, ochranné známky, autorská práva a další cenné duševní vlastnictví.","",""
"chart_cz_015000","Goodwill","015000","asset_non_current","False","","Dobrá vůle","The excess of purchase price over the fair market value of net assets during a business acquisition.","Rozdíl mezi kupní cenou a reálnou tržní hodnotou čistých aktiv při akvizici podniku.","",""
"chart_cz_016000","Emission allowances","016000","asset_non_current","False","","Povolenky na emise","Purchased or allocated allowances for greenhouse gas emissions required for industrial operations.","Nakoupené nebo přidělené povolenky na emise skleníkových plynů nutné pro průmyslový provoz.","",""
"chart_cz_017000","Preferential limits","017000","asset_non_current","False","","Preferenční limity","Production or import quotas and preferential limits that hold long-term intangible value.","Výrobní nebo dovozní kvóty a preferenční limity, které mají dlouhodobou nehmotnou hodnotu.","",""
"chart_cz_019000","Other intangible fixed assets","019000","asset_non_current","False","","Ostatní dlouhodobý nehmotný majetek","Miscellaneous intangible assets that do not fit into software, rights, or goodwill categories.","Různý nehmotný majetek, který nezapadá do kategorií softwaru, práv nebo goodwillu.","",""
"chart_cz_021000","Buildings","021000","asset_fixed","False","","Stavby","Construction, renovation, and remodeling of buildings, including associated fees (architects, permits).","Výstavba, renovace a přestavba budov, včetně souvisejících poplatků (architekti, povolení).","l10n_cz_21_receipt_domestic_supplies","asset_30_year_linear"
"chart_cz_022000","Tangible movable assets and groups thereof","022000","asset_fixed","False","","Hmotné movité věci a jejich soubory","Physical equipment, apparatuses, and standalone movable assets utilized in company operations.","Fyzické vybavení, přístroje a samostatné movité věci využívané k činnosti podniku.","",""
"chart_cz_025000","Growing units of permanent crops","025000","asset_fixed","False","","Pěstitelské celky trvalých porostů","Long-term agricultural assets such as orchards, vineyards, and hop gardens yielding crops over multiple years.","Dlouhodobý zemědělský majetek, jako jsou sady, vinice a chmelnice, přinášející úrodu po více let.","",""
"chart_cz_026000","Adult animals and groups thereof","026000","asset_fixed","False","","Dospělá zvířata a jejich skupiny","Livestock, breeding animals, and draft animals kept for long-term agricultural or business purposes.","Hospodářská zvířata, plemenná zvířata a tažná zvířata chovaná pro dlouhodobé zemědělské nebo obchodní účely.","",""
