"id","account_asset_id","account_depreciation_id","account_depreciation_expense_id","name","method_number","method_period","name@de"
"asset_skr04_commercial_buildings_ol","chart_skr04_240","chart_skr04_249","chart_skr04_6221","Commercial Buildings (Commercial, Own Land)","33","12","Gewerbeimmobilien (Gewerbe, eigenes Grundstück)"
"asset_skr04_industrial_buildings_ol","chart_skr04_250","chart_skr04_259","chart_skr04_6221","Industrial buildings (Industrial, Own Land)","33","12","Industriegebäude (Industrie, eigenes Grundstück)"
"asset_skr04_garages_commercial_ol","chart_skr04_270","chart_skr04_249","chart_skr04_6221","Garages (Commercial, Own Land)","20","12","Garagen (gewerblich, eigenes Grundstück)"
"asset_skr04_outdoor_facilities_commercial_ol","chart_skr04_280","chart_skr04_249","chart_skr04_6221","Outdoor facilities (Commercial, Own Land)","10","12","Außenanlagen (gewerblich, eigenes Grundstück)"
"asset_skr04_paved_courtyards_commercial_ol","chart_skr04_285","chart_skr04_249","chart_skr04_6221","Paved courtyards and other paved surfaces (Commercial, Own Land)","19","12","Gepflasterte Innenhöfe und andere gepflasterte Flächen (gewerblich, eigenes Grundstück)"
"asset_skr04_fixtures_in_commercial_and_industrial_buildings_ol","chart_skr04_290","chart_skr04_249","chart_skr04_6221","Fixtures in commercial and industrial buildings (Commercial, Own Land)","10","12","Einbauten in Gewerbe- und Industriegebäuden (Gewerbe, eigenes Grundstück)"
"asset_skr04_other_buildings_commercial_ol","chart_skr04_260","chart_skr04_249","chart_skr04_6221","Other buildings (Commercial, Own Land)","33","12","Sonstige Gebäude (Gewerbe, eigenes Grundstück)"
"asset_skr04_residential_buildings_ol","chart_skr04_300","chart_skr04_309","chart_skr04_6221","Residential buildings (Residential, Own Land)","50","12","Wohngebäude (Wohngebäude, eigenes Grundstück)"
"asset_skr04_garages_residential_ol","chart_skr04_305","chart_skr04_309","chart_skr04_6221","Garages (Residential, Own Land)","20","12","Garagen (Wohngebäude, eigenes Grundstück)"
"asset_skr04_outdoor_facilities_residential_ol","chart_skr04_310","chart_skr04_309","chart_skr04_6221","Outdoor facilities (Residential, Own Land)","10","12","Außenanlagen (Wohngebäude, eigenes Grundstück)"
"asset_skr04_paved_courtyards_residential_ol","chart_skr04_315","chart_skr04_309","chart_skr04_6221","Paved courtyards and other paved surfaces (Residential, Own Land)","19","12","Gepflasterte Innenhöfe und andere gepflasterte Flächen (Wohngebäude, eigenes Grundstück)"
"asset_skr04_fixtures_in_residential_buildings_ol","chart_skr04_320","chart_skr04_309","chart_skr04_6221","Fixtures in residential buildings (Residential, Own Land)","10","12","Einbauten in Wohngebäuden (Wohngebäude, eigenes Grundstück)"
"asset_skr04_commercial_buildings_tp","chart_skr04_340","chart_skr04_349","chart_skr04_6221","Commercial buildings (Commercial, Third-Party)","33","12","Gewerbliche Gebäude (gewerblich, Dritte)"
"asset_skr04_industrial_buildings_tp","chart_skr04_350","chart_skr04_359","chart_skr04_6221","Industrial buildings (Industrial, Third-Party)","33","12","Industriegebäude (Industrie, Dritte)"
"asset_skr04_garages_commercial_tp","chart_skr04_380","chart_skr04_349","chart_skr04_6221","Garages (Commercial, Third-Party)","20","12","Garagen (gewerblich, Dritte)"
"asset_skr04_outdoor_facilities_commercial_tp","chart_skr04_390","chart_skr04_349","chart_skr04_6221","Outdoor facilities (Commercial, Third-Party)","10","12","Außenanlagen (gewerblich, Dritte)"
"asset_skr04_paved_courtyards_commercial_tp","chart_skr04_395","chart_skr04_349","chart_skr04_6221","Paved courtyards and other paved surfaces (Commercial, Third-Party)","19","12","Gepflasterte Innenhöfe und andere gepflasterte Flächen (gewerblich, Dritte)"
"asset_skr04_fixtures_in_commercial_and_industrial_buildings_tp","chart_skr04_398","chart_skr04_349","chart_skr04_6221","Fixtures in commercial and industrial buildings (Commercial, Third-Party)","10","12","Einbauten in Gewerbe- und Industriegebäuden (gewerblich, Dritte)"
"asset_skr04_other_buildings_commercial_tp","chart_skr04_370","chart_skr04_349","chart_skr04_6221","Other buildings (Commercial, Third-Party)","33","12","Sonstige Gebäude (gewerblich, Dritte)"
"asset_skr04_residential_buildings_tp","chart_skr04_360","chart_skr04_369","chart_skr04_6221","Residential buildings (Residential, Third-Party)","50","12","Wohngebäude (Wohnzwecke, Dritte)"
"asset_skr04_machinery","chart_skr04_440","chart_skr04_449","chart_skr04_6220","Machinery","10","12","Maschinen"
"asset_skr04_machine_tools","chart_skr04_460","chart_skr04_469","chart_skr04_6220","Machine tools","10","12","Werkzeugmaschinen"
"asset_skr04_transportation","chart_skr04_450","chart_skr04_459","chart_skr04_6220","Transportation and similar systems","14","12","Transportwesen und ähnliche Systeme"
"asset_skr04_operating_facilities","chart_skr04_470","chart_skr04_479","chart_skr04_6220","Operating facilities","10","12","Betriebsanlagen"
"asset_skr04_passenger_cars","chart_skr04_520","chart_skr04_529","chart_skr04_6222","Passenger cars","6","12","Personenkraftwagen"
"asset_skr04_heavy_goods_vehicles","chart_skr04_540","chart_skr04_549","chart_skr04_6222","Heavy goods vehicles","9","12","Schwerlastfahrzeuge"
"asset_skr04_other_transportation_resources","chart_skr04_560","chart_skr04_569","chart_skr04_6222","Other transportation resources","7","12","Andere Transportmittel"
"asset_skr04_motorbike","chart_skr04_5601","chart_skr04_569","chart_skr04_6222","Motorbike","7","12","Motorrad"
"asset_skr04_e_bike","chart_skr04_5602","chart_skr04_569","chart_skr04_6222","E-Bike","3","12","E-Bike"
"asset_skr04_trailer","chart_skr04_5603","chart_skr04_569","chart_skr04_6220","Trailer","8","12","Anhänger"
"asset_skr04_bicycle","chart_skr04_5604","chart_skr04_569","chart_skr04_6220","Bicycle","7","12","Fahrrad"
"asset_skr04_office_equipment","chart_skr04_635","chart_skr04_639","chart_skr04_6220","Office equipment","1","12","Büroausstattung"
"asset_skr04_coffee_machine","chart_skr04_6351","chart_skr04_639","chart_skr04_6220","Coffee Machine","5","12","Kaffeemaschine"
"asset_skr04_printer","chart_skr04_6352","chart_skr04_639","chart_skr04_6220","Printer","7","12","Drucker"
"asset_skr04_office_fittings","chart_skr04_650","chart_skr04_659","chart_skr04_6220","Office fittings","13","12","Büroeinrichtungen"
"asset_skr04_shop_fittings","chart_skr04_640","chart_skr04_649","chart_skr04_6220","Shop fittings","8","12","Ladeneinrichtungen"
"asset_skr04_tools","chart_skr04_620","chart_skr04_629","chart_skr04_6220","Tools","5","12","Werkzeuge"
"asset_skr04_scaffolding_and_fromwork_materials","chart_skr04_660","chart_skr04_669","chart_skr04_6220","Scaffolding and formwork materials","5","12","Gerüst- und Schalungsmaterialien"
"asset_skr04_low_value_assets","chart_skr04_670","chart_skr04_674","chart_skr04_6220","Low-value assets","1","12","Geringwertige Vermögenswerte"
"asset_skr04_collective_item","chart_skr04_675","chart_skr04_679","chart_skr04_6220","Assets (collective item)","5","12","Vermögenswerte (kollektiver Posten)"
"asset_skr04_other_rights_and_assets","chart_skr04_130","chart_skr04_134","chart_skr04_6200","Other rights and assets","5","12","Sonstige Rechte und Vermögenswerte"
"asset_skr04_computer_software","chart_skr04_135","chart_skr04_139","chart_skr04_6200","Computer software","1","12","Computersoftware"
"asset_skr04_licences_in_industrial_and_similar_rigts","chart_skr04_140","chart_skr04_149","chart_skr04_6200","Licences in industrial and similar rights and assets","5","12","Lizenzen für gewerbliche und ähnliche Rechte und Vermögenswerte"
"asset_skr04_goodwill","chart_skr04_150","chart_skr04_159","chart_skr04_6200","Goodwill","15","12","Goodwill"
