"id","method","method_number","method_period","method_progress_factor"
"asset_no_depreciation","no_depreciation","0","12",""
"asset_1_year_linear","linear","1","12",""
"asset_3_year_linear","linear","3","12",""
"asset_5_year_linear","linear","5","12",""
"asset_6_year_linear","linear","6","12",""
"asset_7_year_linear","linear","7","12",""
"asset_8_year_linear","linear","8","12",""
"asset_9_year_linear","linear","9","12",""
"asset_10_year_linear","linear","10","12",""
"asset_13_year_linear","linear","13","12",""
"asset_14_year_linear","linear","14","12",""
"asset_15_year_linear","linear","15","12",""
"asset_19_year_linear","linear","19","12",""
"asset_20_year_linear","linear","20","12",""
"asset_33_year_linear","linear","33","12",""
"asset_50_year_linear","linear","50","12",""
