"id","sequence","name","auto_apply","country_id","country_group_id","vat_required","account_ids/account_src_id","account_ids/account_dest_id","name@de"
"fiscal_position_domestic_skr03","10","Domestic business partner","1","base.de","",,"","","Geschäftspartner Inland"
"fiscal_position_non_eu_partner_service_skr03","60","Service provider abroad (non-EU)","","","","","","","Dienstleister Ausland (Nicht-EU)"
"","","","","","","","account_8400","account_8338",""
"","","","","","","","account_3400","account_3125",""
"fiscal_position_non_eu_partner_skr03","50","Business partner abroad (non-EU)","","","","","","","Geschäftspartner Ausland (Nicht-EU)"
"","","","","","","","account_8400","account_8120",""
"","","","","","","","account_8300","account_8120",""
"","","","","","","","account_3400","account_3551",""
"","","","","","","","account_3300","account_3557",""
"fiscal_position_eu_vat_id_partner_skr03","20","Business partner EU (with VAT ID)","1","","account.europe_vat","1","","","Geschäftspartner EU (mit USt-ID)"
"","","","","","","","account_2401","account_2402",""
"","","","","","","","account_2406","account_2402",""
"","","","","","","","account_2431","account_2430",""
"","","","","","","","account_2436","account_2430",""
"","","","","","","","account_8400","account_8125",""
"","","","","","","","account_8300","account_8125",""
"","","","","","","","account_3400","account_3425",""
"","","","","","","","account_3300","account_3420",""
"fiscal_position_eu_vat_id_partner_service_skr03","30","Service provider EU (with VAT ID)","","","","1","","","Dienstleister EU (mit USt-ID)"
"","","","","","","","account_3400","account_3123",""
"","","","","","","","account_3300","account_3113",""
"fiscal_position_eu_no_id_partner_skr03","40","Business partner EU (without VAT ID)","","","","","","","Geschäftspartner EU (ohne USt-ID)"
"","","","","","","","account_2401","account_2403",""
"","","","","","","","account_2406","account_2408",""
"","","","","","","","account_2431","account_2430",""
"","","","","","","","account_2436","account_2430",""
"","","","","","","","account_8400","account_8315",""
"","","","","","","","account_8300","account_8310",""
"","","","","","","","account_3400","account_3435",""
"","","","","","","","account_3300","account_3430",""
