"id","name","applicability","country_id/id"
"account_tag_1010","1010","accounts","base.dk"
"account_tag_1050","1050","accounts","base.dk"
"account_tag_1100","1100","accounts","base.dk"
"account_tag_1150","1150","accounts","base.dk"
"account_tag_1200","1200","accounts","base.dk"
"account_tag_1210","1210","accounts","base.dk"
"account_tag_1250","1250","accounts","base.dk"
"account_tag_1300","1300","accounts","base.dk"
"account_tag_1350","1350","accounts","base.dk"
"account_tag_1410","1410","accounts","base.dk"
"account_tag_1430","1430","accounts","base.dk"
"account_tag_1450","1450","accounts","base.dk"
"account_tag_1460","1460","accounts","base.dk"
"account_tag_1496","1496","accounts","base.dk"
"account_tag_1510","1510","accounts","base.dk"
"account_tag_1530","1530","accounts","base.dk"
"account_tag_1540","1540","accounts","base.dk"
"account_tag_1545","1545","accounts","base.dk"
"account_tag_1550","1550","accounts","base.dk"
"account_tag_1610","1610","accounts","base.dk"
"account_tag_1630","1630","accounts","base.dk"
"account_tag_1650","1650","accounts","base.dk"
"account_tag_1660","1660","accounts","base.dk"
"account_tag_1710","1710","accounts","base.dk"
"account_tag_1740","1740","accounts","base.dk"
"account_tag_1745","1745","accounts","base.dk"
"account_tag_1760","1760","accounts","base.dk"
"account_tag_1770","1770","accounts","base.dk"
"account_tag_1800","1800","accounts","base.dk"
"account_tag_1801","1801","accounts","base.dk"
"account_tag_1805","1805","accounts","base.dk"
"account_tag_1807","1807","accounts","base.dk"
"account_tag_1830","1830","accounts","base.dk"
"account_tag_1850","1850","accounts","base.dk"
"account_tag_1870","1870","accounts","base.dk"
"account_tag_1890","1890","accounts","base.dk"
"account_tag_1910","1910","accounts","base.dk"
"account_tag_1930","1930","accounts","base.dk"
"account_tag_1950","1950","accounts","base.dk"
"account_tag_1970","1970","accounts","base.dk"
"account_tag_1990","1990","accounts","base.dk"
"account_tag_2000","2000","accounts","base.dk"
"account_tag_2030","2030","accounts","base.dk"
"account_tag_2050","2050","accounts","base.dk"
"account_tag_2060","2060","accounts","base.dk"
"account_tag_2070","2070","accounts","base.dk"
"account_tag_2080","2080","accounts","base.dk"
"account_tag_2085","2085","accounts","base.dk"
"account_tag_2090","2090","accounts","base.dk"
"account_tag_2100","2100","accounts","base.dk"
"account_tag_2110","2110","accounts","base.dk"
"account_tag_2120","2120","accounts","base.dk"
"account_tag_2130","2130","accounts","base.dk"
"account_tag_2140","2140","accounts","base.dk"
"account_tag_2150","2150","accounts","base.dk"
"account_tag_2160","2160","accounts","base.dk"
"account_tag_2170","2170","accounts","base.dk"
"account_tag_2180","2180","accounts","base.dk"
"account_tag_2190","2190","accounts","base.dk"
"account_tag_2200","2200","accounts","base.dk"
"account_tag_2230","2230","accounts","base.dk"
"account_tag_2240","2240","accounts","base.dk"
"account_tag_2250","2250","accounts","base.dk"
"account_tag_2255","2255","accounts","base.dk"
"account_tag_2260","2260","accounts","base.dk"
"account_tag_2265","2265","accounts","base.dk"
"account_tag_2266","2266","accounts","base.dk"
"account_tag_2270","2270","accounts","base.dk"
"account_tag_2280","2280","accounts","base.dk"
"account_tag_2290","2290","accounts","base.dk"
"account_tag_2300","2300","accounts","base.dk"
"account_tag_2310","2310","accounts","base.dk"
"account_tag_2330","2330","accounts","base.dk"
"account_tag_2350","2350","accounts","base.dk"
"account_tag_2370","2370","accounts","base.dk"
"account_tag_2375","2375","accounts","base.dk"
"account_tag_2380","2380","accounts","base.dk"
"account_tag_2390","2390","accounts","base.dk"
"account_tag_2410","2410","accounts","base.dk"
"account_tag_2420","2420","accounts","base.dk"
"account_tag_2430","2430","accounts","base.dk"
"account_tag_2450","2450","accounts","base.dk"
"account_tag_2460","2460","accounts","base.dk"
"account_tag_2470","2470","accounts","base.dk"
"account_tag_2480","2480","accounts","base.dk"
"account_tag_2510","2510","accounts","base.dk"
"account_tag_2520","2520","accounts","base.dk"
"account_tag_2530","2530","accounts","base.dk"
"account_tag_2540","2540","accounts","base.dk"
"account_tag_2548","2548","accounts","base.dk"
"account_tag_2550","2550","accounts","base.dk"
"account_tag_2560","2560","accounts","base.dk"
"account_tag_2567","2567","accounts","base.dk"
"account_tag_2569","2569","accounts","base.dk"
"account_tag_2580","2580","accounts","base.dk"
"account_tag_2620","2620","accounts","base.dk"
"account_tag_2630","2630","accounts","base.dk"
"account_tag_2640","2640","accounts","base.dk"
"account_tag_2650","2650","accounts","base.dk"
"account_tag_2660","2660","accounts","base.dk"
"account_tag_2670","2670","accounts","base.dk"
"account_tag_2680","2680","accounts","base.dk"
"account_tag_2690","2690","accounts","base.dk"
"account_tag_2700","2700","accounts","base.dk"
"account_tag_2710","2710","accounts","base.dk"
"account_tag_2720","2720","accounts","base.dk"
"account_tag_2810","2810","accounts","base.dk"
"account_tag_2845","2845","accounts","base.dk"
"account_tag_2846","2846","accounts","base.dk"
"account_tag_2847","2847","accounts","base.dk"
"account_tag_2850","2850","accounts","base.dk"
"account_tag_2860","2860","accounts","base.dk"
"account_tag_2865","2865","accounts","base.dk"
"account_tag_2866","2866","accounts","base.dk"
"account_tag_2870","2870","accounts","base.dk"
"account_tag_2880","2880","accounts","base.dk"
"account_tag_2885","2885","accounts","base.dk"
"account_tag_2887","2887","accounts","base.dk"
"account_tag_2888","2888","accounts","base.dk"
"account_tag_2890","2890","accounts","base.dk"
"account_tag_2900","2900","accounts","base.dk"
"account_tag_2895","2895","accounts","base.dk"
"account_tag_2896","2896","accounts","base.dk"
"account_tag_2897","2897","accounts","base.dk"
"account_tag_2898","2898","accounts","base.dk"
"account_tag_2910","2910","accounts","base.dk"
"account_tag_2920","2920","accounts","base.dk"
"account_tag_2925","2925","accounts","base.dk"
"account_tag_2930","2930","accounts","base.dk"
"account_tag_2940","2940","accounts","base.dk"
"account_tag_2946","2946","accounts","base.dk"
"account_tag_2947","2947","accounts","base.dk"
"account_tag_2950","2950","accounts","base.dk"
"account_tag_2960","2960","accounts","base.dk"
"account_tag_2965","2965","accounts","base.dk"
"account_tag_2968","2968","accounts","base.dk"
"account_tag_2970","2970","accounts","base.dk"
"account_tag_2980","2980","accounts","base.dk"
"account_tag_3000","3000","accounts","base.dk"
"account_tag_3010","3010","accounts","base.dk"
"account_tag_3020","3020","accounts","base.dk"
"account_tag_3030","3030","accounts","base.dk"
"account_tag_3040","3040","accounts","base.dk"
"account_tag_3050","3050","accounts","base.dk"
"account_tag_3060","3060","accounts","base.dk"
"account_tag_3070","3070","accounts","base.dk"
"account_tag_3080","3080","accounts","base.dk"
"account_tag_3090","3090","accounts","base.dk"
"account_tag_3095","3095","accounts","base.dk"
"account_tag_3097","3097","accounts","base.dk"
"account_tag_3099","3099","accounts","base.dk"
"account_tag_3130","3130","accounts","base.dk"
"account_tag_3160","3160","accounts","base.dk"
"account_tag_3165","3165","accounts","base.dk"
"account_tag_3170","3170","accounts","base.dk"
"account_tag_3180","3180","accounts","base.dk"
"account_tag_3185","3185","accounts","base.dk"
"account_tag_3193","3193","accounts","base.dk"
"account_tag_3194","3194","accounts","base.dk"
"account_tag_3196","3196","accounts","base.dk"
"account_tag_3197","3197","accounts","base.dk"
"account_tag_3198","3198","accounts","base.dk"
"account_tag_3200","3200","accounts","base.dk"
"account_tag_3211","3211","accounts","base.dk"
"account_tag_3212","3212","accounts","base.dk"
"account_tag_3214","3214","accounts","base.dk"
"account_tag_3215","3215","accounts","base.dk"
"account_tag_3216","3216","accounts","base.dk"
"account_tag_3217","3217","accounts","base.dk"
"account_tag_3221","3221","accounts","base.dk"
"account_tag_3222","3222","accounts","base.dk"
"account_tag_3224","3224","accounts","base.dk"
"account_tag_3225","3225","accounts","base.dk"
"account_tag_3226","3226","accounts","base.dk"
"account_tag_3230","3230","accounts","base.dk"
"account_tag_3232","3232","accounts","base.dk"
"account_tag_3252","3252","accounts","base.dk"
"account_tag_3262","3262","accounts","base.dk"
"account_tag_3272","3272","accounts","base.dk"
"account_tag_3380","3380","accounts","base.dk"
"account_tag_3385","3385","accounts","base.dk"
"account_tag_3390","3390","accounts","base.dk"
"account_tag_3395","3395","accounts","base.dk"
"account_tag_3400","3400","accounts","base.dk"
"account_tag_3440","3440","accounts","base.dk"
"account_tag_3445","3445","accounts","base.dk"
"account_tag_3470","3470","accounts","base.dk"
"account_tag_3490","3490","accounts","base.dk"
"account_tag_3510","3510","accounts","base.dk"
"account_tag_3530","3530","accounts","base.dk"
"account_tag_3535","3535","accounts","base.dk"
"account_tag_3536","3536","accounts","base.dk"
"account_tag_3537","3537","accounts","base.dk"
"account_tag_3560","3560","accounts","base.dk"
"account_tag_3590","3590","accounts","base.dk"
"account_tag_3596","3596","accounts","base.dk"
"account_tag_3610","3610","accounts","base.dk"
"account_tag_3620","3620","accounts","base.dk"
"account_tag_3630","3630","accounts","base.dk"
"account_tag_3640","3640","accounts","base.dk"
"account_tag_3650","3650","accounts","base.dk"
"account_tag_3670","3670","accounts","base.dk"
"account_tag_3675","3675","accounts","base.dk"
"account_tag_3680","3680","accounts","base.dk"
"account_tag_3690","3690","accounts","base.dk"
"account_tag_3740","3740","accounts","base.dk"
"account_tag_3760","3760","accounts","base.dk"
"account_tag_3780","3780","accounts","base.dk"
"account_tag_3810","3810","accounts","base.dk"
"account_tag_5010","5010","accounts","base.dk"
"account_tag_5011","5011","accounts","base.dk"
"account_tag_5012","5012","accounts","base.dk"
"account_tag_5015","5015","accounts","base.dk"
"account_tag_5020","5020","accounts","base.dk"
