"id","sequence","name","description","invoice_label","amount","amount_type","type_tax_use","active","repartition_line_ids/repartition_type","repartition_line_ids/document_type","repartition_line_ids/account_id","repartition_line_ids/tag_ids","repartition_line_ids/factor_percent","description@da_DK","invoice_label@da_dk","fiscal_position_ids","original_tax_ids","invoice_legal_notes","invoice_legal_notes@da_DK"
"tax_s1","5","S_DK_25","Sales subject to VAT (DK), 25% VAT","25 %","25.0","percent","sale","True","base","invoice","","","","Momspligtige salg (DK), 25% moms","25 %","fiscal_position_template_eu,fiscal_position_template_dk_vat","","",""
"","","","","","","","","","tax","invoice","dk_coa_7680","UM","","","","","","",""
"","","","","","","","","","base","refund","","","","","","","","",""
"","","","","","","","","","tax","refund","dk_coa_7680","UM","","","","","","",""
"tax_s1y","5","S_DK_Y_25","Sales subject to VAT (DK) (Services), 25% VAT","25 %","25.0","percent","sale","True","base","invoice","","","","Momspligtige salg (DK), 25% moms (Ydelser)","25 %","fiscal_position_template_eu,fiscal_position_template_dk_vat","","",""
"","","","","","","","","","tax","invoice","dk_coa_7680","UM","","","","","","",""
"","","","","","","","","","base","refund","","","","","","","","",""
"","","","","","","","","","tax","refund","dk_coa_7680","UM","","","","","","",""
"tax_s0","6","S_DK_0","Sales subject to VAT (DK) 0% VAT","0 %","0.0","percent","sale","True","base","invoice","","R-C-UR","","Momspligtige salg (DK) 0% moms","0 %","fiscal_position_template_dk_vat,fiscal_position_template_eu","","",""
"","","","","","","","","","tax","invoice","","","","","","","","",""
"","","","","","","","","","base","refund","","R-C-UR","","","","","","",""
"","","","","","","","","","tax","refund","","","","","","","","",""
"tax_s%","7","S_DK_UdenforMomslov","Outside the scope of the VAT Act","0 %","0.0","percent","sale","True","base","invoice","","","","Udenfor momslovens anvendelsområde","0 %","fiscal_position_template_dk_vat,fiscal_position_template_eu","","",""
"","","","","","","","","","tax","invoice","","","","","","","","",""
"","","","","","","","","","base","refund","","","","","","","","",""
"","","","","","","","","","tax","refund","","","","","","","","",""
"tax_smf","8","S_DK_Momsfritaget","VAT-exempt sale","0 %","0.0","percent","sale","True","base","invoice","","","","Momsfritaget salg ","0 %","fiscal_position_template_dk_vat,fiscal_position_template_eu","","",""
"","","","","","","","","","tax","invoice","","","","","","","","",""
"","","","","","","","","","base","refund","","","","","","","","",""
"","","","","","","","","","tax","refund","","","","","","","","",""
"tax_sbrugt","9","S_DK_Brugtmoms","Used VAT","25 %","25.0","percent","sale","False","base","invoice","","","","Brugtmoms","","fiscal_position_template_dk_vat,fiscal_position_template_eu","","",""
"","","","","","","","","","tax","invoice","dk_coa_7680","UM","","","","","","",""
"","","","","","","","","","base","refund","","","","","","","","",""
"","","","","","","","","","tax","refund","dk_coa_7680","UM","","","","","","",""
"tax_smargin","10","S_DK_Marginmoms","Margin VAT","25 %","25.0","percent","sale","False","base","invoice","","","","Marginmoms","25 %","fiscal_position_template_dk_vat,fiscal_position_template_eu","","",""
"","","","","","","","","","tax","invoice","dk_coa_7680","UM","","","","","","",""
"","","","","","","","","","base","refund","","","","","","","","",""
"","","","","","","","","","tax","refund","dk_coa_7680","UM","","","","","","",""
"tax_smotor","11","S_DK_brugtbil","Used passenger motor vehicles","25 %","25.0","percent","sale","False","base","invoice","","","","Brugte personmotorkøretøjer","25 %","fiscal_position_template_dk_vat,fiscal_position_template_eu","","",""
"","","","","","","","","","tax","invoice","dk_coa_7680","UM","","","","","","",""
"","","","","","","","","","base","refund","","","","","","","","",""
"","","","","","","","","","tax","refund","dk_coa_7680","UM","","","","","","",""
"tax_sleasing","12","S_DK_leasingbiler_mm","Rental companies, driving schools and tow trucks","20 %","20.0","percent","sale","False","base","invoice","","","","Udlejningsvirksomheder, køreskoler og demobiler","20 %","fiscal_position_template_dk_vat,fiscal_position_template_eu","","",""
"","","","","","","","","","tax","invoice","dk_coa_7680","UM","","","","","","",""
"","","","","","","","","","base","refund","","","","","","","","",""
"","","","","","","","","","tax","refund","dk_coa_7680","UM","","","","","","",""
"tax_skunstnere","13","S_DK_kunstnere","Artists' first sale","5 %","5.0","percent","sale","False","base","invoice","","","","Kunstneres førstegangssalg","5 %","fiscal_position_template_dk_vat,fiscal_position_template_eu","","",""
"","","","","","","","","","tax","invoice","dk_coa_7680","UM","","","","","","",""
"","","","","","","","","","base","refund","","","","","","","","",""
"","","","","","","","","","tax","refund","dk_coa_7680","UM","","","","","","",""
"tax_slokal","14","S_LokalMoms","Local sales other countries with VAT","0 %","0","percent","sale","False","base","invoice","","","","Lokal salg andre lande med moms","0 %","fiscal_position_template_dk_vat,fiscal_position_template_eu","","",""
"","","","","","","","","","tax","invoice","dk_coa_7680","UM","","","","","","",""
"","","","","","","","","","base","refund","","","","","","","","",""
"","","","","","","","","","tax","refund","dk_coa_7680","UM","","","","","","",""
"tax_s2","16","S_EU_Varer_MomsNulPct","Sale of goods B2B (EU), 0% VAT","0 %","0.0","percent","sale","True","base","invoice","","R-B-MR","","Varesalg B2B (EU), 0% moms   ","0 %","fiscal_position_template_eu_taxid","tax_s1","VAT exempt - Article 138 of Directive 2006/112/EC","Momsfritaget jf. momslovens § 34, stk. 1, nr. 1"
"","","","","","","","","","tax","invoice","","","","","","","","",""
"","","","","","","","","","base","refund","","R-B-MR","","","","","","",""
"","","","","","","","","","tax","refund","","","","","","","","",""
"tax_s7","17","S_EU_Varer_MomsNulPct_ejEU_salgsangiv","Sale of goods B2B (EU), 0% VAT","0 %","0.0","percent","sale","True","base","invoice","","R-B-UR","","Varesalg B2B (EU), 0% moms   ","0 %","fiscal_position_template_eu_taxid","","",""
"","","","","","","","","","tax","invoice","","","","","","","","",""
"","","","","","","","","","base","refund","","R-B-UR","","","","","","",""
"","","","","","","","","","tax","refund","","","","","","","","",""
"tax_s3","18","S_EU_Ydelser_MomsNulPct","Service sales B2B (EU), 0% VAT","0 %","0.0","percent","sale","True","base","invoice","","R-C-MR","","Ydelsessalg B2B (EU), 0% moms","0 %","fiscal_position_template_eu_taxid","tax_s1y","VAT reverse charged","Omvendt betalingspligt - køber afregner moms"
"","","","","","","","","","tax","invoice","","","","","","","","",""
"","","","","","","","","","base","refund","","R-C-MR","","","","","","",""
"","","","","","","","","","tax","refund","","","","","","","","",""
"tax_s8","19","S_EU_Varer_Trekantshandel","Triangular sales B2B (EU), 0% VAT","0 %","0.0","percent","sale","True","base","invoice","","R-D-MR","","Trianguleringssalg B2B (EU), 0% moms","0 %","fiscal_position_template_eu_taxid","","Exempt triangular transaction - Article 141 of the Directive 2006/112/EC",""
"","","","","","","","","","tax","invoice","","","","","","","","",""
"","","","","","","","","","base","refund","","R-D-MR","","","","","","",""
"","","","","","","","","","tax","refund","","","","","","","","",""
