id,code,name,close_method,report_type
default_chart_a_type_1,view,Root/View,none,none
default_chart_a_type_2,receivable,Receivable,unreconciled,asset
default_chart_a_type_3,payable,Payable,unreconciled,liability
default_chart_a_type_4,bank,Bank,balance,asset
default_chart_a_type_5,cash,Cash,balance,asset
default_chart_a_type_6,asset,Asset,balance,asset
default_chart_a_type_7,liability,Liability,balance,liability
default_chart_a_type_8,income,Income,none,income
default_chart_a_type_9,expense,Expense,none,expense
default_chart_a_type_10,view,Income View,none,income
default_chart_a_type_11,expense,Expense View,none,expense
default_chart_a_type_12,asset,Asset View,none,asset
default_chart_a_type_13,liability,Liability View,none,liability
default_chart_a_type_14,tax,Tax,unreconciled,expense
default_chart_a_type_15,equity,Equity,balance,liability
default_chart_a_type_16,check,Check,balance,asset
