id,name,code,account_type,chart_template_id/id,reconcile
pcg_10111,Capital souscrit non appelé,10111,equity,l10n_dz_pcg_chart_template,False
pcg_10112,Capital souscrit - appelé non versé,10112,equity,l10n_dz_pcg_chart_template,False
pcg_10113,"Capital souscrit appelé, versé",10113,equity,l10n_dz_pcg_chart_template,False
pcg_1012,Fonds de dotation,1012,equity,l10n_dz_pcg_chart_template,False
pcg_1013,Fonds d'exploitation,1013,equity,l10n_dz_pcg_chart_template,False
pcg_1018,Autres fonds propres,1018,equity,l10n_dz_pcg_chart_template,False
pcg_1031,Prime d’émission,1031,equity,l10n_dz_pcg_chart_template,False
pcg_1032,Prime de fusion,1032,equity,l10n_dz_pcg_chart_template,False
pcg_1033,Prime d’apports,1033,equity,l10n_dz_pcg_chart_template,False
pcg_1034,Prime de conversion d’obligations en actions,1034,equity,l10n_dz_pcg_chart_template,False
pcg_1035,Bons de souscription d’actions (BSA),1035,equity,l10n_dz_pcg_chart_template,False
pcg_104,Ecart d’évaluation,104,equity,l10n_dz_pcg_chart_template,False
pcg_1051,Ecart de réévaluation sur immobilisations corporelles,1051,equity,l10n_dz_pcg_chart_template,False
pcg_1059,Ecart de réévaluation rapporté au résultat de l’exercice,1059,equity,l10n_dz_pcg_chart_template,False
pcg_1061,Réserve légale,1061,equity,l10n_dz_pcg_chart_template,False
pcg_10621,Réserves réglementées : Bénéfice taxé au taux réduit,10621,equity,l10n_dz_pcg_chart_template,False
pcg_10622,Réserves réglementées : Plus value de cession à réinvestir,10622,equity,l10n_dz_pcg_chart_template,False
pcg_1063,Réserves statutaires ou contractuelles,1063,equity,l10n_dz_pcg_chart_template,False
pcg_1064,Réserves ordinaires,1064,equity,l10n_dz_pcg_chart_template,False
pcg_1065,Réserves Spéciales consécutive à l’octroi d’avantages,1065,equity,l10n_dz_pcg_chart_template,False
pcg_1066,Réserves facultatives,1066,equity,l10n_dz_pcg_chart_template,False
pcg_1068,Autres réserves,1068,equity,l10n_dz_pcg_chart_template,False
pcg_107,Écarts d'équivalence,107,equity,l10n_dz_pcg_chart_template,False
