"id","name","description","amount","amount_type","sequence","type_tax_use","repartition_line_ids/repartition_type","repartition_line_ids/document_type","repartition_line_ids/account_id"
"tva_acq_normale19","TVA (achat) 19,0%","ACH-19.0","19.0","percent","9","purchase","base","invoice",""
"","","","","","","","tax","invoice","pcg_44566"
"","","","","","","","base","refund",""
"","","","","","","","tax","refund","pcg_44566"
"tva_normale19","TVA (vente) 19,0%","19.0","19.0","percent","9","sale","base","invoice",""
"","","","","","","","tax","invoice","pcg_44571"
"","","","","","","","base","refund",""
"","","","","","","","tax","refund","pcg_44571"
"tva_acq_specifique9","TVA (achat) 9,0%","ACH-9.0","9.0","percent","10","purchase","base","invoice",""
"","","","","","","","tax","invoice","pcg_44566"
"","","","","","","","base","refund",""
"","","","","","","","tax","refund","pcg_44566"
"tva_specifique9","TVA (vente) 9,0%","9.0","9.0","percent","10","sale","base","invoice",""
"","","","","","","","tax","invoice","pcg_44571"
"","","","","","","","base","refund",""
"","","","","","","","tax","refund","pcg_44571"
"tva_imm_normale19","TVA immobilisation (achat) 19,0%","IMMO-19.0","19.0","percent","10","purchase","base","invoice",""
"","","","","","","","tax","invoice","pcg_44562"
"","","","","","","","base","refund",""
"","","","","","","","tax","refund","pcg_44562"
"tva_imm_specifique9","TVA immobilisation (achat) 9,0%","IMMO-9.0","9.0","percent","10","purchase","base","invoice",""
"","","","","","","","tax","invoice","pcg_44562"
"","","","","","","","base","refund",""
"","","","","","","","tax","refund","pcg_44562"
"tva_exo_0","TVA 0% EXO (achat)","ACHAT-0","0.0","percent","10","purchase","base","invoice",""
"","","","","","","","tax","invoice",""
"","","","","","","","base","refund",""
"","","","","","","","tax","refund",""
"tva_purchase_0","TVA 0% (achat)","ACHAT-0","0.0","percent","10","purchase","base","invoice",""
"","","","","","","","tax","invoice",""
"","","","","","","","base","refund",""
"","","","","","","","tax","refund",""
"tva_0","TVA 0% (vente)","EXO-0","0.0","percent","10","sale","base","invoice",""
"","","","","","","","tax","invoice",""
"","","","","","","","base","refund",""
"","","","","","","","tax","refund",""
"tva_export_0","TVA 0% export (vente)","EXPORT-0","0.0","percent","10","sale","base","invoice",""
"","","","","","","","tax","invoice",""
"","","","","","","","base","refund",""
"","","","","","","","tax","refund",""
"tva_import_0","TVA 0% import (achat)","IMPORT-0","0.0","percent","10","purchase","base","invoice",""
"","","","","","","","tax","invoice",""
"","","","","","","","base","refund",""
"","","","","","","","tax","refund",""
