"id","country_id:id","name","code"
state_ec_1,base.ec,"Azuay","EC-A"
state_ec_2,base.ec,"Bolivar","EC-B"
state_ec_3,base.ec,"Cañar","EC-F"
state_ec_4,base.ec,"Carchi","EC-C"
state_ec_5,base.ec,"Cotopaxi","EC-X"
state_ec_6,base.ec,"Chimborazo","EC-H"
state_ec_7,base.ec,"El Oro","EC-O"
state_ec_8,base.ec,"Esmeraldas","EC-E"
state_ec_9,base.ec,"Guayas","EC-G"
state_ec_10,base.ec,"Imbabura","EC-I"
state_ec_11,base.ec,"Loja","EC-L"
state_ec_12,base.ec,"Los Ríos","EC-R"
state_ec_13,base.ec,"Manabí","EC-M"
state_ec_14,base.ec,"Morona Santiago","EC-S"
state_ec_15,base.ec,"Napo","EC-N"
state_ec_16,base.ec,"Pastaza","EC-Y"
state_ec_17,base.ec,"Pichincha","EC-P"
state_ec_18,base.ec,"Tungurahua","EC-T"
state_ec_19,base.ec,"Zamora Chinchipe","EC-Z"
state_ec_20,base.ec,"Galápagos","EC-W"
state_ec_21,base.ec,"Sucumbios","EC-U"
state_ec_22,base.ec,"Orellana","EC-D"
state_ec_23,base.ec,"Santo Domingo de los Tsáchilas","EC-SD"
state_ec_24,base.ec,"Santa Elena","EC-SE"
