id,name,code,account_type,chart_template_id/id,tag_ids/id,reconcile
l10n_ee_1000,Cash Accounts,1000,asset_cash,l10n_ee.l10nee_chart_template,,False
l10n_ee_1001,Bank Accounts,1001,asset_cash,l10n_ee.l10nee_chart_template,,False
l10n_ee_1008,Transfer Accounts,1008,asset_current,l10n_ee.l10nee_chart_template,,True
l10n_ee_1009,Bank Suspense Account,1009,asset_current,l10n_ee.l10nee_chart_template,,False
l10n_ee_1010,Short-Term Financial Investments,1010,asset_current,l10n_ee.l10nee_chart_template,,False
l10n_ee_1011,Depreciations on Short-Term Financial Investments,1011,asset_current,l10n_ee.l10nee_chart_template,,False
l10n_ee_10200,Accounts Receivable,10200,asset_receivable,l10n_ee.l10nee_chart_template,,True
l10n_ee_10201,Accounts Receivable (POS),10201,asset_receivable,l10n_ee.l10nee_chart_template,,True
l10n_ee_10202,Doubtful Receivables,10202,asset_receivable,l10n_ee.l10nee_chart_template,,True
l10n_ee_1021,Receivables from Related Parties,1021,asset_current,l10n_ee.l10nee_chart_template,,False
l10n_ee_1022,Prepaid and Deferred Taxes,1022,asset_current,l10n_ee.l10nee_chart_template,,False
l10n_ee_1023,Loan Receivables,1023,asset_current,l10n_ee.l10nee_chart_template,,False
l10n_ee_10240,Interest Receivable,10240,asset_current,l10n_ee.l10nee_chart_template,,False
l10n_ee_10241,Dividend Receivable,10241,asset_current,l10n_ee.l10nee_chart_template,,False
l10n_ee_10242,Accounts Receivable from Social Insurance Board,10242,asset_current,l10n_ee.l10nee_chart_template,,False
l10n_ee_10243,Netting Account,10243,asset_current,l10n_ee.l10nee_chart_template,,False
l10n_ee_10244,Other Short-Term Receivables,10244,asset_current,l10n_ee.l10nee_chart_template,,False
l10n_ee_1025,Prepayments,1025,asset_prepayments,l10n_ee.l10nee_chart_template,,False
l10n_ee_1030,Raw and Other Materials,1030,asset_current,l10n_ee.l10nee_chart_template,,False
l10n_ee_1031,Work in Progress,1031,asset_current,l10n_ee.l10nee_chart_template,,False
l10n_ee_10320,Finished Goods from Agricultural Production,10320,asset_current,l10n_ee.l10nee_chart_template,,False
l10n_ee_10321,Other Finished Goods,10321,asset_current,l10n_ee.l10nee_chart_template,,False
l10n_ee_1033,Goods for Resale,1033,asset_current,l10n_ee.l10nee_chart_template,,False
l10n_ee_1034,Prepayments to Suppliers,1034,asset_current,l10n_ee.l10nee_chart_template,,False
l10n_ee_1040,Biological Assets,1040,asset_current,l10n_ee.l10nee_chart_template,,False
l10n_ee_1100,Shares and Participations in Subsidiaries,1100,asset_non_current,l10n_ee.l10nee_chart_template,,False
l10n_ee_1101,Shares and Participations in Affiliates,1101,asset_non_current,l10n_ee.l10nee_chart_template,,False
l10n_ee_1110,"Other Shares, Stocks and Bonds",1110,asset_non_current,l10n_ee.l10nee_chart_template,,False
l10n_ee_1111,Other Long-Term Financial Investments,1111,asset_non_current,l10n_ee.l10nee_chart_template,,False
l10n_ee_1120,Long-Term Trade Receivables,1120,asset_non_current,l10n_ee.l10nee_chart_template,,False
l10n_ee_1121,Long-Term Receivables from Related Parties,1121,asset_non_current,l10n_ee.l10nee_chart_template,,False
l10n_ee_1122,Long-Term Prepaid and Deferred Taxes,1122,asset_non_current,l10n_ee.l10nee_chart_template,,False
l10n_ee_1123,Long-Term Loan Receivables,1123,asset_non_current,l10n_ee.l10nee_chart_template,,False
l10n_ee_1124,Other Long-Term Receivables,1124,asset_non_current,l10n_ee.l10nee_chart_template,,False
l10n_ee_11250,Constructions in Progress,11250,asset_non_current,l10n_ee.l10nee_chart_template,,False
l10n_ee_11251,Prepayments for Non-Current Assets,11251,asset_non_current,l10n_ee.l10nee_chart_template,,False
l10n_ee_11300,Investment Properties,11300,asset_fixed,l10n_ee.l10nee_chart_template,,False
l10n_ee_11301,Depreciations on Investment Properties,11301,asset_fixed,l10n_ee.l10nee_chart_template,,False
