"id","name","active","type_tax_use","amount","amount_type","description","invoice_label","l10n_eg_eta_code","tax_group_id","repartition_line_ids/factor_percent","repartition_line_ids/repartition_type","repartition_line_ids/document_type","repartition_line_ids/tag_ids","repartition_line_ids/account_id","repartition_line_ids/use_in_tax_closing","description@ar_001","price_include_override","fiscal_position_ids","tax_exigibility","is_withholding_tax_on_payment","cash_basis_transition_account_id"
"eg_standard_sale_14","14%","","sale","14.0","percent","","14%","t1_v009","eg_tax_vat","","base","invoice","1b","","","قيمة مضافة %14","","account_fiscal_position_egypt","on_invoice","",""
"","","","","","","","","","","","tax","invoice","1t","egy_account_201017","","","","","","",""
"","","","","","","","","","","","base","refund","1b","","","","","","","",""
"","","","","","","","","","","","tax","refund","1t","egy_account_201017","","","","","","",""
"eg_standard_purchase_14","14%","","purchase","14.0","percent","","14%","","eg_tax_vat","","base","invoice","6b","","","قيمة مضافة %14","","account_fiscal_position_egypt","on_invoice","",""
"","","","","","","","","","","","tax","invoice","6t","egy_account_104041","","","","","","",""
"","","","","","","","","","","","base","refund","6b","","","","","","","",""
"","","","","","","","","","","","tax","refund","6t","egy_account_104041","","","","","","",""
"eg_zero_sale_0","0%","","sale","0.0","percent","","0%","t1_v004","eg_tax_vat_0","","base","invoice","2b","","","صفرية %0","","account_fiscal_position_egypt,account_fiscal_position_non_egypt","on_invoice","",""
"","","","","","","","","","","","tax","invoice","","False","","","","","","",""
"","","","","","","","","","","","base","refund","2b","","","","","","","",""
"","","","","","","","","","","","tax","refund","","False","","","","","","",""
"eg_zero_purchase_0","0%","","purchase","0.0","percent","","0%","","eg_tax_vat_0","","base","invoice","7b","","","صفرية %0","","account_fiscal_position_egypt,account_fiscal_position_non_egypt","on_invoice","",""
"","","","","","","","","","","","tax","invoice","","False","","","","","","",""
"","","","","","","","","","","","base","refund","7b","","","","","","","",""
"","","","","","","","","","","","tax","refund","","False","","","","","","",""
"eg_standard_sale_export","0% EX","False","sale","0.0","percent","Zero-rated exports","0% Export","","eg_tax_vat_0","","base","invoice","4b","","","قيمة مضافة %14","","account_fiscal_position_non_egypt","on_invoice","",""
"","","","","","","","","","","","tax","invoice","4t","egy_account_201017","","","","","","",""
"","","","","","","","","","","","base","refund","4b","","","","","","","",""
"","","","","","","","","","","","tax","refund","4t","egy_account_201017","","","","","","",""
"eg_standard_import","14% EX ONLY","","purchase","100.0","division","Import - Only VAT","14% Import","","eg_tax_group_import_vat","","base","invoice","","","","قيمة مضافة %14","tax_included","account_fiscal_position_egypt,account_fiscal_position_non_egypt","on_invoice","",""
"","","","","","","","","","","","tax","invoice","9t","egy_account_104041","","","","","","",""
"","","","","","","","","","","","base","refund","","","","","","","","",""
"","","","","","","","","","","","tax","refund","9t","egy_account_104041","","","","","","",""
"eg_standard_import_base","14% EX ONLY B","","purchase","0.0","division","Import - Only Base","14% Import - Base","","eg_tax_group_import_vat","","base","invoice","9b","","","قيمة مضافة %14","","account_fiscal_position_non_egypt","on_invoice","",""
"","","","","","","","","","","","tax","invoice","","","","","","","","",""
"","","","","","","","","","","","base","refund","9b","","","","","","","",""
"","","","","","","","","","","","tax","refund","","","","","","","","",""
"eg_exempt_sale","0% EXT","","sale","0.0","percent","","Exempt","t1_v003","eg_tax_group_exempt","","base","invoice","3b","","","معفاة","","account_fiscal_position_egypt,account_fiscal_position_non_egypt","on_invoice","",""
"","","","","","","","","","","","tax","invoice","","False","","","","","","",""
"","","","","","","","","","","","base","refund","3b","","","","","","","",""
"","","","","","","","","","","","tax","refund","","False","","","","","","",""
"eg_exempt_purchase","0% EXT","","purchase","0.0","percent","","Exempt","","eg_tax_group_exempt","","base","invoice","8b","","","معفاة","","account_fiscal_position_egypt,account_fiscal_position_non_egypt","on_invoice","",""
"","","","","","","","","","","","tax","invoice","","False","","","","","","",""
"","","","","","","","","","","","base","refund","8b","","","","","","","",""
"","","","","","","","","","","","tax","refund","","False","","","","","","",""
"eg_withholding_contracting_deducted","1% WH C D","False","purchase","-1.0","percent","Deducted Withholding on Payment - Contracting and supplying","1% Withholding","","eg_tax_group_withholding_1","","base","invoice","1B_W_D","","","الاستقطاع الضريبي من الدفعات - المقاولات والتوريد","tax_excluded","account_fiscal_position_egypt","","True",""
"","","","","","","","","","","","tax","invoice","1T_W_D","egy_account_201020","False","","","","","",""
"","","","","","","","","","","","base","refund","1B_W_D","","","","","","","",""
"","","","","","","","","","","","tax","refund","1T_W_D","egy_account_201020","False","","","","","",""
"eg_withholding_contracting_gross","1% WH C G","","purchase","1.0","division","Gross Withholding on Payment - Contracting and supplying","1% Withholding","","eg_tax_group_withholding_1","","base","invoice","1B_W_G","","","إجمالي الاستقطاع الضريبي من الدفعات - المقاولات والتوريد","","account_fiscal_position_egypt","on_payment","","egy_account_201028"
"","","","","","","","","","","100","tax","invoice","","egy_account_400076","False","","","","","",""
"","","","","","","","","","","-100","tax","invoice","1T_W_G","egy_account_201020","False","","","","","",""
"","","","","","","","","","","","base","refund","1B_W_G","","","","","","","",""
"","","","","","","","","","","100","tax","refund","","egy_account_400076","False","","","","","",""
"","","","","","","","","","","-100","tax","refund","1T_W_G","egy_account_201020","False","","","","","",""
"eg_withholding_services_deducted","3% WH S D","False","purchase","-3.0","percent","Deducted Withholding on Payment - All types of services","3% Withholding","","eg_tax_group_withholding_3","","base","invoice","2B_W_D","","","الاستقطاع الضريبي من الدفعات - جميع أنواع الخدمات","tax_excluded","account_fiscal_position_egypt","","True",""
"","","","","","","","","","","","tax","invoice","2T_W_D","egy_account_201020","False","","","","","",""
"","","","","","","","","","","","base","refund","2B_W_D","","","","","","","",""
"","","","","","","","","","","","tax","refund","2T_W_D","egy_account_201020","False","","","","","",""
"eg_withholding_services_gross","3% WH S G","","purchase","3.0","division","Gross Withholding on Payment - All types of services","3% Withholding","","eg_tax_group_withholding_3","","base","invoice","2B_W_G","","","إجمالي الاستقطاع الضريبي من الدفعات - جميع أنواع الخدمات","","account_fiscal_position_egypt","on_payment","","egy_account_201028"
"","","","","","","","","","","100","tax","invoice","","egy_account_400076","False","","","","","",""
"","","","","","","","","","","-100","tax","invoice","2T_W_G","egy_account_201020","False","","","","","",""
"","","","","","","","","","","","base","refund","2B_W_G","","","","","","","",""
"","","","","","","","","","","100","tax","refund","","egy_account_400076","False","","","","","",""
"","","","","","","","","","","-100","tax","refund","2T_W_G","egy_account_201020","False","","","","","",""
"eg_withholding_all_types_deducted","5% WH CB D","False","purchase","-5.0","percent","Deducted Withholding on Payment - Commissions","5% Withholding","","eg_tax_group_withholding_5","","base","invoice","3B_W_D","","","الاستقطاع الضريبي من الدفعات - العمولات","tax_excluded","account_fiscal_position_egypt","","True",""
"","","","","","","","","","","","tax","invoice","3T_W_D","egy_account_201020","False","","","","","",""
"","","","","","","","","","","","base","refund","3B_W_D","","","","","","","",""
"","","","","","","","","","","","tax","refund","3T_W_D","egy_account_201020","False","","","","","",""
"eg_withholding_all_types_gross","5% WH CB G","","purchase","5.0","division","Gross Withholding on Payment - Commissions","5% Withholding","","eg_tax_group_withholding_5","","base","invoice","3B_W_G","","","إجمالي الاستقطاع الضريبي من الدفعات - العمولات","","account_fiscal_position_egypt","on_payment","","egy_account_201028"
"","","","","","","","","","","100","tax","invoice","","egy_account_400076","False","","","","","",""
"","","","","","","","","","","-100","tax","invoice","3T_W_G","egy_account_201020","False","","","","","",""
"","","","","","","","","","","","base","refund","3B_W_G","","","","","","","",""
"","","","","","","","","","","100","tax","refund","","egy_account_400076","False","","","","","",""
"","","","","","","","","","","-100","tax","refund","3T_W_G","egy_account_201020","False","","","","","",""
