"id","name","code","user_type_id/id","chart_template_id/id","reconcile"
"account_coop_pymes_100","Capital social cooperativo: aportaciones obligatorias",100,"account.data_account_type_non_current_liabilities","l10n_es.account_chart_template_coop_pymes","False"
"account_coop_pymes_1001","Capital social cooperativo: aportaciones voluntarias",1001,"account.data_account_type_non_current_liabilities","l10n_es.account_chart_template_coop_pymes","False"
"account_coop_pymes_10020","Socios colaboradores",10020,"account.data_account_type_non_current_liabilities","l10n_es.account_chart_template_coop_pymes","False"
"account_coop_pymes_10021","Asociados o aheridos",10021,"account.data_account_type_non_current_liabilities","l10n_es.account_chart_template_coop_pymes","False"
"account_coop_pymes_11450","Fondo por incorporacion de beneficios",11450,"account.data_account_type_non_current_liabilities","l10n_es.account_chart_template_coop_pymes","False"
"account_coop_pymes_11451","Fondo por revalorización de activos",11451,"account.data_account_type_non_current_liabilities","l10n_es.account_chart_template_coop_pymes","False"
"account_coop_pymes_1030","Socios por desembolsos no exigidos, capital social",1030,"account.data_account_type_non_current_liabilities","l10n_es.account_chart_template_coop_pymes","False"
"account_coop_pymes_1034","Socios por desembolsos no exigidos, capital pendiente de inscripción",1034,"account.data_account_type_non_current_liabilities","l10n_es.account_chart_template_coop_pymes","False"
"account_coop_pymes_1040","Socios por aportaciones no dinerarias pendientes, capital social",1040,"account.data_account_type_non_current_liabilities","l10n_es.account_chart_template_coop_pymes","False"
"account_coop_pymes_1044","Socios por aportaciones no dinerarias pendientes, capital pendiente de inscripción",1044,"account.data_account_type_non_current_liabilities","l10n_es.account_chart_template_coop_pymes","False"
"account_coop_pymes_1070","Fondo de participaciones con vencimiento en la liquidacion",1070,"account.data_account_type_non_current_liabilities","l10n_es.account_chart_template_coop_pymes","False"
"account_coop_pymes_1071","Otros fondos subordinados con vencimientos en la liquidacion",1071,"account.data_account_type_non_current_liabilities","l10n_es.account_chart_template_coop_pymes","False"
"account_coop_pymes_112","Fondo de reserva obligatorio",112,"account.data_account_type_non_current_liabilities","l10n_es.account_chart_template_coop_pymes","False"
"account_coop_pymes_113","Fondo de reserva voluntario",113,"account.data_account_type_non_current_liabilities","l10n_es.account_chart_template_coop_pymes","False"
"account_coop_pymes_1181","Aportaciones de socios en cooperativas",1181,"account.data_account_type_non_current_liabilities","l10n_es.account_chart_template_coop_pymes","False"
"account_coop_pymes_120","Remanente",120,"account.data_account_type_non_current_liabilities","l10n_es.account_chart_template_coop_pymes","False"
"account_coop_pymes_121","Resultados negativos de ejercicios anteriores",121,"account.data_account_type_non_current_liabilities","l10n_es.account_chart_template_coop_pymes","False"
"account_coop_pymes_129","Resultado del ejercicio",129,"account.data_unaffected_earnings","l10n_es.account_chart_template_coop_pymes","False"
"account_coop_pymes_130","Subvenciones oficiales de capital",130,"account.data_account_type_non_current_liabilities","l10n_es.account_chart_template_coop_pymes","False"
"account_coop_pymes_132","Otras subvenciones, donaciones y legados",132,"account.data_account_type_non_current_liabilities","l10n_es.account_chart_template_coop_pymes","False"
"account_coop_pymes_148","Fondo de Educación, Formación y Promoción a largo plazo",148,"account.data_account_type_non_current_liabilities","l10n_es.account_chart_template_coop_pymes","False"
"account_coop_pymes_1500","Capital Social Cooperativo a largo plazo considerado pasivo financiero aportaciones obligatorias",1500,"account.data_account_type_non_current_liabilities","l10n_es.account_chart_template_coop_pymes","False"
"account_coop_pymes_1501","Capital Social Cooperativo a largo plazo considerado pasivo financiero aportaciones voluntarias",1501,"account.data_account_type_non_current_liabilities","l10n_es.account_chart_template_coop_pymes","False"
