"id","name","name@es","code","account_type","reconcile"
"account_common_250","Non-current investments in equity instruments","Inversiones financieras en instrumentos de patrimonio","Inversions financeres a llarg termini en instruments de patrimoni","250","asset_fixed","False"
"account_common_251","Non-current debt securities","Valores representativos de deuda","Valors representatius de deute a llarg termini","251","asset_fixed","False"
"account_common_252","Non-current loans","Créditos","Crèdits a llarg termini","252","asset_fixed","False"
"account_common_253","Non-current loans for disposal of fixed assets","Créditos por enajenación de inmovilizado","Crèdits a llarg termini per alienació d’immobilitzat","253","asset_fixed","False"
"account_common_254","Non-current loans to personnel","Créditos al personal","Crèdits a llarg termini al personal","254","asset_fixed","False"
"account_common_258","Non-current deposits","Imposiciones","Imposicions a llarg termini","258","asset_fixed","False"
"account_common_259","Non-current uncalled equity holdings","Desembolsos pendientes sobre participaciones en el patrimonio neto","Desemborsaments pendents sobre participacions en el patrimoni net a llarg termini","259","asset_fixed","False"
"account_common_260","Non-current guarantees extended","Fianzas constituidas","Fiances constituïdes a llarg termini","260","asset_fixed","False"
"account_common_265","Non-current deposits extended","Depósitos constituidos","Dipòsits constituïts a llarg termini","265","asset_fixed","False"
"account_common_canary_47071","Public treasury, debtor for IGIC transitional regime - current","Hacienda Pública, deudora por IGIC régimen transitorio circulante","47071","asset_current","False"
"account_common_canary_47072","Public treasury, debtor for IGIC transitional regime - investment","Hacienda Pública, deudora por IGIC régimen transitorio inversión","47072","asset_current","False"
"account_common_canary_4727","Public treasury, IGIC paid","Hacienda Pública. IGIC Soportado","4727","asset_current","False"
"account_common_canary_4777","Public treasury, IGIC charged","Hacienda Pública. IGIC Repercutido","4777","liability_current","False"
"account_common_canary_6343","Negative adjustments in IGIC for current","Ajustes negativos en IGIC de circulante","6343","expense","False"
"account_common_canary_6344","Negative adjustments in IGIC for investment","Ajustes negativos en IGIC de inversión","6344","expense","False"
"account_common_canary_6393","Positive adjustments in IGIC for current","Ajustes positivos en IGIC de circulante","6393","expense","False"
"account_common_canary_6394","Positive adjustments in IGIC for investment","Ajustes positivos en IGIC de inversión","6394","expense","False"
