"id","name","name@es","name@ca","code","account_type","reconcile","tax_ids","description","description@es","description@ca"
"account_common_mainland_100","Share capital","Capital social","Capital social","100","equity","False","","","",""
"account_common_mainland_1030","Uncalled capital","Socios por desembolsos no exigidos, capital social","Socis per desemborsaments no exigits, capital social","1030","equity","False","","","",""
"account_common_mainland_1034","Uncalled capital pending registration","Socios por desembolsos no exigidos, capital pendiente de inscripción","Socis per desemborsaments no exigits, capital pendent d’inscripció","1034","equity","False","","","",""
"account_common_mainland_1040","Uncalled non-monetary contributions, capital","Socios por aportaciones no dinerarias pendientes, capital social","Socis per aportacions no dineràries pendents, capital social","1040","equity","False","","","",""
"account_common_mainland_1044","Uncalled non-monetary contributions, capital pending registration","Socios por aportaciones no dinerarias pendientes, capital pendiente de inscripción","Socis per aportacions no dineràries pendents, capital pendent d’inscripció","1044","equity","False","","","",""
"account_common_mainland_112","Legal reserve","Reserva legal","Reserva legal","112","equity","False","","","",""
"account_common_mainland_113","Voluntary reserves","Reservas voluntarias","Reserves voluntàries","113","equity","False","","","",""
"account_common_mainland_120","Retained earnings","Remanente","Romanent","120","equity","False","","","",""
"account_common_mainland_121","Prior period's losses","Resultados negativos de ejercicios anteriores","Resultats negatius d’exercicis anteriors","121","equity","False","","","",""
"account_common_mainland_129","Profit/loss for the period","Resultado del ejercicio","Resultat de l’exercici","129","equity_unaffected","False","","","",""
"account_common_mainland_130","Government capital grants","Subvenciones oficiales de capital","Subvencions oficials de capital","130","equity","False","","","",""
"account_common_mainland_132","Other grants, donations and bequests","Otras subvenciones, donaciones y legados","Altres subvencions, donacions i llegats","132","equity","False","","","",""
"account_common_mainland_150","Non-current liability-classified shares or equity holdings","Acciones o participaciones consideradas como pasivos financieros","Accions o participacions a llarg termini considerades passius financers","150","liability_non_current","False","","","",""
"account_common_mainland_171","Non-current payables","Deudas","Deutes a llarg termini","171","liability_non_current","False","","","",""
"account_common_200","","","","","","","account_tax_template_p_iva21_bi","","",""
"account_common_201","","","","","","","account_tax_template_p_iva21_bi","","",""
"account_common_202","","","","","","","account_tax_template_p_iva21_bi","","",""
"account_common_203","","","","","","","account_tax_template_p_iva21_bi","","",""
"account_common_205","","","","","","","account_tax_template_p_iva21_bi","","",""
"account_common_206","","","","","","","account_tax_template_p_iva21_bi","","",""
"account_common_209","","","","","","","account_tax_template_p_iva21_bi","","",""
"account_common_210","","","","","","","account_tax_template_p_iva21_bi","","",""
"account_common_211","","","","","","","account_tax_template_p_iva21_bi","","",""
"account_common_212","","","","","","","account_tax_template_p_iva21_bi","","",""
"account_common_213","","","","","","","account_tax_template_p_iva21_bi","","",""
"account_common_214","","","","","","","account_tax_template_p_iva21_bi","","",""
"account_common_215","","","","","","","account_tax_template_p_iva21_bi","","",""
"account_common_216","","","","","","","account_tax_template_p_iva21_bi","","",""
"account_common_217","","","","","","","account_tax_template_p_iva21_bi","","",""
"account_common_218","","","","","","","account_tax_template_p_iva21_bi","","",""
"account_common_219","","","","","","","account_tax_template_p_iva21_bi","","",""
"account_common_220","","","","","","","account_tax_template_p_iva21_bi","","",""
"account_common_221","","","","","","","account_tax_template_p_iva21_bi","","",""
"account_common_230","","","","","","","account_tax_template_p_iva21_bi","","",""
"account_common_231","","","","","","","account_tax_template_p_iva21_bi","","",""
"account_common_232","","","","","","","account_tax_template_p_iva21_bi","","",""
"account_common_233","","","","","","","account_tax_template_p_iva21_bi","","",""
"account_common_237","","","","","","","account_tax_template_p_iva21_bi","","",""
"account_common_239","","","","","","","account_tax_template_p_iva21_bi","","",""
"account_common_mainland_2403","Non-current investments in group companies","Participaciones en empresas del grupo","Participacions a llarg termini en empreses del grup","2403","asset_fixed","False","","","",""
"account_common_mainland_2404","Non-current investments in associates","Participaciones en empresas asociadas","Participacions a llarg termini en empreses associades","2404","asset_fixed","False","","","",""
"account_common_mainland_2935","Impairment of non-current investments in other related parties","Deterioro de valor de participaciones a largo plazo en otras partes vinculadas","Deteriorament de valor de participacions a llarg termini en altres parts vinculades","2935","asset_fixed","False","","","",""
"account_common_mainland_2493","Non-current uncalled equity holdings in group companies","Desembolsos pendientes sobre participaciones en empresas del grupo","Desemborsaments pendents sobre participacions a llarg termini en empreses del grup","2493","asset_fixed","False","","","",""
"account_common_mainland_2494","Non-current uncalled equity holdings in associates","Desembolsos pendientes sobre participaciones en empresas asociadas","Desemborsaments pendents sobre participacions a llarg termini en empreses associades","2494","asset_fixed","False","","","",""
"account_common_mainland_255","Long-term financial derivative assets","Activos financieros derivados a largo plazo","Actius derivats financers a llarg termini","255","asset_fixed","False","","Long-term financial derivative assets","Activos financieros derivados a largo plazo","Actius derivats financers a llarg termini"
"account_common_mainland_490","Impairment of trade receivables","Deterioro de valor de créditos por operaciones comerciales","Deteriorament de valor de crèdits per operacions comercials","490","liability_current","False","","","",""
"account_common_mainland_502","Current liability-classified shares or equity holdings","Acciones o participaciones a corto plazo consideradas como pasivos financieros","Accions o participacions a curt termini considerades passius financers","502","liability_current","False","","","",""
"account_common_mainland_521","Current payables","Deudas a corto plazo","Deutes a curt termini","521","liability_current","False","","","",""
"account_common_mainland_526","Dividend payable","Dividendo activo a pagar","Dividend actiu a pagar","526","liability_payable","True","","","",""
"account_common_mainland_551","Current account with equity holders and directors","Cuenta corriente con socios y administradores","Compte corrent amb socis i administradors","551","asset_current","False","","","",""
"account_common_mainland_5585","Receivable on called-up liability-classified shares or equity holdings","Socios por desembolsos exigidos sobre acciones o participaciones consideradas como pasivos financieros","Socis per desemborsaments exigits sobre accions o participacions considerades passius financers","5585","liability_current","False","","","",""
