"id","name","name@es","name@ca","code","account_type","reconcile"
"account_public_company_000","Current financial year budget","Presupuesto ejercicio corriente","Pressupost exercici corrent","000","off_balance","False"
"account_public_company_001","Expenditure budget: initial credits","Presupuesto de gastos: créditos iniciales","Pressupost de despeses: crèdits inicials","001","off_balance","False"
"account_public_company_0020","Extraordinary credits","Créditos extraordinarios","Crèdits extraordinaris","0020","off_balance","False"
"account_public_company_0021","Credit supplement","Suplmento de crédito","Suplement de crèdit","0021","off_balance","False"
"account_public_company_0022","Credit extensions","Ampliaciones de crédito","Ampliacions de crèdit","0022","off_balance","False"
"account_public_company_0023","Credit transfers","Transferencias de crédito","Transferències de crèdit","0023","off_balance","False"
"account_public_company_0024","Incorporation of remaining credits","Incorporaciones de remanentes de crédito","Incorporacions de romanents de crèdit","0024","off_balance","False"
"account_public_company_0025","Credits generated by income","Créditos generados por ingresos","Crèdits generats per ingressos","0025","off_balance","False"
"account_public_company_0027","Adjustments for budget extension","Ajustes por prórroga presupuestaria","Ajustos per pròrroga pressupostària","0027","off_balance","False"
"account_public_company_0028","Cancellations and rectifications","Bajas por anulación y rectificación","Baixes per anul·lació i rectificació","0028","off_balance","False"
"account_public_company_0030","Available credits","Créditos disponibles","Crèdits disponibles","0030","off_balance","False"
"account_public_company_0031","Credits retained for spending","Créditos retenidos para gastar","Crèdits retinguts per gastar","0031","off_balance","False"
"account_public_company_0032","Credits retained for transfers","Créditos retenidos para transferencias","Crèdits retinguts per transferències","0032","off_balance","False"
"account_public_company_0033","Unavailable credits","Créditos no disponibles","Crèdits no disponibles","0033","off_balance","False"
"account_public_company_004","Expenditure budget: authorized expenses","Presupuesto de gastos: gastos autorizados","Pressupost de despeses: despeses autoritzades","004","off_balance","False"
"account_public_company_005","Expenditure budget: committed expenses","Presupuesto de gastos: gastos comprometidos","Pressupost de despeses: despeses compromeses","005","off_balance","False"
"account_public_company_006","Revenue budget: initial forecasts","Presupuesto de ingresos: previsiones iniciales","Pressupost d'ingressos: previsions inicials","006","off_balance","False"
"account_public_company_007","Revenue budget: modification of forecasts","Presupuesto de ingresos: modificación de previsiones","Pressupost d'ingressos: modificació de previsions","007","off_balance","False"
"account_public_company_008","Revenue budget: definitive forecasts","Presupuesto de ingresos: previsiones definitivas","Pressupost d'ingressos: previsions definitives","008","off_balance","False"
"account_public_company_030","Treasury advances granted","Anticipos de Tesorería concedidos","Bestretes de Tresoreria concedides","030","off_balance","False"
"account_public_company_031","Anticipated credits","Créditos anticipados","Crèdits anticipats","031","off_balance","False"
"account_public_company_034","Authorized expenses","Gastos autorizados","Despeses autoritzades","034","off_balance","False"
"account_public_company_035","Committed expenses","Gastos comprometidos","Despeses compromeses","035","off_balance","False"
"account_public_company_1000","Monetary equity contribution","Aportación patrimonial dineraria","Aportació patrimonial dinerària","1000","equity","False"
"account_public_company_1001","Contribution of goods and rights","Aportación de bienes y derechos","Aportació de béns i drets","1001","equity","False"
"account_public_company_1002","Assumption and forgiveness of financial liabilities","Asunción y condonación de pasivos financieros","Assumpció i condonació de passius financers","1002","equity","False"
"account_public_company_1003","Other contributions from the owner entity or entities","Otras aportaciones de la entidad o entidades propietarias","Altres aportacions de l'entitat o entitats propietàries","1003","equity","False"
"account_public_company_1004","Return of goods and rights","Devolución de bienes y derechos","Devolució de béns i drets","1004","equity","False"
