"id","sequence","name","name@es","auto_apply","vat_required","state_ids","country_id"
"fp_canary_1","1","Canary Islands","Régimen Islas Canarias","1","0","base.state_es_tf,base.state_es_gc","base.es"
"fp_nacional_canary_ns","2","National Regime Not subject","Régimen Nacional No sujeto","","","","base.es"
"fp_extra_canary","4","Non-EU Regime Canary Islands","Régimen Extracomunitario Islas Canarias","1","","",""
"fp_recargo_canary","","Canary Islands Equivalence Surcharge (Import)","Recargo de Equivalencia Islas Canarias (Importación)","","","",""
"fp_irpf9_canary","","Personal Income Tax Withholding 9% Canary Islands","Retención IRPF 9% Islas Canarias","","","",""
"fp_irpf15_canary","","Personal Income Tax Withholding 15% Canary Islands","Retención IRPF 15% Islas Canarias","","","",""
"fp_irpf19a_canary","","Retention 19% leases Canary Islands","Retención 19% arrendamientos Islas Canarias","","","",""
"fp_ispn_canary","","Reverse Charge Canary Islands","Inversion del Sujeto Pasivo Islas Canarias","","","",""
"fp_retailer_canary","","Canary Islands Retail Regime","Régimen Minoristas Islas Canarias","","","",""
"fp_dua","","DUA","DUA","","","",""
