"id","l10n_es_edi_facturae_tax_type"
"account_tax_template_igic_r_7","03"
"account_tax_template_igic_r_0","03"
"account_tax_template_igic_r_3","03"
"account_tax_template_igic_r_5","03"
"account_tax_template_igic_r_9_5","03"
"account_tax_template_igic_r_15","03"
"account_tax_template_igic_r_20","03"
"account_tax_template_igic_s_ISP0","03"
"account_tax_template_igic_ex_0","03"
"account_tax_template_igic_re_ex","03"
"account_tax_template_igic_cmino","03"
"account_tax_template_igic_sop_cmino","03"
"account_tax_template_igic_sop_3_cmino","03"
"account_tax_template_igic_sop_7_cmino","03"
"account_tax_template_igic_sop_9_5_cmino","03"
"account_tax_template_igic_sop_15_cmino","03"
"account_tax_template_igic_sop_20_cmino","03"
"account_tax_template_s_igic_ns","03"
"account_tax_template_igic_p_ex","03"
"account_tax_template_igic_sop_0","03"
"account_tax_template_igic_sop_3","03"
"account_tax_template_igic_sop_5","03"
"account_tax_template_igic_sop_7","03"
"account_tax_template_igic_sop_9_5","03"
"account_tax_template_igic_sop_15","03"
"account_tax_template_igic_sop_20","03"
"account_tax_template_igic_sop_0_inv","03"
"account_tax_template_igic_sop_3_inv","03"
"account_tax_template_igic_sop_5_inv","03"
"account_tax_template_igic_sop_7_inv","03"
"account_tax_template_igic_sop_9_5_inv","03"
"account_tax_template_igic_sop_15_inv","03"
"account_tax_template_igic_sop_20_inv","03"
"account_tax_template_igic_sop_i_0","03"
"account_tax_template_igic_sop_i_3","03"
"account_tax_template_igic_sop_i_7","03"
"account_tax_template_igic_sop_i_9_5","03"
"account_tax_template_igic_sop_i_15","03"
"account_tax_template_igic_sop_i_20","03"
"account_tax_template_igic_sop_i_0_inv","03"
"account_tax_template_igic_sop_i_3_inv","03"
"account_tax_template_igic_sop_i_7_inv","03"
"account_tax_template_igic_sop_i_9_5_inv","03"
"account_tax_template_igic_sop_i_15_inv","03"
"account_tax_template_igic_sop_i_20_inv","03"
"account_tax_template_igic_ISP0","03"
"account_tax_template_igic_ISP3","03"
"account_tax_template_igic_ISP7","03"
"account_tax_template_igic_ISP95","03"
"account_tax_template_igic_ISP15","03"
"account_tax_template_igic_ISP20","03"
"account_tax_template_igic_p_re0","03"
"account_tax_template_igic_p_re03","03"
"account_tax_template_igic_p_re07","03"
"account_tax_template_igic_p_re095","03"
"account_tax_template_igic_p_re15","03"
"account_tax_template_igic_p_re20","03"
"account_tax_template_p_igic_ns","03"
"account_tax_template_igic_sop_0_s","03"
"account_tax_template_igic_sop_3_s","03"
"account_tax_template_igic_sop_5_s","03"
"account_tax_template_igic_sop_7_s","03"
"account_tax_template_igic_sop_9_5_s","03"
"account_tax_template_igic_sop_15_s","03"
"account_tax_template_igic_sop_20_s","03"
"account_tax_template_igic_sop_i_3_group","08"
"account_tax_template_igic_sop_i_7_group","08"
"account_tax_template_igic_sop_i_9_5_group","08"
"account_tax_template_igic_sop_i_15_group","08"
"account_tax_template_igic_sop_i_20_group","08"
"account_tax_template_s_irpf19a","04"
"account_tax_template_p_irpf19a","04"
"account_tax_template_s_irpf195a","04"
"account_tax_template_p_irpf195a","04"
"account_tax_template_s_irpf20a","04"
"account_tax_template_p_irpf20a","04"
"account_tax_template_s_irpf21a","04"
"account_tax_template_p_irpf21a","04"
"account_tax_template_s_irpf21","04"
"account_tax_template_p_irpf21p","04"
"account_tax_template_p_irpf21t","04"
"account_tax_template_p_irpf21td","04"
"account_tax_template_p_irpf21te","04"
"account_tax_template_s_irpf20","04"
"account_tax_template_p_irpf20","04"
"account_tax_template_s_irpf24","04"
"account_tax_template_p_irpf24","04"
"account_tax_template_s_irpf24_rdc","04"
"account_tax_template_p_irpf24_rdc","04"
"account_tax_template_p_irpf35cya","04"
"account_tax_template_s_irpf15","04"
"account_tax_template_p_irpf15","04"
"account_tax_template_p_irpf15e","04"
"account_tax_template_s_irpf18","04"
"account_tax_template_p_irpf18","04"
"account_tax_template_s_irpf19","04"
"account_tax_template_p_irpf19","04"
"account_tax_template_p_irpf19ca","04"
"account_tax_template_p_irpf19cs","04"
"account_tax_template_s_irpf9","04"
"account_tax_template_p_irpf9","04"
"account_tax_template_s_irpf7","04"
"account_tax_template_p_irpf7","04"
"account_tax_template_p_irpf7e","04"
"account_tax_template_s_irpf2","04"
"account_tax_template_p_irpf2","04"
"account_tax_template_s_irpf1","04"
"account_tax_template_p_irpf1","04"
"account_tax_template_s_irpfnrue0","04"
"account_tax_template_p_irpfnrue0p","04"
"account_tax_template_s_irpfnrue19","04"
"account_tax_template_p_irpfnrue19p","04"
"account_tax_template_p_irpfnrnue0p","04"
"account_tax_template_s_irpfnrnue0","04"
"account_tax_template_s_irpfnrnue24","04"
"account_tax_template_p_irpfnrnue24p","04"
"account_tax_template_p_rp19","04"
"account_tax_template_p_rrD19","04"
