"id","l10n_es_edi_facturae_tax_type"
"account_tax_template_s_iva21b","01"
"account_tax_template_p_iva4_bc","01"
"account_tax_template_p_iva4_ibc","01"
"account_tax_template_p_iva4_ibc_group","01"
"account_tax_template_p_iva4_sc","01"
"account_tax_template_p_iva4_sp_ex","01"
"account_tax_template_p_iva4_bi","01"
"account_tax_template_p_iva5_bi","01"
"account_tax_template_p_iva5_bc","01"
"account_tax_template_p_iva5_sc","01"
"account_tax_template_p_iva5_ibi","01"
"account_tax_template_p_iva7-5_bc","01"
"account_tax_template_p_iva7-5_sc","01"
"account_tax_template_p_iva7-5_ibc","01"
"account_tax_template_p_iva7-5_isc","01"
"account_tax_template_p_iva5_ibc","01"
"account_tax_template_p_iva5_isc","01"
"account_tax_template_p_iva2_ibc","01"
"account_tax_template_p_iva2_isc","01"
"account_tax_template_p_iva4_ibi","01"
"account_tax_template_p_iva10_bc","01"
"account_tax_template_p_iva10_ibc","01"
"account_tax_template_p_iva10_ibc_group","01"
"account_tax_template_p_iva10_sc","01"
"account_tax_template_p_iva10_sp_ex","01"
"account_tax_template_p_iva10_bi","01"
"account_tax_template_p_iva10_ibi","01"
"account_tax_template_p_iva10_nd","01"
"account_tax_template_p_iva7-5_nd","01"
"account_tax_template_p_iva5_nd","01"
"account_tax_template_p_iva4_nd","01"
"account_tax_template_p_iva2_nd","01"
"account_tax_template_s_iva0s","01"
"account_tax_template_s_iva0b","01"
"account_tax_template_s_iva2s","01"
"account_tax_template_s_iva2b","01"
"account_tax_template_p_iva21_bc","01"
"account_tax_template_p_iva21_ibc","01"
"account_tax_template_p_iva21_ibc_group","01"
"account_tax_template_p_iva21_sc","01"
"account_tax_template_p_iva21_sp_ex","01"
"account_tax_template_p_iva21_bi","01"
"account_tax_template_p_iva21_ibi","01"
"account_tax_template_s_iva4b","01"
"account_tax_template_s_iva4s","01"
"account_tax_template_s_iva5s","01"
"account_tax_template_s_iva5b","01"
"account_tax_template_s_iva7-5s","01"
"account_tax_template_s_iva7-5b","01"
"account_tax_template_s_iva_e","01"
"account_tax_template_s_iva10b","01"
"account_tax_template_s_iva10s","01"
"account_tax_template_s_iva21s","01"
"account_tax_template_p_iva4_ic_bc","01"
"account_tax_template_p_iva4_sp_in","01"
"account_tax_template_p_iva4_ic_bi","01"
"account_tax_template_p_iva5_ic_bi","01"
"account_tax_template_p_iva10_ic_bc","01"
"account_tax_template_p_iva10_sp_in","01"
"account_tax_template_p_iva10_ic_bi","01"
"account_tax_template_p_iva7-5_ic_bc","01"
"account_tax_template_p_iva7-5_ic_sc","01"
"account_tax_template_p_iva5_ic_bc","01"
"account_tax_template_p_iva5_ic_sc","01"
"account_tax_template_p_iva2_ic_bc","01"
"account_tax_template_p_iva2_ic_sc","01"
"account_tax_template_p_iva21_ic_bc","01"
"account_tax_template_p_iva21_sp_in","01"
"account_tax_template_p_iva21_ic_bi","01"
"account_tax_template_s_iva0_sp_i","01"
"account_tax_template_p_iva0_ibc","01"
"account_tax_template_p_iva0_ic_bc","01"
"account_tax_template_p_iva0_ic_sc","01"
"account_tax_template_p_iva0_isc","01"
"account_tax_template_p_iva0_nd","01"
"account_tax_template_p_iva0_s_bc","01"
"account_tax_template_p_iva0_s_sc","01"
"account_tax_template_p_iva2_bc","01"
"account_tax_template_p_iva2_sc","01"
"account_tax_template_p_iva0_ns_b","01"
"account_tax_template_p_iva0_ns","01"
"account_tax_template_oss_s_iva_ns","01"
"account_tax_template_s_iva_ns_b","01"
"account_tax_template_oss_s_iva_ns_b","01"
"account_tax_template_s_iva_ns","01"
"account_tax_template_s_iva0_isp","01"
"account_tax_template_s_irpf19a","04"
"account_tax_template_p_irpf19a","04"
"account_tax_template_s_iva0","01"
"account_tax_template_p_iva0_bc","01"
"account_tax_template_s_iva0_art22","01"
"account_tax_template_s_iva0_art23","01"
"account_tax_template_s_irpf195a","04"
"account_tax_template_p_irpf195a","04"
"account_tax_template_s_irpf20a","04"
"account_tax_template_p_irpf20a","04"
"account_tax_template_s_irpf21a","04"
"account_tax_template_p_irpf21a","04"
"account_tax_template_s_irpf21","04"
"account_tax_template_s_iva0_ns","01"
"account_tax_template_s_iva0_nsd","01"
"account_tax_template_p_irpf21p","04"
"account_tax_template_s_irpf20","04"
"account_tax_template_p_irpf20","04"
"account_tax_template_s_irpf24","04"
"account_tax_template_p_irpf24","04"
"account_tax_template_s_irpf15","04"
"account_tax_template_p_irpf15","04"
"account_tax_template_s_irpf18","04"
"account_tax_template_p_irpf18","04"
"account_tax_template_s_irpf19","04"
"account_tax_template_p_irpf19","04"
"account_tax_template_s_irpf9","04"
"account_tax_template_p_irpf9","04"
"account_tax_template_s_irpf7","04"
"account_tax_template_p_irpf7","04"
"account_tax_template_s_irpf2","04"
"account_tax_template_p_irpf2","04"
"account_tax_template_s_irpf1","04"
"account_tax_template_p_irpf1","04"
"account_tax_template_p_iva4_isp","01"
"account_tax_template_p_iva4_isp_bi","01"
"account_tax_template_p_iva10_isp","01"
"account_tax_template_p_iva10_isp_bi","01"
"account_tax_template_p_iva21_isp","01"
"account_tax_template_p_iva21_isp_bi","01"
"account_tax_template_p_iva12_agr","01"
"account_tax_template_p_iva105_gan","01"
"account_tax_template_p_iva4_ibc_group","08"
"account_tax_template_p_iva10_ibc_group","08"
"account_tax_template_p_iva21_ibc_group","08"
"account_tax_template_s_iva0_g_i","01"
"account_tax_template_s_iva0_g_e","01"
"account_tax_template_s_irpf19a","04"
"account_tax_template_p_irpf19a","04"
"account_tax_template_s_irpf195a","04"
"account_tax_template_p_irpf195a","04"
"account_tax_template_s_irpf20a","04"
"account_tax_template_p_irpf20a","04"
"account_tax_template_s_irpf21a","04"
"account_tax_template_p_irpf21a","04"
"account_tax_template_s_irpf21","04"
"account_tax_template_p_irpf21p","04"
"account_tax_template_p_irpf21t","04"
"account_tax_template_p_irpf21td","04"
"account_tax_template_p_irpf21te","04"
"account_tax_template_s_irpf20","04"
"account_tax_template_p_irpf20","04"
"account_tax_template_s_irpf24","04"
"account_tax_template_p_irpf24","04"
"account_tax_template_s_irpf24_rdc","04"
"account_tax_template_p_irpf24_rdc","04"
"account_tax_template_p_irpf35cya","04"
"account_tax_template_s_irpf15","04"
"account_tax_template_p_irpf15","04"
"account_tax_template_p_irpf15e","04"
"account_tax_template_s_irpf18","04"
"account_tax_template_p_irpf18","04"
"account_tax_template_s_irpf19","04"
"account_tax_template_p_irpf19","04"
"account_tax_template_p_irpf19ca","04"
"account_tax_template_p_irpf19cs","04"
"account_tax_template_s_irpf9","04"
"account_tax_template_p_irpf9","04"
"account_tax_template_s_irpf7","04"
"account_tax_template_p_irpf7","04"
"account_tax_template_p_irpf7e","04"
"account_tax_template_s_irpf2","04"
"account_tax_template_p_irpf2","04"
"account_tax_template_s_irpf1","04"
"account_tax_template_p_irpf1","04"
"account_tax_template_s_irpfnrue0","04"
"account_tax_template_p_irpfnrue0p","04"
"account_tax_template_s_irpfnrue19","04"
"account_tax_template_p_irpfnrue19p","04"
"account_tax_template_p_irpfnrnue0p","04"
"account_tax_template_s_irpfnrnue0","04"
"account_tax_template_s_irpfnrnue24","04"
"account_tax_template_p_irpfnrnue24p","04"
"account_tax_template_p_rp19","04"
"account_tax_template_p_rrD19","04"
"account_tax_template_s_gd0","05"
