"id","l10n_es_applicability"
"account_tax_template_oss_s_iva_ns","01"
"account_tax_template_oss_s_iva_ns_b","01"
"account_tax_template_p_dua_exempt","01"
"account_tax_template_s_iva21b","01"
"account_tax_template_p_iva2_bc","01"
"account_tax_template_p_iva2_ibc","01"
"account_tax_template_p_iva2_ic_bc","01"
"account_tax_template_p_iva2_ic_sc","01"
"account_tax_template_p_iva2_isc","01"
"account_tax_template_p_iva2_nd","01"
"account_tax_template_p_iva2_sc","01"
"account_tax_template_p_iva4_bc","01"
"account_tax_template_p_iva4_ibc","01"
"account_tax_template_p_iva4_ibc_group","01"
"account_tax_template_p_iva4_sc","01"
"account_tax_template_p_iva4_sp_ex","01"
"account_tax_template_p_iva4_bi","01"
"account_tax_template_p_iva4_ibi","01"
"account_tax_template_p_iva4_nd","01"
"account_tax_template_p_iva5_bc","01"
"account_tax_template_p_iva5_bi","01"
"account_tax_template_p_iva5_ibc","01"
"account_tax_template_p_iva5_ibi","01"
"account_tax_template_p_iva5_ic_bc","01"
"account_tax_template_p_iva5_ic_bi","01"
"account_tax_template_p_iva5_ic_sc","01"
"account_tax_template_p_iva5_isc","01"
"account_tax_template_p_iva5_nd","01"
"account_tax_template_p_iva5_sc","01"
"account_tax_template_p_iva7-5_bc","01"
"account_tax_template_p_iva7-5_ibc","01"
"account_tax_template_p_iva7-5_ic_bc","01"
"account_tax_template_p_iva7-5_ic_sc","01"
"account_tax_template_p_iva7-5_isc","01"
"account_tax_template_p_iva7-5_nd","01"
"account_tax_template_p_iva7-5_sc","01"
"account_tax_template_p_iva10_bc","01"
"account_tax_template_p_iva10_ibc","01"
"account_tax_template_p_iva10_ibc_group","01"
"account_tax_template_p_iva10_sc","01"
"account_tax_template_p_iva10_sp_ex","01"
"account_tax_template_p_iva10_bi","01"
"account_tax_template_p_iva10_ibi","01"
"account_tax_template_p_iva10_nd","01"
"account_tax_template_p_iva21_bc","01"
"account_tax_template_p_iva21_ibc","01"
"account_tax_template_p_iva21_ibc_group","01"
"account_tax_template_p_iva21_sc","01"
"account_tax_template_p_iva21_sp_ex","01"
"account_tax_template_p_iva21_bi","01"
"account_tax_template_p_iva21_ibi","01"
"account_tax_template_s_iva4b","01"
"account_tax_template_s_iva4s","01"
"account_tax_template_s_iva_e","01"
"account_tax_template_s_iva10b","01"
"account_tax_template_s_iva10s","01"
"account_tax_template_s_iva21s","01"
"account_tax_template_p_iva4_ic_bc","01"
"account_tax_template_p_iva4_sp_in","01"
"account_tax_template_p_iva4_ic_bi","01"
"account_tax_template_p_iva10_ic_bc","01"
"account_tax_template_p_iva10_sp_in","01"
"account_tax_template_p_iva10_ic_bi","01"
"account_tax_template_p_iva21_ic_bc","01"
"account_tax_template_p_iva21_sp_in","01"
"account_tax_template_p_iva21_ic_bi","01"
"account_tax_template_s_iva0_sp_i","01"
"account_tax_template_p_iva0_ns_b","01"
"account_tax_template_p_iva0_ns","01"
"account_tax_template_p_iva0_ibc","01"
"account_tax_template_p_iva0_ic_bc","01"
"account_tax_template_p_iva0_ic_sc","01"
"account_tax_template_p_iva0_isc","01"
"account_tax_template_p_iva0_nd","01"
"account_tax_template_p_iva0_s_bc","01"
"account_tax_template_p_iva0_s_sc","01"
"account_tax_template_p_iva_isub","01"
"account_tax_template_s_iva_ns_b","01"
"account_tax_template_s_iva_ns","01"
"account_tax_template_s_req0",""
