"id","name","code","close_method","report_type"
"l10n_et_asset","Fixed Assets","fixed_assets","Balance","asset"
"l10n_et_current_assets","Current Assets","current_assets","Balance","asset"
"l10n_et_equity","Equity","equity","Balance","liability"
"l10n_et_expense","Expense","expense","None","expense"
"l10n_et_income","Income","income","None","income"
"l10n_et_liability","Long-Term Liabilities","liability","Balance","liability"
"l10n_et_current_liabilities","Current Liabilities","current_liabilities","Balance","liability"
"l10n_et_payable","Payable","payable","unreconciled","liability"
"l10n_et_receivable","Receivable","receivable","unreconciled","asset"
"l10n_et_output_tax","Output Tax","output_tax","unreconciled","liability"
"l10n_et_input_tax","Input Tax","input_tax","unreconciled","asset"
"l10n_et_profit_and_loss","Profit and Loss","profit_and_loss","None","none"
"l10n_et_view","View","view","None","/"
