id,country_id:id,rate
eu_rate_at,base.at,21
eu_rate_be,base.be,21
eu_rate_bg,base.bg,20
eu_rate_hr,base.hr,25
eu_rate_cy,base.cy,21
eu_rate_cz,base.cz,21
eu_rate_dk,base.dk,25
eu_rate_ee,base.ee,20
eu_rate_fi,base.fi,24
eu_rate_fr,base.fr,20
eu_rate_de,base.de,19
eu_rate_gr,base.gr,23
eu_rate_hu,base.hu,27
eu_rate_ie,base.ie,23
eu_rate_it,base.it,22
eu_rate_lv,base.lv,21
eu_rate_lt,base.lt,21
eu_rate_lu,base.lu,17
eu_rate_mt,base.mt,18
eu_rate_nl,base.nl,21
eu_rate_pl,base.pl,23
eu_rate_pt,base.pt,23
eu_rate_ro,base.ro,24
eu_rate_sk,base.sk,20
eu_rate_si,base.si,22
eu_rate_es,base.es,21
eu_rate_se,base.se,24
eu_rate_uk,base.uk,20
