"id","name","code","account_type","tag_ids","reconcile","name@fr"
"pca_1011","Subscribed capital - uncalled","101100","equity","","False","Capital souscrit - non appelé"
"pca_1012","Subscribed capital - called up, unpaid","101200","equity","","False","Capital souscrit - appelé non versé"
"pca_10131","Capital not written off","101310","equity","","False","Capital non amorti"
"pca_10132","Capital written off","101320","equity","","False","Capital amorti"
"pca_1018","Subscribed capital subject to particular regulations","101800","equity","","False","Capital souscrit soumis à des réglementations particulières"
"pca_1021","Initial net position established","102100","equity","","False","Première situation nette établie"
"pca_1022","Statutory funds (to be subdivided according to statutes)","102200","equity","","False","Fonds statutaires (à subdiviser en fonction des statuts)"
"pca_10231","Initial non-consumable endowments","102310","equity","","False","Dotations non consomptibles initiales"
"pca_10232","Additional non-consumable endowments","102320","equity","","False","Dotations non consomptibles complémentaires"
"pca_1024","Other equity without right of return","102400","equity","","False","Autres fonds propres sans droit de reprise"
"pca_1032","Statutory funds (to be subdivided according to statutes)","103200","equity","","False","Fonds statutaires (à subdiviser en fonction des statuts)"
"pca_1034","Other equity with right of return","103400","equity","","False","Autres fonds propres avec droit de reprise"
"pca_1041","Share premiums","104100","equity","","False","Primes d'émission"
"pca_1042","Merger premiums","104200","equity","","False","Primes de fusion"
"pca_1043","Contribution premiums","104300","equity","","False","Primes d'apport"
"pca_1044","Premiums on conversion of bonds into shares","104400","equity","","False","Primes de conversion d'obligations en actions"
"pca_1045","Equity warrants","104500","equity","","False","Bons de souscription d'actions"
"pca_1051","Revaluation differences on assets without right of return","105100","equity","","False","Ecarts de réévaluation sur des biens sans droit de reprise"
"pca_1052","Revaluation differences on assets with right of return","105200","equity","","False","Ecarts de réévaluation sur des biens avec droit de reprise"
"pca_1053","Revaluation reserve","105300","equity","","False","Réserve de réévaluation"
"pca_1055","Revaluation differences (other legal transactions)","105500","equity","","False","Écarts de réévaluation (autres opérations légales)"
"pca_1057","Other revaluation differences in France","105700","equity","","False","Autres écarts de réévaluation en France"
"pca_1058","Other revaluation differences outside France","105800","equity","","False","Autres écarts de réévaluation à l'étranger"
"pca_1061","Legal reserve","106100","equity","","False","Réserve légale"
"pca_10611","Basic legal reserve","106110","equity","","False","Réserve légale proprement dite"
"pca_10612","Net long-term capital gains","106120","equity","","False","Plus-values nettes à long terme"
"pca_1062","Undistributable reserves","106200","equity","","False","Réserves indisponibles"
"pca_1063","Statutory or contractual reserves","106300","equity","","False","Réserves statutaires ou contractuelles"
"pca_10641","Net long-term capital gains","106410","equity","","False","Plus-values nettes à long terme"
"pca_10643","Reserves consequent on award of investment grants","106430","equity","","False","Réserves consécutives à l'octroi de subventions d'investissement"
"pca_10648","Other tax-regulated reserves","106480","equity","","False","Autres réserves réglementées"
""pca_10681","Self-insurance reserve","106810","equity","","False","Réserve de propre assureur"
"pca_10688","Sundry reserves","106880","equity","","False","Réserves diverses"
"pca_107","Difference on equity accounted investments","107000","equity","","False","Écarts d'équivalence"
"pca_1081","Consumable endowments","108100","equity","","False","Dotations consomptibles"
"pca_1089","Consumable endowments recorded in income statement","108900","equity","","False","Dotations consomptibles inscrites au compte de résultat"
"pca_109","Shareholders: Subscribed capital uncalled","109000","equity","","False","Actionnaires : capital souscrit - non appelé"
"pca_110","Profit carried forward","110000","equity","","False","Report à nouveau (solde créditeur)"
"pca_119","Loss carried forward","119000","equity","","False","Report à nouveau (solde débiteur)"
"pca_120","Profit for the financial year","120000","equity","","False","Résultat de l'exercice (bénéfice)"
"pca_129","Loss for the financial year","129000","equity","","False","Résultat de l'exercice (perte)"
"pca_1311","Equipment grants - State","131100","equity","","False","Subventions d'équipement - État"
"pca_1312","Equipment grants - Regions","131200","equity","","False","Subventions d'équipement - Régions"
"pca_1313","Equipment grants - Departments","131300","equity","","False","Subventions d'équipement - Départements"
