"id","code_prefix_start","name","name@fr"
"pca_10","10","Equity and Reserves","Capital et réserves"
"pca_101","101","Capital","Capital"
"pca_102","102","Equity without right of return","Fonds propres sans droit de reprise"
"pca_1023","1023","Non-consumable endowments","Dotations non consomptibles"
"pca_103","103","Equity with right of return","Fonds propres avec droit de reprise"
"pca_104","104","Premiums on share capital","Primes liées au capital social"
"pca_105","105","Revaluation differences","Ecarts de réévaluation"
"pca_106","106","Reserves","Réserves"
"pca_1068","1068","Reserves for entity projects","Réserves pour projet de l'entité"
"pca_108","108","Consumable endowments","Dotations consomptibles"
"pca_11","11","Retained earnings","Report à nouveau"
"pca_12","12","Result for the year","Résultat de l'exercice"
"pca_13","13","Investment grants","Subventions d'investissement"
"pca_131","131","Equipment grants","Subventions d'équipement"
"pca_139","139","Investment grants credited to the profit and loss account","Subventions d'investissement inscrites au compte de résultat"
"pca_1391","1391","Equipment grants","Subventions d'équipement"
"pca_14","14","Regulated provisions","Provisions réglementées"
"pca_142","142","Regulated provisions for fixed assets","Provisions réglementées relatives aux immobilisations"
"pca_143","143","Regulated provisions for inventories","Provisions réglementées relatives aux stocks"
"pca_15","15","Provisions","Provisions"
"pca_151","151","Provisions for risks","Provisions pour risques"
"pca_158","158","Other provisions for charges","Autres provisions pour charges"
"pca_16","16","Loans and similar debts","Emprunts et dettes assimilées"
"pca_163","163","Other bond loans","Autres emprunts obligataires"
"pca_165","165","Deposits and sureties received","Dépôts et cautionnements reçus"
"pca_166","166","Employee profit share","Participation des salariés aux résultats"
"pca_167","167","Loans and debts payable subject to particular conditions","Emprunts et dettes assortis de conditions particulières"
"pca_168","168","Other loans and similar debts payable","Autres emprunts et dettes assimilées"
"pca_17","17","Debts payable related to participating interests","Dettes rattachées à des participations"
"pca_178","178","Debts payable related to joint ventures","Dettes rattachées à des sociétés en participation"
"pca_18","18","Reciprocal branch and joint venture accounts","Comptes de liaison des établissements et sociétés en participation"
"pca_19","19","Dedicated or carried forward funds","Fonds dédiés ou reportés"
"pca_191","191","Carried forward funds related to legacies or donations","Fonds reportés liés aux legs ou donations"
"pca_20","20","Intangible assets","Immobilisations incorporelles"
"pca_201","201","Intangible fixed assets","Frais d'établissement"
"pca_21","21","Tangible fixed assets","Immobilisations corporelles"
"pca_211","211","Land","Terrains"
"pca_213","213","Constructions","Constructions"
"pca_21318","21318","Other property complexes","Autres ensembles immobiliers"
"pca_21358","21358","Other property complexes","Autres ensembles immobiliers"
"pca_2138","2138","Infrastructure development","Ouvrages d'infrastructure"
"pca_215","215","Technical installations, plant and machinery, equipment and fixtures","Installations techniques, matériels et outillage industriels"
"pca_2151","2151","Specialised complex installations","Installations complexes spécialisées"
"pca_2153","2153","Installations of specific nature","Installations à caractère spécifique"
"pca_218","218","Other tangible fixed assets","Autres immobilisations corporelles"
"pca_23","23","Fixed assets in progress","Immobilisations en cours"
"pca_231","231","Tangible fixed assets in progress","Immobilisations corporelles en cours"
"pca_238","238","Payments on account on orders for tangible fixed assets","Avances et acomptes versés sur commandes d'immobilisations corporelles"
"pca_26","26","Participating interests and related debts receivable","Participations et créances rattachées à des participations"
"pca_261","261","Long-term equity interests","Titres de participation"
"pca_267","267","Debts receivable related to participating interests","Créances rattachées à des participations"
"pca_268","268","Debts receivable related to joint ventures","Créances rattachées à des sociétés en participation"
"pca_27","27","Other financial assets","Autres immobilisations financières"
"pca_271","271","Long-term investment equity securities other than portfolio long-term investment equity securities","Titres de participation d'investissement à long terme autres que les titres de participation d'investissement à long terme du portefeuille"
"pca_272","272","Long-term investment debt securities","Titres immobilisés (droit de créance)"
"pca_274","274","Loans","Prêts"
"pca_275","275","Deposits and sureties advanced","Dépôts et cautionnements versés"
"pca_276","276","Other capitalised debts receivable","Autres créances immobilisées"
"pca_2768","2768","Accrued interest","Intérêts courus"
"pca_277","277","(Own shares)","(Actions propres ou parts propres)"
"pca_28","28","Depreciation of fixed assets","Amortissements des immobilisations"
"pca_280","280","Depreciation of intangible assets","Amortissements des immobilisations incorporelles"
"pca_281","281","Depreciation on tangible fixed assets","Amortissements des immobilisations corporelles"
"pca_29","29","Impairment of fixed assets","Dépréciations des immobilisations"
