"id","name","code","account_type","chart_template_id/id","tag_ids/id","reconcile"
"current_assets","Current Assets","1010","asset_current","l10n_generic_coa.configurable_chart_template","","False"
"stock_valuation","Stock Valuation","1101","asset_current","l10n_generic_coa.configurable_chart_template","","False"
"stock_in","Stock Interim (Received)","1102","asset_current","l10n_generic_coa.configurable_chart_template","","True"
"stock_out","Stock Interim (Delivered)","1103","asset_current","l10n_generic_coa.configurable_chart_template","","True"
"receivable","Account Receivable","1210","asset_receivable","l10n_generic_coa.configurable_chart_template","","True"
"to_receive_rec","Products to receive","1211","asset_current","l10n_generic_coa.configurable_chart_template","","True"
"tax_paid","Tax Paid","1310","asset_current","l10n_generic_coa.configurable_chart_template","","False"
"tax_receivable","Tax Receivable","1320","asset_current","l10n_generic_coa.configurable_chart_template","","False"
"prepayments","Prepayments","1410","asset_prepayments","l10n_generic_coa.configurable_chart_template","","False"
"fixed_assets","Fixed Asset","1510","asset_fixed","l10n_generic_coa.configurable_chart_template","","False"
"non_current_assets","Non-current assets","1910","asset_non_current","l10n_generic_coa.configurable_chart_template","","False"
"current_liabilities","Current Liabilities","2010","liability_current","l10n_generic_coa.configurable_chart_template","","False"
"payable","Account Payable","2110","liability_payable","l10n_generic_coa.configurable_chart_template","","True"
"to_receive_pay","Bills to receive","2111","liability_current","l10n_generic_coa.configurable_chart_template","","True"
"tax_received","Tax Received","2510","liability_current","l10n_generic_coa.configurable_chart_template","","False"
"tax_payable","Tax Payable","2520","liability_current","l10n_generic_coa.configurable_chart_template","","False"
"non_current_liabilities","Non-current Liabilities","2910","liability_non_current","l10n_generic_coa.configurable_chart_template","","False"
"capital","Capital","3010","equity","l10n_generic_coa.configurable_chart_template","","False"
"dividends","Dividends","3020","equity","l10n_generic_coa.configurable_chart_template","","False"
"income","Product Sales","4000","income","l10n_generic_coa.configurable_chart_template","account.account_tag_operating","False"
"income_currency_exchange","Foreign Exchange Gain","4410","income","l10n_generic_coa.configurable_chart_template","account.account_tag_financing","False"
"cash_diff_income","Cash Difference Gain","4420","income","l10n_generic_coa.configurable_chart_template","account.account_tag_investing","False"
"other_income","Other Income","4500","income_other","l10n_generic_coa.configurable_chart_template","","False"
"cost_of_goods_sold","Cost of Goods Sold","5000","expense_direct_cost","l10n_generic_coa.configurable_chart_template","account.account_tag_operating","False"
"expense","Expenses","6000","expense","l10n_generic_coa.configurable_chart_template","account.account_tag_operating","False"
"expense_invest","Purchase of Equipments","6110","expense","l10n_generic_coa.configurable_chart_template","account.account_tag_investing","False"
"expense_rent","Rent","6120","expense","l10n_generic_coa.configurable_chart_template","account.account_tag_investing","False"
"expense_finance","Bank Fees","6200","expense","l10n_generic_coa.configurable_chart_template","account.account_tag_financing","False"
"expense_salary","Salary Expenses","6300","expense","l10n_generic_coa.configurable_chart_template","account.account_tag_operating","False"
"expense_currency_exchange","Foreign Exchange Loss","6410","expense","l10n_generic_coa.configurable_chart_template","account.account_tag_financing","False"
"cash_diff_expense","Cash Difference Loss","6420","expense","l10n_generic_coa.configurable_chart_template","account.account_tag_investing","False"
"expense_rd","RD Expenses","9610","expense","l10n_generic_coa.configurable_chart_template","account.account_tag_investing","False"
"expense_sales","Sales Expenses","9620","expense","l10n_generic_coa.configurable_chart_template","account.account_tag_investing","False"
"pos_receivable","Account Receivable (PoS)","1013","asset_receivable","l10n_generic_coa.configurable_chart_template","","True"
"cash_discount_loss","Cash Discount Loss","4430","expense","l10n_generic_coa.configurable_chart_template","","False"
"cash_discount_gain","Cash Discount Gain","6430","income","l10n_generic_coa.configurable_chart_template","","False"
