"code","id","account_type","reconcile","name","chart_template_id/id"
"010000","hr_010000","asset_non_current",0,"Research and development","l10n_hr.l10n_hr_chart_template"
"011000","hr_011000","asset_non_current",0,"Concession rights, patents, commodity and service brands","l10n_hr.l10n_hr_chart_template"
"012000","hr_012000","asset_non_current",,"Investing in computer software","l10n_hr.l10n_hr_chart_template"
"012010","hr_012010","asset_non_current",,"Investing in websites","l10n_hr.l10n_hr_chart_template"
"012100","hr_012100","asset_non_current",,"Investing in copyright and other usage rights","l10n_hr.l10n_hr_chart_template"
"012110","hr_012110","asset_non_current",,"Investing in know-how, design","l10n_hr.l10n_hr_chart_template"
"012140","hr_012140","asset_non_current",,"Investing in long-term right of use (according to the contract) - for example, multi-year paid rent","l10n_hr.l10n_hr_chart_template"
"012150","hr_012150","asset_non_current",,"Investing in the right of co-ownership of equipment","l10n_hr.l10n_hr_chart_template"
"012220","hr_012220","asset_non_current",,"Other long-standing rights","l10n_hr.l10n_hr_chart_template"
"014000","hr_014000","asset_non_current",0,"Other intangible assets","l10n_hr.l10n_hr_chart_template"
"015000","hr_015000","asset_non_current",0,"Advance payments for purchase of intangible assets","l10n_hr.l10n_hr_chart_template"
"016000","hr_016000","asset_non_current",0,"Cryptocurrencies","l10n_hr.l10n_hr_chart_template"
"017000","hr_017000","asset_non_current",0,"Intangible assets in preparation","l10n_hr.l10n_hr_chart_template"
"019000","hr_019000","asset_non_current",0,"Accumulated depreciation of intangible assets","l10n_hr.l10n_hr_chart_template"
"020000","hr_020000","asset_fixed",0,"Land","l10n_hr.l10n_hr_chart_template"
"021000","hr_021000","asset_fixed",0,"Rights to use land","l10n_hr.l10n_hr_chart_template"
"023000","hr_023000","asset_fixed",0,"Buildings","l10n_hr.l10n_hr_chart_template"
"024000","hr_024000","asset_fixed",0,"Flats for employees","l10n_hr.l10n_hr_chart_template"
"026000","hr_026000","asset_fixed",0,"Advance payments for purchase of land and buildings","l10n_hr.l10n_hr_chart_template"
"027000","hr_027000","asset_fixed",0,"Land and buildings under construction","l10n_hr.l10n_hr_chart_template"
"028000","hr_028000","asset_fixed",0,"Value adjustment of land and buildings","l10n_hr.l10n_hr_chart_template"
"029000","hr_029000","asset_fixed",0,"Accumulated depreciation of buildings","l10n_hr.l10n_hr_chart_template"
"030000","hr_030000","asset_fixed",0,"Plant","l10n_hr.l10n_hr_chart_template"
"031000","hr_031000","asset_fixed",0,"Office equipment (photocopiers, fax machines, cash registers, alarms, air conditioning devices, refrigerators, televisions, etc.)","l10n_hr.l10n_hr_chart_template"
"031100","hr_031100","asset_fixed",0,"Computer equipment","l10n_hr.l10n_hr_chart_template"
"031200","hr_031200","asset_fixed",0,"Telecommunications equipment (mobile phones, telephone switchboards, antennas, etc.)","l10n_hr.l10n_hr_chart_template"
"031300","hr_031300","asset_fixed",0,"Store equipment (cash registers, refrigerators, etc.)","l10n_hr.l10n_hr_chart_template"
"031400","hr_031400","asset_fixed",0,"Catering equipment, hotels, etc. (appliances, stoves, refrigerators, furniture, etc.)","l10n_hr.l10n_hr_chart_template"
"031500","hr_031500","asset_fixed",0,"Service equipment (cranes, test devices, devices, etc.)","l10n_hr.l10n_hr_chart_template"
"031600","hr_031600","asset_fixed",0,"Construction and assembly equipment (cranes, excavators, scaffolding, formwork, mixers, cranes, rollers, etc.)","l10n_hr.l10n_hr_chart_template"
"031700","hr_031700","asset_fixed",0,"Heating/cooling equipment (devices).","l10n_hr.l10n_hr_chart_template"
"031800","hr_031800","asset_fixed",0,"Occupational safety and fire protection equipment","l10n_hr.l10n_hr_chart_template"
"031900","hr_031900","asset_fixed",0,"Other equipment and equipment out of use","l10n_hr.l10n_hr_chart_template"
"032000","hr_032000","asset_fixed",0,"Tools, transportation equipment and vehicle","l10n_hr.l10n_hr_chart_template"
"033000","hr_033000","asset_fixed",0,"50% purchase tax on passenger cars","l10n_hr.l10n_hr_chart_template"
"033100","hr_033100","asset_fixed",0,"50% and 100% purchase tax on passenger cars (above HRK 400,000.00 that were purchased by 12/31/2018)","l10n_hr.l10n_hr_chart_template"
"033200","hr_033200","asset_fixed",0,"50% purchase tax on ships, yachts, etc.","l10n_hr.l10n_hr_chart_template"
"033300","hr_033300","asset_fixed",0,"50% and 100% purchase tax on ships, yachts, etc. (value greater than HRK 400,000.00 that were acquired by 12/31/2018)","l10n_hr.l10n_hr_chart_template"
"034000","hr_034000","asset_fixed",0,"Agricultural equipment and machinery","l10n_hr.l10n_hr_chart_template"
"035000","hr_035000","asset_fixed",0,"Other property, plant and equipment","l10n_hr.l10n_hr_chart_template"
"036000","hr_036000","asset_fixed",0,"Advance payments for purchase of property, plant and equipment","l10n_hr.l10n_hr_chart_template"
"037000","hr_037000","asset_fixed",0,"Plant and equipment under construction","l10n_hr.l10n_hr_chart_template"
"038000","hr_038000","asset_fixed",0,"Value adjustment of plant and equipment","l10n_hr.l10n_hr_chart_template"
"039000","hr_039000","asset_fixed",0,"Accumulated depreciation of plant and equipment","l10n_hr.l10n_hr_chart_template"
"039100","hr_039100","asset_non_current",0,"Accumulated depretiation. Equipment","l10n_hr.l10n_hr_chart_template"
"039200","hr_039200","asset_non_current",0,"Accumulated depretiation. tools, operating inventory and means of transport","l10n_hr.l10n_hr_chart_template"
"039300","hr_039300","asset_non_current",0,"Accumulated depretiation. passenger cars, boats and aircraft (purchase value without VAT)","l10n_hr.l10n_hr_chart_template"
"039500","hr_039500","asset_non_current",0,"Accumulated depretiation. 50% purchase tax from personal car","l10n_hr.l10n_hr_chart_template"
"039600","hr_039600","asset_non_current",0,"Accumulated depretiation. 50% and 100% purchase tax from personal. cars (above HRK 400,000.00 that were purchased by 12/31/2018)","l10n_hr.l10n_hr_chart_template"
"039700","hr_039700","asset_non_current",0,"Accumulated depretiation. 50% of purchase tax on ships, yachts, etc. for personal transport","l10n_hr.l10n_hr_chart_template"
"039800","hr_039800","asset_non_current",0,"Accumulated depretiation. 50% and 100% purchase tax on ships, yachts, etc. avg. for personal transport (above HRK 400,000.00 which were purchased by 12/31/2018)","l10n_hr.l10n_hr_chart_template"
"039900","hr_039900","asset_non_current",0,"Other accumulated depreciation for equipment","l10n_hr.l10n_hr_chart_template"
"040000","hr_040000","asset_non_current",0,"Biological assets- growing crops","l10n_hr.l10n_hr_chart_template"
"041000","hr_041000","asset_current",0,"Biological assets- live stock","l10n_hr.l10n_hr_chart_template"
"046000","hr_046000","asset_non_current",0,"Advance payments for purchase of biological assets","l10n_hr.l10n_hr_chart_template"
"047000","hr_047000","asset_non_current",0,"Biological assets in preparation (not put in use)","l10n_hr.l10n_hr_chart_template"
"048000","hr_048000","asset_non_current",0,"Value adjustment of biological assets","l10n_hr.l10n_hr_chart_template"
"049000","hr_049000","asset_non_current",0,"Accumulated depreciation of biological assets","l10n_hr.l10n_hr_chart_template"
"050000","hr_050000","asset_non_current",0,"Investment property-land","l10n_hr.l10n_hr_chart_template"
"051000","hr_051000","asset_non_current",0,"Investment property- buildings","l10n_hr.l10n_hr_chart_template"
"056000","hr_056000","asset_non_current",0,"Advance payments for investment properties","l10n_hr.l10n_hr_chart_template"
"057000","hr_057000","asset_non_current",0,"Investments property under construction","l10n_hr.l10n_hr_chart_template"
"058000","hr_058000","asset_non_current",0,"Value adjustment of investment properties","l10n_hr.l10n_hr_chart_template"
"059000","hr_059000","asset_non_current",0,"Accumulated depreciation of buildings","l10n_hr.l10n_hr_chart_template"
"060000","hr_060000","asset_non_current",0,"Investments in shares (shares) of entrepreneurs within the group","l10n_hr.l10n_hr_chart_template"
"060100","hr_060100","asset_non_current",0,"Investments in other securities of entrepreneurs within the group","l10n_hr.l10n_hr_chart_template"
"062000","hr_062000","asset_non_current",0,"Investments in shares (shares) of companies connected by participating interests","l10n_hr.l10n_hr_chart_template"
"063000","hr_063000","asset_non_current",0,"Loans, deposit etc given to companies in associated undertakings","l10n_hr.l10n_hr_chart_template"
"064000","hr_064000","asset_non_current",0,"Investments in a securities","l10n_hr.l10n_hr_chart_template"
"065000","hr_065000","asset_non_current",0,"Loans given to third party","l10n_hr.l10n_hr_chart_template"
"066000","hr_066000","asset_non_current",0,"Investments in associates accounted for using the equity method","l10n_hr.l10n_hr_chart_template"
"067000","hr_067000","asset_non_current",0,"Other long-term financial assets","l10n_hr.l10n_hr_chart_template"
"068000","hr_068000","asset_non_current",0,"Value adjustment of long-term financial assets","l10n_hr.l10n_hr_chart_template"
"069000","hr_069000","asset_non_current",0,"Unrealized interests on loans etc.","l10n_hr.l10n_hr_chart_template"
"070000","hr_070000","asset_receivable",1,"Receivables in a Group","l10n_hr.l10n_hr_chart_template"
"071000","hr_071000","asset_receivable",1,"Receivable from associated undertakings","l10n_hr.l10n_hr_chart_template"
"072000","hr_072000","asset_receivable",1,"Long term trade receivables","l10n_hr.l10n_hr_chart_template"
"073000","hr_073000","asset_receivable",1,"Receivables from factoring","l10n_hr.l10n_hr_chart_template"
"074000","hr_074000","asset_receivable",1,"Claims for guarantees","l10n_hr.l10n_hr_chart_template"
"075000","hr_075000","asset_receivable",1,"Receivables for legal cases in company's favour and other risk receivables","l10n_hr.l10n_hr_chart_template"
"076000","hr_076000","asset_receivable",1,"Receivables for advance payments for services","l10n_hr.l10n_hr_chart_template"
"077000","hr_077000","asset_receivable",1,"Claims from workers","l10n_hr.l10n_hr_chart_template"
"077100","hr_077100","asset_receivable",1,"Receivables from company members","l10n_hr.l10n_hr_chart_template"
"077200","hr_077200","asset_receivable",1,"Receivables from the partnership","l10n_hr.l10n_hr_chart_template"
"077300","hr_077300","asset_receivable",1,"Claims from pre-bankruptcy settlement","l10n_hr.l10n_hr_chart_template"
"078000","hr_078000","asset_receivable",1,"Value adjustment of long-term receivables","l10n_hr.l10n_hr_chart_template"
"079000","hr_079000","asset_receivable",1,"Receivables for unrealized interests in loans","l10n_hr.l10n_hr_chart_template"
"080000","hr_080000","asset_non_current",1,"Deferred tax assets based on tax losses","l10n_hr.l10n_hr_chart_template"
"080100","hr_080100","asset_non_current",1,"Deferred tax assets based on increased depreciation","l10n_hr.l10n_hr_chart_template"
"080200","hr_080200","asset_non_current",1,"Deferred tax assets based on the write-off of receivables","l10n_hr.l10n_hr_chart_template"
"080300","hr_080300","asset_non_current",1,"Deferred tax assets based on other expenses","l10n_hr.l10n_hr_chart_template"
"081000","hr_081000","asset_receivable",1,"Other deferred tax asset","l10n_hr.l10n_hr_chart_template"
"100000","hr_100000","asset_cash",0,"Cash in bank (transaction accounts)","l10n_hr.l10n_hr_chart_template"
"102000","hr_102000","asset_cash",0,"Cash on hand","l10n_hr.l10n_hr_chart_template"
"103000","hr_103000","asset_cash",0,"Foreign currency accounts","l10n_hr.l10n_hr_chart_template"
"106000","hr_106000","asset_cash",0,"Cash assigned to foreign currency purchases","l10n_hr.l10n_hr_chart_template"
"108000","hr_108000","asset_cash",0,"Other cash","l10n_hr.l10n_hr_chart_template"
"109000","hr_109000","asset_cash",0,"Value adjustment of bank deposits","l10n_hr.l10n_hr_chart_template"
"110000","hr_110000","asset_current",0,"Investments in shares (shares) of entrepreneurs within the group","l10n_hr.l10n_hr_chart_template"
"112000","hr_112000","asset_current",0,"Investments in shares (shares) of companies connected by participating interests","l10n_hr.l10n_hr_chart_template"
"112100","hr_112100","asset_current",0,"Investments in other securities  of companies connected by participating interests","l10n_hr.l10n_hr_chart_template"
"113000","hr_113000","asset_current",0,"Loans, deposits etc to companies in associated undertakings","l10n_hr.l10n_hr_chart_template"
"114000","hr_114000","asset_current",0,"Investments in securities","l10n_hr.l10n_hr_chart_template"
"115000","hr_115000","asset_current",0,"Leases given, deposits and other","l10n_hr.l10n_hr_chart_template"
"116000","hr_116000","asset_current",0,"Receivables from investments funds","l10n_hr.l10n_hr_chart_template"
"117000","hr_117000","asset_current",0,"Purchase of short-term receivables (factoring) ","l10n_hr.l10n_hr_chart_template"
"117100","hr_117100","asset_current",0,"Investing in short-term discount deals ","l10n_hr.l10n_hr_chart_template"
"117200","hr_117200","asset_current",0,"Claims for overpayment by credit card ","l10n_hr.l10n_hr_chart_template"
"117300","hr_117300","asset_current",0,"Receivables for payments of certified or endorsed bills of exchange","l10n_hr.l10n_hr_chart_template"
"117400","hr_117400","asset_current",0,"Claims on paid guarantees ","l10n_hr.l10n_hr_chart_template"
"117500","hr_117500","asset_current",0,"Receivables from assumed debt (Art. 96. ZOO) ","l10n_hr.l10n_hr_chart_template"
"117600","hr_117600","asset_current",0,"Claims for assignments, novations, etc. ","l10n_hr.l10n_hr_chart_template"
"117800","hr_117800","asset_current",0,"Other financial assets","l10n_hr.l10n_hr_chart_template"
"118000","hr_118000","asset_current",0,"Receivables in dispute (e.g.. disputed, in bankruptcy etc, from financial assets)","l10n_hr.l10n_hr_chart_template"
"119000","hr_119000","asset_current",0,"Value adjustment of current financial assets (value adjustment by analytics of this group of accounts)","l10n_hr.l10n_hr_chart_template"
"120000","hr_120000","asset_receivable",1,"Trade receivables","l10n_hr.l10n_hr_chart_template"
"120100","hr_120100","asset_receivable",1,"Trade receivables for services","l10n_hr.l10n_hr_chart_template"
"120300","hr_120300","asset_receivable",1,"Citizen buyers and sales on consumer credit","l10n_hr.l10n_hr_chart_template"
"120500","hr_120500","asset_receivable",1,"Receivables from customers for sold goods from the commission","l10n_hr.l10n_hr_chart_template"
"120900","hr_120900","asset_receivable",1,"Claims for uninvoiced delivery of goods or services","l10n_hr.l10n_hr_chart_template"
"121000","hr_121000","asset_receivable",1,"Foreign trade customers-EU and foreign","l10n_hr.l10n_hr_chart_template"
"121100","hr_121100","asset_receivable",1,"Buyers of goods from third countries","l10n_hr.l10n_hr_chart_template"
"121200","hr_121200","asset_receivable",1,"Customers of services from the EU","l10n_hr.l10n_hr_chart_template"
"121300","hr_121300","asset_receivable",1,"Customers of services from third countries","l10n_hr.l10n_hr_chart_template"
"121400","hr_121400","asset_receivable",1,"Buyers of rights from the EU","l10n_hr.l10n_hr_chart_template"
"121500","hr_121500","asset_receivable",1,"Buyers of rights from third countries","l10n_hr.l10n_hr_chart_template"
"121600","hr_121600","asset_receivable",1,"Receivables from customers of related persons from the EU that are not groups or companies related by participating interest","l10n_hr.l10n_hr_chart_template"
"121700","hr_121700","asset_receivable",1,"Receivables from customers of related parties from third countries that are not groups or companies related by participating interest","l10n_hr.l10n_hr_chart_template"
"122000","hr_122000","asset_receivable",1,"Group companies receivables","l10n_hr.l10n_hr_chart_template"
"123000","hr_123000","asset_receivable",1,"Associated undertakings interest receivables","l10n_hr.l10n_hr_chart_template"
"124000","hr_124000","asset_receivable",1,"Interest receivables","l10n_hr.l10n_hr_chart_template"
"124100","hr_124100","asset_receivable",1,"Claims for interest on settlements","l10n_hr.l10n_hr_chart_template"
"124200","hr_124200","asset_receivable",1,"Claim for interest from given loans","l10n_hr.l10n_hr_chart_template"
"124300","hr_124300","asset_receivable",1,"Interest from other claims","l10n_hr.l10n_hr_chart_template"
"124500","hr_124500","asset_receivable",1,"Claims for prepaid services with VAT","l10n_hr.l10n_hr_chart_template"
"125000","hr_125000","asset_receivable",1,"Receivables for prepaid services without VAT (e.g. construction)","l10n_hr.l10n_hr_chart_template"
"125100","hr_125100","asset_receivable",1,"Receivables from import business for someone else's account","l10n_hr.l10n_hr_chart_template"
"126000","hr_126000","asset_receivable",1,"Receivables from the sale of shares","l10n_hr.l10n_hr_chart_template"
"127000","hr_127000","asset_receivable",1,"Receivables for published discounts (rebates, cassa sconto, rebate, etc.)","l10n_hr.l10n_hr_chart_template"
"127100","hr_127100","asset_receivable",1,"Claims for advances for the purchase of shares and shares","l10n_hr.l10n_hr_chart_template"
"127200","hr_127200","asset_receivable",1,"Receivables from commission agents","l10n_hr.l10n_hr_chart_template"
"127300","hr_127300","asset_receivable",1,"EU VAT refund claims","l10n_hr.l10n_hr_chart_template"
"127400","hr_127400","asset_receivable",1,"Claims for approved state grants","l10n_hr.l10n_hr_chart_template"
"127500","hr_127500","asset_receivable",1,"Claims for VAT from a subsequently approved discount","l10n_hr.l10n_hr_chart_template"
"127600","hr_127600","asset_receivable",1,"Dividend receivables - profit","l10n_hr.l10n_hr_chart_template"
"127800","hr_127800","asset_receivable",1,"Dividend receivables - profit","l10n_hr.l10n_hr_chart_template"
"127900","hr_127900","asset_receivable",1,"VAT refund claims from third countries","l10n_hr.l10n_hr_chart_template"
"128000","hr_128000","asset_receivable",1,"Other current receivables","l10n_hr.l10n_hr_chart_template"
"129000","hr_129000","asset_receivable",1,"Value adjustment of receivables","l10n_hr.l10n_hr_chart_template"
"131000","hr_131000","asset_receivable",1,"Receivables from third party","l10n_hr.l10n_hr_chart_template"
"133000","hr_133000","asset_receivable",1,"Receivables from company members for advance profit - dividend (+ tax 10% and surcharge)","l10n_hr.l10n_hr_chart_template"
"133100","hr_133100","asset_receivable",1,"Claims from company members for private expenses","l10n_hr.l10n_hr_chart_template"
"133400","hr_133400","asset_receivable",1,"Claims from tradesmen (beneficiaries)","l10n_hr.l10n_hr_chart_template"
"133500","hr_133500","asset_receivable",1,"Receivables from sales to a member of the company","l10n_hr.l10n_hr_chart_template"
"134000","hr_134000","asset_receivable",1,"Claims for principal","l10n_hr.l10n_hr_chart_template"
"135000","hr_135000","asset_receivable",1,"Receivables for assets held on free-trade zone","l10n_hr.l10n_hr_chart_template"
"136000","hr_136000","asset_receivable",1,"Receivables from banks based on customer's loans","l10n_hr.l10n_hr_chart_template"
"137000","hr_137000","asset_receivable",1,"Receivables from foreign business units","l10n_hr.l10n_hr_chart_template"
"138000","hr_138000","asset_receivable",1,"Other receivables from operating activities","l10n_hr.l10n_hr_chart_template"
"139000","hr_139000","asset_receivable",1,"Value adjustment of asset receivables from employees and other receivables","l10n_hr.l10n_hr_chart_template"
"140010","hr_140010","asset_current",0,"Advance tax - 5%","l10n_hr.l10n_hr_chart_template"
"140011","hr_140011","asset_current",0,"Advance tax - 13%","l10n_hr.l10n_hr_chart_template"
"140012","hr_140012","asset_current",0,"Advance tax - 25%","l10n_hr.l10n_hr_chart_template"
"140020","hr_140020","asset_current",0,"Advance tax from advances - 5%","l10n_hr.l10n_hr_chart_template"
"140021","hr_140021","asset_current",0,"Advance tax from advances - 13%","l10n_hr.l10n_hr_chart_template"
"140022","hr_140022","asset_current",0,"Advance tax from advances - 25%","l10n_hr.l10n_hr_chart_template"
"140030","hr_140030","asset_current",0,"purchase tax corrections","l10n_hr.l10n_hr_chart_template"
"140031","hr_140031","asset_current",0,"Correction of purchase tax due to conversion of goods (exempt deliveries)","l10n_hr.l10n_hr_chart_template"
"140032","hr_140032","asset_current",0,"purchase tax correction due to a change in purchase tax recognition percentage - adjustment","l10n_hr.l10n_hr_chart_template"
"140100","hr_140100","asset_current",0,"Advance tax from transferred tax liability in the country - 25%","l10n_hr.l10n_hr_chart_template"
"140200","hr_140200","asset_current",0,"Advance tax on the acquisition of goods from the EU - 5%","l10n_hr.l10n_hr_chart_template"
"140210","hr_140210","asset_current",0,"Advance tax on the acquisition of goods from the EU - 13%","l10n_hr.l10n_hr_chart_template"
"140220","hr_140220","asset_current",0,"Advance tax on the acquisition of goods from the EU - 25%","l10n_hr.l10n_hr_chart_template"
"140300","hr_140300","asset_current",0,"Withholding tax from services received from the EU - 5%","l10n_hr.l10n_hr_chart_template"
"140310","hr_140310","asset_current",0,"Withholding tax from services received from the EU - 13%","l10n_hr.l10n_hr_chart_template"
"140320","hr_140320","asset_current",0,"Withholding tax from services received from the EU - 25%","l10n_hr.l10n_hr_chart_template"
"140400","hr_140400","asset_current",0,"Withholding tax from taxpayers without headquarters in the Republic of Croatia - 5%","l10n_hr.l10n_hr_chart_template"
"140410","hr_140410","asset_current",0,"Withholding tax from taxpayers without headquarters in the Republic of Croatia - 13%","l10n_hr.l10n_hr_chart_template"
"140420","hr_140420","asset_current",0,"Withholding tax from taxpayers without headquarters in the Republic of Croatia - 25%","l10n_hr.l10n_hr_chart_template"
"140500","hr_140500","asset_current",0,"VAT on import of goods – 5%","l10n_hr.l10n_hr_chart_template"
"140510","hr_140510","asset_current",0,"VAT on import of goods - 13%","l10n_hr.l10n_hr_chart_template"
